,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
2,Justin Herbert,QB,24.0,2022,331.85463748541133,,
0,Josh Allen,QB,26.0,2022,331.0848478884699,,
3,Patrick Mahomes,QB,27.0,2022,321.6961547952369,,
5,Kyler Murray,QB,25.0,2022,292.273449792428,,
7,Aaron Rodgers,QB,39.0,2022,289.77685921721184,,
8,Russell Wilson,QB,34.0,2022,287.19614799354827,,
12,Tom Brady,QB,45.0,2022,275.8959665372597,,
17,Ryan Tannehill,QB,34.0,2022,261.42418103457936,,
16,Kirk Cousins,QB,34.0,2022,261.42418103457936,,
18,Kirk Cousins,QB,34.0,2022,242.09342733560635,,
19,Ryan Tannehill,QB,34.0,2022,242.09342733560635,,
11,Dak Prescott,QB,29.0,2022,239.34785483677425,,
14,Derek Carr,QB,31.0,2022,234.74264222769034,,
21,Matt Ryan,QB,37.0,2022,229.64452380190033,,
26,Carson Wentz,QB,30.0,2022,227.11609860728413,,
4,Joe Burrow,QB,26.0,2022,222.9338689315827,,
9,Matthew Stafford,QB,34.0,2022,215.20197030232237,,
23,Trevor Lawrence,QB,23.0,2022,206.49095145460515,,
35,Jared Goff,QB,28.0,2022,205.86877109214245,,
6,Jalen Hurts,QB,24.0,2022,194.78525467121193,,
29,Baker Mayfield,QB,27.0,2022,189.75888498738598,,
28,Mac Jones,QB,24.0,2022,186.69055722421913,,
34,Daniel Jones,QB,25.0,2022,180.9972483406846,,
31,Zach Wilson,QB,23.0,2022,161.04256361935904,,
20,Tua Tagovailoa,QB,24.0,2022,153.27047913247026,,
33,Davis Mills,QB,24.0,2022,144.7412445338326,,
22,Justin Fields,QB,23.0,2022,133.93581999063917,,
24,Jameis Winston,QB,28.0,2022,120.75767547043085,,
15,Trey Lance,QB,22.0,2022,68.79330623103239,,
37,Marcus Mariota,QB,29.0,2022,52.93131435131886,,
