,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
0,Justin Herbert,QB,24.0,2022,331.85463748541133,,,35,3.09,Justin Herbert,QB,LAC,8,32.7,5.1,1.02,5.08,2716
1,Josh Allen,QB,26.0,2022,331.0848478884699,,,23,2.1,Josh Allen,QB,BUF,7,22.3,5.9,1.01,4.05,2826
2,Patrick Mahomes,QB,27.0,2022,321.6961547952369,,,40,4.02,Patrick Mahomes,QB,KC,8,37.8,6.1,1.01,7.04,3164
3,Kyler Murray,QB,25.0,2022,292.273449792428,,,63,5.12,Kyler Murray,QB,ARI,13,60.0,6.3,1.01,8.02,2242
4,Aaron Rodgers,QB,39.0,2022,289.77685921721184,,,80,7.05,Aaron Rodgers,QB,GB,14,77.0,9.3,1.1,10.06,2423
5,Russell Wilson,QB,34.0,2022,287.19614799354827,,,82,7.08,Russell Wilson,QB,DEN,9,79.7,8.8,2.11,10.05,4243
6,Tom Brady,QB,45.0,2022,275.8959665372597,,,96,8.07,Tom Brady,QB,TB,11,91.0,10.8,1.01,11.04,4547
7,Ryan Tannehill,QB,34.0,2022,261.42418103457936,,,247,15.02,Ryan Tannehill,QB,TEN,6,169.6,22.1,10.01,18.06,91
8,Kirk Cousins,QB,34.0,2022,261.42418103457936,,,123,10.1,Kirk Cousins,QB,MIN,7,118.4,11.7,1.01,13.12,3278
9,Kirk Cousins,QB,34.0,2022,242.09342733560635,,,123,10.1,Kirk Cousins,QB,MIN,7,118.4,11.7,1.01,13.12,3278
10,Ryan Tannehill,QB,34.0,2022,242.09342733560635,,,247,15.02,Ryan Tannehill,QB,TEN,6,169.6,22.1,10.01,18.06,91
11,Dak Prescott,QB,29.0,2022,239.34785483677425,,,93,8.03,Dak Prescott,QB,DAL,9,87.4,9.3,2.08,11.01,2992
12,Derek Carr,QB,31.0,2022,234.74264222769034,,,105,9.07,Derek Carr,QB,LV,6,102.7,9.0,6.03,14.11,3586
13,Matt Ryan,QB,37.0,2022,229.64452380190033,,,155,12.08,Matt Ryan,QB,IND,14,140.2,16.0,2.09,15.12,1801
14,Carson Wentz,QB,30.0,2022,227.11609860728413,,,209,14.05,Carson Wentz,QB,WAS,14,161.3,27.0,9.04,18.05,32
15,Joe Burrow,QB,26.0,2022,222.9338689315827,,,56,5.04,Joe Burrow,QB,CIN,10,51.8,7.4,1.07,8.01,1880
16,Matthew Stafford,QB,34.0,2022,215.20197030232237,,,85,7.09,Matthew Stafford,QB,LAR,7,81.4,9.3,1.07,10.07,1945
17,Trevor Lawrence,QB,23.0,2022,206.49095145460515,,,184,13.1,Trevor Lawrence,QB,JAX,11,154.3,17.2,6.11,16.07,1291
18,Jared Goff,QB,28.0,2022,205.86877109214245,,,251,15.03,Jared Goff,QB,DET,6,170.8,24.1,12.06,18.02,20
19,Jalen Hurts,QB,24.0,2022,194.78525467121193,,,67,6.04,Jalen Hurts,QB,PHI,7,63.8,6.3,2.12,9.06,3237
20,Baker Mayfield,QB,27.0,2022,189.75888498738598,,,222,14.08,Baker Mayfield,QB,CAR,13,163.9,35.2,1.01,18.02,77
21,Mac Jones,QB,24.0,2022,186.69055722421913,,,214,14.06,Mac Jones,QB,NE,10,162.3,20.6,3.01,18.01,355
22,Daniel Jones,QB,25.0,2022,180.9972483406846,,,250,15.03,Daniel Jones,QB,NYG,9,170.6,20.4,11.03,18.06,59
23,Zach Wilson,QB,23.0,2022,161.04256361935904,,,225,14.08,Zach Wilson,QB,NYJ,10,164.4,32.3,1.01,18.06,111
24,Tua Tagovailoa,QB,24.0,2022,153.27047913247026,,,137,11.1,Tua Tagovailoa,QB,MIA,11,130.1,12.5,1.01,15.1,1380
25,Davis Mills,QB,24.0,2022,144.7412445338326,,,233,14.1,Davis Mills,QB,HOU,6,165.8,20.2,10.04,18.05,31
26,Justin Fields,QB,23.0,2022,133.93581999063917,,,166,13.04,Justin Fields,QB,CHI,14,147.8,16.3,4.07,16.03,1136
27,Jameis Winston,QB,28.0,2022,120.75767547043085,,,186,13.11,Jameis Winston,QB,NO,14,154.7,19.4,1.01,16.05,1108
28,Trey Lance,QB,22.0,2022,68.79330623103239,,,107,9.08,Trey Lance,QB,SF,9,103.8,9.9,1.02,13.06,4383
29,Marcus Mariota,QB,29.0,2022,52.93131435131886,,,271,15.1,Marcus Mariota,QB,ATL,14,177.5,40.4,2.09,20.12,25
