,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
16,Russell Wilson,QB,33.0,2021,350.9629999999998,242.8,108.16299999999978
13,Ryan Tannehill,QB,33.0,2021,284.975,268.4,16.575000000000045
4,Patrick Mahomes,QB,26.0,2021,282.6600000000001,361.7,-79.0399999999999
17,Lamar Jackson,QB,24.0,2021,277.68799999999993,240.0,37.68799999999993
12,Kirk Cousins,QB,33.0,2021,277.36700000000013,300.3,-22.93299999999988
33,Matt Ryan,QB,36.0,2021,261.62400000000025,222.9,38.724000000000245
0,Josh Allen,QB,25.0,2021,258.18999999999994,402.6,-144.41000000000008
15,Derek Carr,QB,30.0,2021,258.11600000000004,257.0,1.1160000000000423
5,Aaron Rodgers,QB,38.0,2021,256.631,333.3,-76.66900000000004
6,Matthew Stafford,QB,33.0,2021,252.38000000000008,329.7,-77.31999999999991
1,Justin Herbert,QB,23.0,2021,248.4580000000001,380.8,-132.3419999999999
3,Tom Brady,QB,44.0,2021,241.6280000000001,374.7,-133.0719999999999
38,Baker Mayfield,QB,26.0,2021,233.2259999999999,180.9,52.32599999999991
37,Jared Goff,QB,27.0,2021,221.17,194.5,26.669999999999987
7,Dak Prescott,QB,28.0,2021,217.31500000000003,320.6,-103.285
14,Carson Wentz,QB,29.0,2021,211.88100000000003,258.0,-46.11899999999997
10,Kyler Murray,QB,24.0,2021,206.49900000000005,300.5,-94.00099999999995
41,Daniel Jones,QB,24.0,2021,195.27137499999998,167.5,27.771374999999978
110,Ryan Fitzpatrick,QB,39.0,2021,190.52800000000013,0.7,189.82800000000015
80,Gardner Minshew II,QB,25.0,2021,186.1799999999999,33.7,152.4799999999999
44,Jameis Winston,QB,27.0,2021,179.85299999999998,117.4,62.452999999999975
42,Sam Darnold,QB,24.0,2021,169.74637500000006,157.3,12.446375000000046
9,Jalen Hurts,QB,23.0,2021,162.28763452380957,312.2,-149.91236547619042
103,Mitchell Trubisky,QB,27.0,2021,157.83899999999997,8.1,149.73899999999998
35,Ben Roethlisberger,QB,39.0,2021,152.683,218.1,-65.417
46,Cam Newton,QB,32.0,2021,149.14499999999995,86.4,62.74499999999995
8,Joe Burrow,QB,25.0,2021,146.15599999999998,314.2,-168.044
40,Tua Tagovailoa,QB,23.0,2021,132.40192738095246,180.9,-48.49807261904755
47,Andy Dalton,QB,34.0,2021,112.35099999999997,84.2,28.150999999999968
18,Jimmy Garoppolo,QB,30.0,2021,103.36799999999998,227.5,-124.13200000000002
43,Taysom Hill,QB,31.0,2021,100.81099999999998,121.7,-20.889000000000024
90,Mason Rudolph,QB,26.0,2021,98.99149999999997,18.4,80.59149999999997
100,Kyle Allen,QB,25.0,2021,98.40299999999996,7.9,90.50299999999996
36,Teddy Bridgewater,QB,29.0,2021,96.16400000000002,202.7,-106.53599999999997
105,C.J. Beathard,QB,28.0,2021,95.699,1.5,94.199
98,Nick Mullens,QB,26.0,2021,82.07650000000005,9.9,72.17650000000005
92,Nick Foles,QB,32.0,2021,80.51499999999999,16.8,63.71499999999999
93,Marcus Mariota,QB,28.0,2021,79.14850000000006,14.9,64.24850000000005
49,Jacoby Brissett,QB,29.0,2021,68.82300000000002,72.3,-3.4769999999999754
52,Drew Lock,QB,25.0,2021,67.79300000000003,51.9,15.893000000000036
114,Josh Rosen,QB,24.0,2021,62.27795277777781,-3.2,65.47795277777782
88,Joe Flacco,QB,36.0,2021,61.86900000000001,23.8,38.069
53,Josh Johnson,QB,35.0,2021,61.349000000000025,46.3,15.049000000000028
104,Chad Henne,QB,36.0,2021,57.84400000000001,3.3,54.54400000000001
113,Brett Rypien,QB,25.0,2021,51.90100000000001,0.0,51.90100000000001
83,Case Keenum,QB,33.0,2021,50.16000000000004,28.7,21.46000000000004
94,Brandon Allen,QB,29.0,2021,44.249999999999964,13.9,30.349999999999966
82,Mike Glennon,QB,32.0,2021,38.559999999999974,30.9,7.659999999999975
111,Chase Daniel,QB,35.0,2021,35.69199999999997,-0.2,35.891999999999975
59,John Wolford,QB,26.0,2021,32.530874999999966,2.0,30.530874999999966
48,Tyrod Taylor,QB,32.0,2021,29.14099999999998,81.7,-52.559000000000026
95,P.J. Walker,QB,26.0,2021,23.910352941176452,13.8,10.110352941176451
75,John Wolford,QB,26.0,2021,23.435999999999986,-1.9,25.335999999999984
106,Blaine Gabbert,QB,32.0,2021,23.07499999999998,2.0,21.07499999999998
101,Garrett Gilbert,QB,30.0,2021,21.937999999999988,7.8,14.137999999999987
107,David Blough,QB,26.0,2021,19.744999999999997,0.6,19.144999999999996
34,Taylor Heinicke,QB,28.0,2021,17.989,222.9,-204.911
71,John Wolford,QB,26.0,2021,17.180731937180465,-0.6,17.780731937180466
79,Colt McCoy,QB,35.0,2021,17.07800000000001,41.3,-24.221999999999987
96,Sean Mannion,QB,29.0,2021,14.636999999999999,13.0,1.6369999999999987
112,Nathan Peterman,QB,27.0,2021,11.053999999999997,0.2,10.853999999999997
97,Brian Hoyer,QB,36.0,2021,10.404000000000003,12.3,-1.8959999999999972
67,John Wolford,QB,26.0,2021,8.949554944728476,-0.3,9.249554944728477
55,John Wolford,QB,26.0,2021,8.949554944728476,44.0,-35.050445055271524
63,John Wolford,QB,26.0,2021,8.949554944728476,-0.1,9.049554944728476
