,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Patrick Mahomes,QB,27.0,2022,326.2912000000013,40,6.1,1.01,7.04
1,Tom Brady,QB,45.0,2022,317.69450000000273,96,10.8,1.01,11.04
2,Aaron Rodgers,QB,39.0,2022,313.4798999999989,80,9.3,1.1,10.06
3,Justin Herbert,QB,24.0,2022,297.5140999999988,35,5.1,1.02,5.08
4,Kirk Cousins,QB,34.0,2022,292.66509999999806,123,11.7,1.01,13.12
5,Ryan Tannehill,QB,34.0,2022,292.66509999999806,247,22.1,10.01,18.06
6,Josh Allen,QB,26.0,2022,292.09470000000005,23,5.9,1.01,4.05
7,Russell Wilson,QB,34.0,2022,287.39929999999856,82,8.8,2.11,10.05
8,Kirk Cousins,QB,34.0,2022,281.15679999999867,123,11.7,1.01,13.12
9,Ryan Tannehill,QB,34.0,2022,281.15679999999867,247,22.1,10.01,18.06
10,Derek Carr,QB,31.0,2022,279.60719999999833,105,9.0,6.03,14.11
11,Joe Burrow,QB,26.0,2022,277.91939999999994,56,7.4,1.07,8.01
12,Kyler Murray,QB,25.0,2022,277.43679999999966,63,6.3,1.01,8.02
13,Jared Goff,QB,28.0,2022,269.21139999999974,251,24.1,12.06,18.02
14,Carson Wentz,QB,30.0,2022,264.12080000000054,209,27.0,9.04,18.05
15,Dak Prescott,QB,29.0,2022,256.97770000000133,93,9.3,2.08,11.01
16,Matthew Stafford,QB,34.0,2022,251.6829000000018,85,9.3,1.07,10.07
17,Matt Ryan,QB,37.0,2022,250.647899999998,155,16.0,2.09,15.12
18,Baker Mayfield,QB,27.0,2022,243.9860999999992,222,35.2,1.01,18.02
19,Mac Jones,QB,24.0,2022,241.96026666666637,214,20.6,3.01,18.01
20,Jalen Hurts,QB,24.0,2022,223.39930000000018,67,6.3,2.12,9.06
21,Lamar Jackson,QB,25.0,2022,219.3266000000001,53,6.7,1.01,7.08
22,Trevor Lawrence,QB,23.0,2022,190.85613202380938,184,17.2,6.11,16.07
23,Daniel Jones,QB,25.0,2022,185.61139999999992,250,20.4,11.03,18.06
24,Zach Wilson,QB,23.0,2022,178.67616861111082,225,32.3,1.01,18.06
25,Trey Lance,QB,22.0,2022,160.30420023809506,107,9.9,1.02,13.06
26,Jameis Winston,QB,28.0,2022,159.17709999999843,186,19.4,1.01,16.05
27,Justin Fields,QB,23.0,2022,148.53267623015827,166,16.3,4.07,16.03
28,Davis Mills,QB,24.0,2022,103.3729166666662,233,20.2,10.04,18.05
29,Tua Tagovailoa,QB,24.0,2022,81.07812999999977,137,12.5,1.01,15.1
30,Marcus Mariota,QB,29.0,2022,75.65920000000006,271,40.4,2.09,20.12
