,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,371.6661001900011,300.5,71.16610019000109
1,Justin Herbert,QB,23,2021,361.0144405540573,380.8,-19.785559445942738
3,Patrick Mahomes,QB,26,2021,350.5713032365534,361.7,-11.128696763446612
0,Josh Allen,QB,25,2021,344.44238726361755,402.6,-58.157612736382475
4,Aaron Rodgers,QB,38,2021,329.8221380136861,333.3,-3.4778619863139397
2,Tom Brady,QB,44,2021,312.3841732672845,374.7,-62.31582673271549
10,Kirk Cousins,QB,33,2021,299.62287026523836,300.3,-0.6771297347616496
11,Kirk Cousins,QB,33,2021,299.62287026523836,300.3,-0.6771297347616496
19,Lamar Jackson,QB,24,2021,296.3987739769191,240.0,56.398773976919074
18,Lamar Jackson,QB,24,2021,295.9670006895494,240.0,55.96700068954942
15,Russell Wilson,QB,33,2021,288.28151252327234,242.8,45.48151252327233
17,Lamar Jackson,QB,24,2021,287.01488802936683,240.0,47.01488802936683
16,Lamar Jackson,QB,24,2021,275.7261464511744,240.0,35.72614645117437
5,Matthew Stafford,QB,33,2021,250.88566707257087,329.7,-78.81433292742912
12,Ryan Tannehill,QB,33,2021,247.8382091913045,268.4,-20.56179080869549
13,Carson Wentz,QB,29,2021,240.61870990234183,258.0,-17.381290097658166
6,Dak Prescott,QB,28,2021,229.99107215841013,320.6,-90.60892784158989
14,Derek Carr,QB,30,2021,229.96543507236856,257.0,-27.034564927631436
22,Matt Ryan,QB,36,2021,226.40748251470814,222.9,3.50748251470813
7,Joe Burrow,QB,25,2021,224.853523201612,314.2,-89.34647679838798
29,Jared Goff,QB,27,2021,223.49428244562887,194.5,28.99428244562887
23,Matt Ryan,QB,36,2021,220.68399325699102,222.9,-2.2160067430089896
8,Jalen Hurts,QB,23,2021,203.95909736811473,312.2,-108.24090263188526
34,Daniel Jones,QB,24,2021,202.1665826891085,167.5,34.66658268910851
21,Mac Jones,QB,23,2021,199.22236071589623,224.9,-25.677639284103776
30,Baker Mayfield,QB,26,2021,190.90148835581704,180.9,10.001488355817031
31,Baker Mayfield,QB,26,2021,183.08728530275994,180.9,2.187285302759932
39,Taysom Hill,QB,31,2021,170.36856367240716,121.7,48.66856367240716
32,Tua Tagovailoa,QB,23,2021,164.81108934197619,180.9,-16.08891065802382
40,Jameis Winston,QB,27,2021,163.719171719541,117.4,46.319171719541
37,Zach Wilson,QB,22,2021,163.161757448579,151.9,11.261757448579004
28,Trevor Lawrence,QB,22,2021,160.03966798929468,199.0,-38.960332010705315
33,Tua Tagovailoa,QB,23,2021,156.9968862889191,180.9,-23.90311371108092
20,Jimmy Garoppolo,QB,30,2021,154.25098457465447,227.5,-73.24901542534553
35,Sam Darnold,QB,24,2021,152.7523955475831,157.3,-4.54760445241692
27,Teddy Bridgewater,QB,29,2021,149.5136211117947,202.7,-53.1863788882053
24,Taylor Heinicke,QB,28,2021,140.21306631674543,222.9,-82.68693368325458
25,Taylor Heinicke,QB,28,2021,134.48957705902785,222.9,-88.41042294097215
36,Davis Mills,QB,23,2021,125.15891503028752,157.0,-31.841084969712483
43,Andy Dalton,QB,34,2021,109.10710055154823,84.2,24.907100551548226
