,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
6,Dak Prescott,QB,28,2021,333.12,320.6,12.519999999999982
0,Josh Allen,QB,25,2021,312.0400000000001,402.6,-90.55999999999995
18,Lamar Jackson,QB,24,2021,309.52,240.0,69.51999999999998
19,Lamar Jackson,QB,24,2021,309.52,240.0,69.51999999999998
17,Lamar Jackson,QB,24,2021,309.52,240.0,69.51999999999998
16,Lamar Jackson,QB,24,2021,309.52,240.0,69.51999999999998
1,Justin Herbert,QB,23,2021,309.38,380.8,-71.42000000000002
26,Ben Roethlisberger,QB,39,2021,308.16,218.1,90.06000000000003
3,Patrick Mahomes,QB,26,2021,303.14,361.7,-58.56
9,Kyler Murray,QB,24,2021,287.64,300.5,-12.860000000000014
4,Aaron Rodgers,QB,38,2021,282.5400000000001,333.3,-50.759999999999934
10,Kirk Cousins,QB,33,2021,278.58,300.3,-21.720000000000027
11,Kirk Cousins,QB,33,2021,278.58,300.3,-21.720000000000027
15,Russell Wilson,QB,33,2021,277.62,242.8,34.81999999999999
2,Tom Brady,QB,44,2021,272.58000000000004,374.7,-102.11999999999995
23,Matt Ryan,QB,36,2021,272.1,222.9,49.20000000000002
22,Matt Ryan,QB,36,2021,272.1,222.9,49.20000000000002
13,Carson Wentz,QB,29,2021,267.98,258.0,9.980000000000018
12,Ryan Tannehill,QB,33,2021,265.7,268.4,-2.6999999999999886
28,Trevor Lawrence,QB,22,2021,249.26,199.0,50.25999999999999
8,Jalen Hurts,QB,23,2021,242.95999999999998,312.2,-69.24000000000001
21,Mac Jones,QB,23,2021,231.5,224.9,6.599999999999994
14,Derek Carr,QB,30,2021,228.66,257.0,-28.340000000000003
29,Jared Goff,QB,27,2021,226.95999999999998,194.5,32.45999999999998
24,Taylor Heinicke,QB,28,2021,223.78000000000003,222.9,0.8800000000000239
25,Taylor Heinicke,QB,28,2021,223.78000000000003,222.9,0.8800000000000239
37,Zach Wilson,QB,22,2021,207.54000000000002,151.9,55.640000000000015
30,Baker Mayfield,QB,26,2021,206.58,180.9,25.680000000000007
31,Baker Mayfield,QB,26,2021,206.58,180.9,25.680000000000007
34,Daniel Jones,QB,24,2021,200.54000000000002,167.5,33.04000000000002
7,Joe Burrow,QB,25,2021,199.1,314.2,-115.1
5,Matthew Stafford,QB,33,2021,199.00000000000003,329.7,-130.69999999999996
43,Andy Dalton,QB,34,2021,191.0,84.2,106.8
35,Sam Darnold,QB,24,2021,182.82,157.3,25.519999999999982
27,Teddy Bridgewater,QB,29,2021,182.45999999999998,202.7,-20.24000000000001
55,Gardner Minshew II,QB,25,2021,130.98,33.7,97.27999999999999
54,Gardner Minshew II,QB,25,2021,130.98,33.7,97.27999999999999
20,Jimmy Garoppolo,QB,30,2021,124.85999999999999,227.5,-102.64000000000001
47,Trey Lance,QB,21,2021,122.66,64.9,57.75999999999999
64,Mason Rudolph,QB,26,2021,94.74,18.4,76.34
63,Mason Rudolph,QB,26,2021,94.74,18.4,76.34
39,Taysom Hill,QB,31,2021,94.6,121.7,-27.10000000000001
72,Nick Mullens,QB,26,2021,81.64,9.9,71.74
73,Nick Mullens,QB,26,2021,81.64,9.9,71.74
42,Cam Newton,QB,32,2021,80.25999999999999,86.4,-6.140000000000015
32,Tua Tagovailoa,QB,23,2021,71.58000000000001,180.9,-109.32
38,Justin Fields,QB,22,2021,71.2,126.8,-55.599999999999994
40,Jameis Winston,QB,27,2021,66.3,117.4,-51.10000000000001
33,Tua Tagovailoa,QB,23,2021,62.4,180.9,-118.5
36,Davis Mills,QB,23,2021,58.65999999999999,157.0,-98.34
45,Tyrod Taylor,QB,32,2021,56.60000000000002,81.7,-25.09999999999998
71,Jake Fromm,QB,23,2021,49.78,10.9,38.88
44,Tyler Huntley,QB,23,2021,43.14,82.6,-39.459999999999994
46,Jacoby Brissett,QB,29,2021,41.28,72.3,-31.019999999999996
41,Trevor Siemian,QB,30,2021,36.2,90.2,-54.0
56,Mike Glennon,QB,32,2021,35.08,30.9,4.18
49,Drew Lock,QB,25,2021,31.3,51.9,-20.599999999999998
70,Sean Mannion,QB,29,2021,30.439999999999998,13.0,17.439999999999998
58,Tim Boyle,QB,27,2021,28.2,24.3,3.8999999999999986
59,Joe Flacco,QB,36,2021,26.919999999999998,23.8,3.1199999999999974
57,Case Keenum,QB,33,2021,26.68,28.7,-2.0199999999999996
62,Jordan Love,QB,23,2021,22.6,21.1,1.5
53,Colt McCoy,QB,35,2021,19.659999999999997,41.3,-21.64
50,Josh Johnson,QB,35,2021,19.34,46.3,-26.959999999999997
68,P.J. Walker,QB,26,2021,19.0,13.8,5.199999999999999
69,P.J. Walker,QB,26,2021,19.0,13.8,5.199999999999999
65,Nick Foles,QB,32,2021,18.72,16.8,1.9199999999999982
61,Jordan Love,QB,23,2021,15.64,21.1,-5.460000000000001
60,Cooper Rush,QB,28,2021,15.26,24.1,-8.840000000000002
66,Brandon Allen,QB,29,2021,9.720000000000002,13.9,-4.179999999999998
67,Brandon Allen,QB,29,2021,9.720000000000002,13.9,-4.179999999999998
51,Mike White,QB,26,2021,6.200000000000001,44.0,-37.8
52,Colt McCoy,QB,35,2021,2.1999999999999997,41.3,-39.099999999999994
48,Geno Smith,QB,31,2021,0.039999999999999994,54.3,-54.26
