,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Patrick Mahomes,QB,26,2021,387.29283088315356,361.7,25.592830883153567
9,Kyler Murray,QB,24,2021,379.44138168708923,300.5,78.94138168708923
0,Josh Allen,QB,25,2021,375.32449010014307,402.6,-27.275509899856957
1,Justin Herbert,QB,23,2021,368.4783204742414,380.8,-12.321679525758611
4,Aaron Rodgers,QB,38,2021,330.66944089030903,333.3,-2.630559109690978
10,Kirk Cousins,QB,33,2021,325.77273427292494,300.3,25.472734272924924
11,Kirk Cousins,QB,33,2021,325.77273427292494,300.3,25.472734272924924
22,Matt Ryan,QB,36,2021,277.83163158194384,222.9,54.93163158194383
2,Tom Brady,QB,44,2021,275.9714461206877,374.7,-98.7285538793123
23,Matt Ryan,QB,36,2021,272.9770108974735,222.9,50.077010897473514
15,Russell Wilson,QB,33,2021,270.11640400862416,242.8,27.316404008624147
13,Carson Wentz,QB,29,2021,263.0722094556709,258.0,5.072209455670873
6,Dak Prescott,QB,28,2021,245.99634940928217,320.6,-74.60365059071785
8,Jalen Hurts,QB,23,2021,241.25265961152763,312.2,-70.94734038847236
5,Matthew Stafford,QB,33,2021,235.98770644631395,329.7,-93.71229355368604
29,Jared Goff,QB,27,2021,235.6145907218206,194.5,41.114590721820605
19,Lamar Jackson,QB,24,2021,233.50709350680472,240.0,-6.492906493195278
18,Lamar Jackson,QB,24,2021,232.0768094118789,240.0,-7.923190588121088
17,Lamar Jackson,QB,24,2021,229.11864061587949,240.0,-10.881359384120515
12,Ryan Tannehill,QB,33,2021,226.13590607861215,268.4,-42.264093921387826
40,Jameis Winston,QB,27,2021,225.9530714530947,117.4,108.5530714530947
14,Derek Carr,QB,30,2021,218.3938077924454,257.0,-38.606192207554614
16,Lamar Jackson,QB,24,2021,215.53260079589654,240.0,-24.467399204103458
7,Joe Burrow,QB,25,2021,214.65032440236064,314.2,-99.54967559763935
24,Taylor Heinicke,QB,28,2021,210.51338970484676,222.9,-12.386610295153247
34,Daniel Jones,QB,24,2021,205.8368908549014,167.5,38.33689085490141
25,Taylor Heinicke,QB,28,2021,205.65876902037598,222.9,-17.24123097962402
39,Taysom Hill,QB,31,2021,185.05589013509416,121.7,63.35589013509416
30,Baker Mayfield,QB,26,2021,167.5933093837143,180.9,-13.306690616285692
42,Cam Newton,QB,32,2021,164.79262185790094,86.4,78.39262185790093
35,Sam Darnold,QB,24,2021,161.71178610535208,157.3,4.411786105352064
31,Baker Mayfield,QB,26,2021,158.47545663966548,180.9,-22.424543360334525
27,Teddy Bridgewater,QB,29,2021,155.01958383035344,202.7,-47.68041616964655
26,Ben Roethlisberger,QB,39,2021,152.7047051035761,218.1,-65.3952948964239
47,Trey Lance,QB,21,2021,151.08234318142013,64.9,86.18234318142012
37,Zach Wilson,QB,22,2021,145.4375826061987,151.9,-6.462417393801303
28,Trevor Lawrence,QB,22,2021,137.514238947791,199.0,-61.485761052209
20,Jimmy Garoppolo,QB,30,2021,134.7183397536769,227.5,-92.7816602463231
21,Mac Jones,QB,23,2021,131.94858282492078,224.9,-92.95141717507923
59,Joe Flacco,QB,36,2021,130.9843532139471,23.8,107.18435321394709
32,Tua Tagovailoa,QB,23,2021,128.05281521479583,180.9,-52.84718478520418
33,Tua Tagovailoa,QB,23,2021,118.934962470747,180.9,-61.96503752925301
55,Gardner Minshew II,QB,25,2021,114.44908724604511,33.7,80.74908724604511
60,Cooper Rush,QB,28,2021,110.95844783328175,24.1,86.85844783328176
54,Gardner Minshew II,QB,25,2021,109.41737723065307,33.7,75.71737723065307
43,Andy Dalton,QB,34,2021,101.82223876961643,84.2,17.62223876961643
36,Davis Mills,QB,23,2021,93.21778358576421,157.0,-63.78221641423579
48,Geno Smith,QB,31,2021,93.15054523522576,54.3,38.850545235225766
45,Tyrod Taylor,QB,32,2021,85.96541792594508,81.7,4.265417925945073
38,Justin Fields,QB,22,2021,68.17005325506807,126.8,-58.62994674493193
41,Trevor Siemian,QB,30,2021,67.41389740185423,90.2,-22.786102598145774
50,Josh Johnson,QB,35,2021,65.65477519585511,46.3,19.35477519585511
62,Jordan Love,QB,23,2021,59.188674573520075,21.1,38.08867457352007
49,Drew Lock,QB,25,2021,43.784336864747274,51.9,-8.115663135252724
64,Mason Rudolph,QB,26,2021,43.747241309370565,18.4,25.347241309370567
63,Mason Rudolph,QB,26,2021,43.747241309370565,18.4,25.347241309370567
57,Case Keenum,QB,33,2021,41.85499454139517,28.7,13.154994541395173
61,Jordan Love,QB,23,2021,39.7618149768964,21.1,18.6618149768964
52,Colt McCoy,QB,35,2021,36.88098381818463,41.3,-4.4190161818153655
56,Mike Glennon,QB,32,2021,31.321575877201667,30.9,0.42157587720166845
53,Colt McCoy,QB,35,2021,29.740784556391645,41.3,-11.559215443608352
46,Jacoby Brissett,QB,29,2021,29.576809755719296,72.3,-42.7231902442807
71,Jake Fromm,QB,23,2021,28.002237034514565,10.9,17.102237034514566
58,Tim Boyle,QB,27,2021,9.279259865901622,24.3,-15.020740134098379
72,Nick Mullens,QB,26,2021,6.851482107680113,9.9,-3.0485178923198877
73,Nick Mullens,QB,26,2021,6.851482107680113,9.9,-3.0485178923198877
51,Mike White,QB,26,2021,-3.118251188720933,44.0,-47.11825118872093
65,Nick Foles,QB,32,2021,-8.86618057028545,16.8,-25.66618057028545
66,Brandon Allen,QB,29,2021,-10.19537668253497,13.9,-24.09537668253497
44,Tyler Huntley,QB,23,2021,-13.289638486713557,82.6,-95.88963848671355
67,Brandon Allen,QB,29,2021,-14.268507830955514,13.9,-28.168507830955512
70,Sean Mannion,QB,29,2021,-30.742164489011884,13.0,-43.742164489011884
69,P.J. Walker,QB,26,2021,-76.59165923940236,13.8,-90.39165923940236
68,P.J. Walker,QB,26,2021,-79.03589558734757,13.8,-92.83589558734757
