,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Justin Herbert,QB,23,2021,362.56466697320957,380.8,-18.235333026790443
9,Kyler Murray,QB,24,2021,357.63925319166447,300.5,57.139253191664466
3,Patrick Mahomes,QB,26,2021,352.60649120893595,361.7,-9.093508791064039
0,Josh Allen,QB,25,2021,348.9227525926085,402.6,-53.67724740739152
4,Aaron Rodgers,QB,38,2021,336.8007218031803,333.3,3.5007218031802836
2,Tom Brady,QB,44,2021,319.50956359518887,374.7,-55.19043640481112
10,Kirk Cousins,QB,33,2021,305.85925525828634,300.3,5.559255258286328
11,Kirk Cousins,QB,33,2021,305.85925525828634,300.3,5.559255258286328
18,Lamar Jackson,QB,24,2021,297.5130349086585,240.0,57.51303490865848
19,Lamar Jackson,QB,24,2021,296.72824304448477,240.0,56.72824304448477
17,Lamar Jackson,QB,24,2021,286.4222243362906,240.0,46.42222433629058
15,Russell Wilson,QB,33,2021,283.78568974645896,242.8,40.985689746458945
16,Lamar Jackson,QB,24,2021,273.56505865322833,240.0,33.565058653228334
5,Matthew Stafford,QB,33,2021,255.30811691193867,329.7,-74.39188308806132
13,Carson Wentz,QB,29,2021,246.73150661800128,258.0,-11.268493381998724
12,Ryan Tannehill,QB,33,2021,240.80772870919327,268.4,-27.592271290806707
6,Dak Prescott,QB,28,2021,235.56232944463727,320.6,-85.03767055536275
7,Joe Burrow,QB,25,2021,224.46845850522368,314.2,-89.73154149477631
14,Derek Carr,QB,30,2021,222.61324637833377,257.0,-34.38675362166623
22,Matt Ryan,QB,36,2021,220.81937320809766,222.9,-2.080626791902347
29,Jared Goff,QB,27,2021,218.54776913876776,194.5,24.047769138767762
23,Matt Ryan,QB,36,2021,214.79041073197277,222.9,-8.109589268027236
8,Jalen Hurts,QB,23,2021,203.07592376430148,312.2,-109.12407623569851
34,Daniel Jones,QB,24,2021,199.4619132622056,167.5,31.9619132622056
21,Mac Jones,QB,23,2021,194.84377113580513,224.9,-30.05622886419488
30,Baker Mayfield,QB,26,2021,189.52209985183208,180.9,8.622099851832076
40,Jameis Winston,QB,27,2021,182.22085229286085,117.4,64.82085229286085
31,Baker Mayfield,QB,26,2021,179.58604442919568,180.9,-1.3139555708043247
32,Tua Tagovailoa,QB,23,2021,164.6140305913459,180.9,-16.285969408654097
39,Taysom Hill,QB,31,2021,158.88310099667433,121.7,37.18310099667433
20,Jimmy Garoppolo,QB,30,2021,155.72135406218467,227.5,-71.77864593781533
28,Trevor Lawrence,QB,22,2021,155.5209473071509,199.0,-43.47905269284911
33,Tua Tagovailoa,QB,23,2021,154.6779751687095,180.9,-26.222024831290497
35,Sam Darnold,QB,24,2021,149.87495574226386,157.3,-7.425044257736147
27,Teddy Bridgewater,QB,29,2021,148.41588503775893,202.7,-54.28411496224106
37,Zach Wilson,QB,22,2021,146.664230048229,151.9,-5.235769951771005
24,Taylor Heinicke,QB,28,2021,138.0097203588598,222.9,-84.89027964114021
25,Taylor Heinicke,QB,28,2021,131.9807578827349,222.9,-90.9192421172651
36,Davis Mills,QB,23,2021,127.72248723100574,157.0,-29.277512768994256
47,Trey Lance,QB,21,2021,121.41810821231184,64.9,56.51810821231183
55,Gardner Minshew II,QB,25,2021,120.15557886707393,33.7,86.45557886707392
54,Gardner Minshew II,QB,25,2021,114.96374415453693,33.7,81.26374415453692
26,Ben Roethlisberger,QB,39,2021,105.16158957858624,218.1,-112.93841042141375
43,Andy Dalton,QB,34,2021,102.25309633256393,84.2,18.053096332563925
42,Cam Newton,QB,32,2021,99.37960899778545,86.4,12.979608997785448
59,Joe Flacco,QB,36,2021,91.96017549789622,23.8,68.16017549789622
38,Justin Fields,QB,22,2021,81.37331815814241,126.8,-45.42668184185759
41,Trevor Siemian,QB,30,2021,62.01043114145068,90.2,-28.189568858549322
48,Geno Smith,QB,31,2021,59.5509120821057,54.3,5.2509120821057
60,Cooper Rush,QB,28,2021,56.39055159598547,24.1,32.29055159598547
64,Mason Rudolph,QB,26,2021,54.18296750752779,18.4,35.78296750752779
63,Mason Rudolph,QB,26,2021,54.18296750752779,18.4,35.78296750752779
46,Jacoby Brissett,QB,29,2021,50.01228451392535,72.3,-22.287715486074646
49,Drew Lock,QB,25,2021,44.62673563969611,51.9,-7.273264360303891
45,Tyrod Taylor,QB,32,2021,31.314890076837855,81.7,-50.38510992316215
50,Josh Johnson,QB,35,2021,30.963578422386945,46.3,-15.336421577613052
58,Tim Boyle,QB,27,2021,26.563400179120435,24.3,2.263400179120435
72,Nick Mullens,QB,26,2021,24.499039471907963,9.9,14.599039471907963
73,Nick Mullens,QB,26,2021,24.499039471907963,9.9,14.599039471907963
62,Jordan Love,QB,23,2021,15.08162113380331,21.1,-6.0183788661966915
52,Colt McCoy,QB,35,2021,13.576775867379183,41.3,-27.723224132620814
53,Colt McCoy,QB,35,2021,9.037165468714647,41.3,-32.26283453128535
57,Case Keenum,QB,33,2021,8.216765490543821,28.7,-20.483234509456178
56,Mike Glennon,QB,32,2021,7.779369872223015,30.9,-23.120630127776984
44,Tyler Huntley,QB,23,2021,6.5422763926799234,82.6,-76.05772360732007
65,Nick Foles,QB,32,2021,-4.734492974085242,16.8,-21.534492974085243
66,Brandon Allen,QB,29,2021,-5.2002125219019035,13.9,-19.100212521901902
67,Brandon Allen,QB,29,2021,-5.465448939014095,13.9,-19.365448939014094
61,Jordan Love,QB,23,2021,-5.616074366765133,21.1,-26.716074366765135
51,Mike White,QB,26,2021,-18.195918611819707,44.0,-62.19591861181971
71,Jake Fromm,QB,23,2021,-21.684623240538713,10.9,-32.58462324053871
70,Sean Mannion,QB,29,2021,-40.93415834482175,13.0,-53.93415834482175
69,P.J. Walker,QB,26,2021,-52.0887859832369,13.8,-65.8887859832369
68,P.J. Walker,QB,26,2021,-57.802209077672615,13.8,-71.60220907767261
