,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Patrick Mahomes,QB,26,2021,425.6005959457564,361.7,63.900595945756436
1,Justin Herbert,QB,23,2021,402.8647610282623,380.8,22.064761028262296
9,Kyler Murray,QB,24,2021,402.2570220213403,300.5,101.75702202134028
0,Josh Allen,QB,25,2021,400.94711083305435,402.6,-1.6528891669456698
10,Kirk Cousins,QB,33,2021,363.20712889229804,300.3,62.90712889229803
11,Kirk Cousins,QB,33,2021,363.20712889229804,300.3,62.90712889229803
4,Aaron Rodgers,QB,38,2021,360.37610754737545,333.3,27.076107547375443
23,Matt Ryan,QB,36,2021,326.6447079873085,222.9,103.74470798730849
22,Matt Ryan,QB,36,2021,325.9961019233505,222.9,103.09610192335052
15,Russell Wilson,QB,33,2021,315.9295342115666,242.8,73.12953421156658
17,Lamar Jackson,QB,24,2021,291.51525645913676,240.0,51.515256459136765
2,Tom Brady,QB,44,2021,290.60204777575893,374.7,-84.09795222424106
16,Lamar Jackson,QB,24,2021,289.45667289881624,240.0,49.45667289881624
19,Lamar Jackson,QB,24,2021,289.2774505054313,240.0,49.27745050543132
18,Lamar Jackson,QB,24,2021,286.80304681036176,240.0,46.803046810361764
6,Dak Prescott,QB,28,2021,286.5725801630471,320.6,-34.0274198369529
13,Carson Wentz,QB,29,2021,282.4378559273196,258.0,24.437855927319617
12,Ryan Tannehill,QB,33,2021,276.9583869025385,268.4,8.55838690253853
14,Derek Carr,QB,30,2021,269.30499711842634,257.0,12.304997118426343
29,Jared Goff,QB,27,2021,268.02650904845575,194.5,73.52650904845575
8,Jalen Hurts,QB,23,2021,259.6835387496368,312.2,-52.51646125036319
5,Matthew Stafford,QB,33,2021,249.23104376097993,329.7,-80.46895623902006
34,Daniel Jones,QB,24,2021,227.73478939280906,167.5,60.23478939280906
7,Joe Burrow,QB,25,2021,227.33290661612983,314.2,-86.86709338387016
40,Jameis Winston,QB,27,2021,205.7982638645866,117.4,88.3982638645866
30,Baker Mayfield,QB,26,2021,195.97193085116007,180.9,15.071930851160062
31,Baker Mayfield,QB,26,2021,194.30323322951762,180.9,13.40323322951761
26,Ben Roethlisberger,QB,39,2021,188.02925394938165,218.1,-30.07074605061834
37,Zach Wilson,QB,22,2021,187.48779913769533,151.9,35.58779913769533
39,Taysom Hill,QB,31,2021,186.24048787687266,121.7,64.54048787687266
25,Taylor Heinicke,QB,28,2021,181.71084989479291,222.9,-41.18915010520709
24,Taylor Heinicke,QB,28,2021,181.2147632896784,222.9,-41.68523671032162
35,Sam Darnold,QB,24,2021,181.0884427258673,157.3,23.7884427258673
28,Trevor Lawrence,QB,22,2021,177.18518363497955,199.0,-21.814816365020448
42,Cam Newton,QB,32,2021,174.4482344624026,86.4,88.0482344624026
21,Mac Jones,QB,23,2021,166.1188252445399,224.9,-58.781174755460114
27,Teddy Bridgewater,QB,29,2021,158.983210061233,202.7,-43.71678993876699
20,Jimmy Garoppolo,QB,30,2021,152.34972793695067,227.5,-75.15027206304933
47,Trey Lance,QB,21,2021,145.22898348267128,64.9,80.32898348267128
32,Tua Tagovailoa,QB,23,2021,144.77703582723979,180.9,-36.12296417276022
33,Tua Tagovailoa,QB,23,2021,142.7637984861246,180.9,-38.13620151387539
60,Cooper Rush,QB,28,2021,91.1596591834386,24.1,67.05965918343861
36,Davis Mills,QB,23,2021,90.13774769645437,157.0,-66.86225230354563
43,Andy Dalton,QB,34,2021,85.96859733583165,84.2,1.7685973358316431
38,Justin Fields,QB,22,2021,85.44074149687702,126.8,-41.35925850312297
45,Tyrod Taylor,QB,32,2021,83.63005793694053,81.7,1.9300579369405284
48,Geno Smith,QB,31,2021,79.36563046786921,54.3,25.065630467869212
55,Gardner Minshew II,QB,25,2021,68.35403771992179,33.7,34.65403771992179
54,Gardner Minshew II,QB,25,2021,66.13119671398093,33.7,32.431196713980924
59,Joe Flacco,QB,36,2021,63.949187250482396,23.8,40.1491872504824
49,Drew Lock,QB,25,2021,63.5457322675732,51.9,11.645732267573202
41,Trevor Siemian,QB,30,2021,50.49502992760874,90.2,-39.70497007239126
64,Mason Rudolph,QB,26,2021,49.99137443119901,18.4,31.591374431199014
63,Mason Rudolph,QB,26,2021,49.99137443119901,18.4,31.591374431199014
46,Jacoby Brissett,QB,29,2021,48.40555145289957,72.3,-23.894448547100424
62,Jordan Love,QB,23,2021,47.755866210097636,21.1,26.655866210097635
61,Jordan Love,QB,23,2021,42.74784239203797,21.1,21.647842392037965
52,Colt McCoy,QB,35,2021,41.24659276148917,41.3,-0.05340723851082885
53,Colt McCoy,QB,35,2021,40.46412742399015,41.3,-0.835872576009848
56,Mike Glennon,QB,32,2021,34.11014260731844,30.9,3.2101426073184385
50,Josh Johnson,QB,35,2021,30.05839377455831,46.3,-16.241606225441686
44,Tyler Huntley,QB,23,2021,29.71027523615541,82.6,-52.88972476384458
71,Jake Fromm,QB,23,2021,29.243093865168106,10.9,18.343093865168107
57,Case Keenum,QB,33,2021,20.657120638027564,28.7,-8.042879361972435
58,Tim Boyle,QB,27,2021,17.38045429451506,24.3,-6.919545705484939
70,Sean Mannion,QB,29,2021,7.073607942442777,13.0,-5.926392057557223
72,Nick Mullens,QB,26,2021,2.8825213577468816,9.9,-7.017478642253119
73,Nick Mullens,QB,26,2021,2.8825213577468816,9.9,-7.017478642253119
65,Nick Foles,QB,32,2021,-0.9970895797343217,16.8,-17.797089579734322
51,Mike White,QB,26,2021,-11.109451663782437,44.0,-55.10945166378244
69,P.J. Walker,QB,26,2021,-25.344260732418462,13.8,-39.14426073241846
68,P.J. Walker,QB,26,2021,-25.78827296860601,13.8,-39.588272968606006
66,Brandon Allen,QB,29,2021,-27.430981828125738,13.9,-41.330981828125736
67,Brandon Allen,QB,29,2021,-28.532472636352637,13.9,-42.432472636352635
