,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
40,Jameis Winston,QB,27,2021,332.84,117.4,215.43999999999997
1,Justin Herbert,QB,23,2021,328.39999999999986,380.8,-52.40000000000015
4,Aaron Rodgers,QB,38,2021,323.33099999999996,333.3,-9.969000000000051
9,Kyler Murray,QB,24,2021,310.0240000000001,300.5,9.524000000000115
15,Russell Wilson,QB,33,2021,308.8429999999999,242.8,66.04299999999989
3,Patrick Mahomes,QB,26,2021,304.12500000000006,361.7,-57.57499999999993
0,Josh Allen,QB,25,2021,302.8319999999998,402.6,-99.7680000000002
10,Kirk Cousins,QB,33,2021,302.004,300.3,1.7040000000000077
11,Kirk Cousins,QB,33,2021,302.004,300.3,1.7040000000000077
5,Matthew Stafford,QB,33,2021,292.25400000000025,329.7,-37.44599999999974
2,Tom Brady,QB,44,2021,285.269,374.7,-89.43099999999998
7,Joe Burrow,QB,25,2021,256.82500000000005,314.2,-57.37499999999994
13,Carson Wentz,QB,29,2021,248.34600000000006,258.0,-9.65399999999994
14,Derek Carr,QB,30,2021,244.176,257.0,-12.824000000000012
47,Trey Lance,QB,21,2021,239.65800000000007,64.9,174.75800000000007
6,Dak Prescott,QB,28,2021,236.056,320.6,-84.54400000000001
60,Cooper Rush,QB,28,2021,228.41600000000005,24.1,204.31600000000006
8,Jalen Hurts,QB,23,2021,227.88100000000003,312.2,-84.31899999999996
21,Mac Jones,QB,23,2021,225.26199999999994,224.9,0.3619999999999379
22,Matt Ryan,QB,36,2021,218.24500000000012,222.9,-4.6549999999998875
24,Taylor Heinicke,QB,28,2021,217.77899999999997,222.9,-5.121000000000038
23,Matt Ryan,QB,36,2021,214.82700000000008,222.9,-8.072999999999922
25,Taylor Heinicke,QB,28,2021,209.3660000000001,222.9,-13.533999999999907
32,Tua Tagovailoa,QB,23,2021,205.25600000000014,180.9,24.356000000000137
17,Lamar Jackson,QB,24,2021,199.4209999999999,240.0,-40.57900000000009
27,Teddy Bridgewater,QB,29,2021,198.6040000000001,202.7,-4.09599999999989
33,Tua Tagovailoa,QB,23,2021,197.32500000000005,180.9,16.42500000000004
16,Lamar Jackson,QB,24,2021,195.6519999999999,240.0,-44.3480000000001
59,Joe Flacco,QB,36,2021,193.15000000000006,23.8,169.35000000000005
34,Daniel Jones,QB,24,2021,191.68,167.5,24.180000000000007
18,Lamar Jackson,QB,24,2021,190.67299999999994,240.0,-49.327000000000055
12,Ryan Tannehill,QB,33,2021,190.644,268.4,-77.75599999999997
19,Lamar Jackson,QB,24,2021,189.50599999999991,240.0,-50.494000000000085
29,Jared Goff,QB,27,2021,188.49399999999994,194.5,-6.006000000000057
39,Taysom Hill,QB,31,2021,185.8130000000001,121.7,64.1130000000001
20,Jimmy Garoppolo,QB,30,2021,176.00199999999992,227.5,-51.498000000000076
48,Geno Smith,QB,31,2021,163.40300000000002,54.3,109.10300000000002
31,Baker Mayfield,QB,26,2021,140.50699999999998,180.9,-40.39300000000003
30,Baker Mayfield,QB,26,2021,139.447,180.9,-41.453
49,Drew Lock,QB,25,2021,131.74000000000004,51.9,79.84000000000003
55,Gardner Minshew II,QB,25,2021,131.543,33.7,97.843
41,Trevor Siemian,QB,30,2021,129.47100000000003,90.2,39.27100000000003
37,Zach Wilson,QB,22,2021,128.96900000000002,151.9,-22.930999999999983
26,Ben Roethlisberger,QB,39,2021,128.10499999999996,218.1,-89.99500000000003
36,Davis Mills,QB,23,2021,125.29100000000004,157.0,-31.70899999999996
54,Gardner Minshew II,QB,25,2021,122.93599999999996,33.7,89.23599999999996
42,Cam Newton,QB,32,2021,121.70100000000001,86.4,35.301
38,Justin Fields,QB,22,2021,114.02700000000003,126.8,-12.772999999999968
45,Tyrod Taylor,QB,32,2021,112.838,81.7,31.13799999999999
35,Sam Darnold,QB,24,2021,107.56799999999996,157.3,-49.732000000000056
28,Trevor Lawrence,QB,22,2021,105.911,199.0,-93.089
43,Andy Dalton,QB,34,2021,96.16699999999999,84.2,11.966999999999985
46,Jacoby Brissett,QB,29,2021,92.59700000000004,72.3,20.29700000000004
61,Jordan Love,QB,23,2021,84.44200000000002,21.1,63.34200000000002
52,Colt McCoy,QB,35,2021,81.08099999999997,41.3,39.78099999999998
53,Colt McCoy,QB,35,2021,79.60199999999998,41.3,38.30199999999998
62,Jordan Love,QB,23,2021,79.42600000000002,21.1,58.326000000000015
57,Case Keenum,QB,33,2021,71.51900000000002,28.7,42.81900000000002
50,Josh Johnson,QB,35,2021,63.57899999999998,46.3,17.278999999999982
44,Tyler Huntley,QB,23,2021,61.446999999999996,82.6,-21.153
63,Mason Rudolph,QB,26,2021,59.15399999999999,18.4,40.75399999999999
64,Mason Rudolph,QB,26,2021,59.15399999999999,18.4,40.75399999999999
65,Nick Foles,QB,32,2021,54.29600000000001,16.8,37.49600000000001
51,Mike White,QB,26,2021,47.095000000000006,44.0,3.095000000000006
71,Jake Fromm,QB,23,2021,46.63499999999999,10.9,35.73499999999999
56,Mike Glennon,QB,32,2021,37.20799999999998,30.9,6.3079999999999785
70,Sean Mannion,QB,29,2021,33.61599999999998,13.0,20.61599999999998
72,Nick Mullens,QB,26,2021,30.352999999999998,9.9,20.452999999999996
73,Nick Mullens,QB,26,2021,30.352999999999998,9.9,20.452999999999996
