,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Josh Allen,QB,25,2021,391.4632676729834,402.6,-11.136732327016603
3,Patrick Mahomes,QB,26,2021,389.6154100094275,361.7,27.91541000942749
1,Justin Herbert,QB,23,2021,373.1309246281867,380.8,-7.669075371813335
9,Kyler Murray,QB,24,2021,356.17599236997785,300.5,55.67599236997785
10,Kirk Cousins,QB,33,2021,335.28717110351954,300.3,34.98717110351953
11,Kirk Cousins,QB,33,2021,335.28717110351954,300.3,34.98717110351953
4,Aaron Rodgers,QB,38,2021,330.9608486966083,333.3,-2.339151303391702
2,Tom Brady,QB,44,2021,285.4637785356729,374.7,-89.23622146432712
13,Carson Wentz,QB,29,2021,272.6568105762012,258.0,14.656810576201224
22,Matt Ryan,QB,36,2021,268.26728041353545,222.9,45.36728041353544
23,Matt Ryan,QB,36,2021,265.9600408914173,222.9,43.06004089141729
15,Russell Wilson,QB,33,2021,257.5930341900396,242.8,14.793034190039577
8,Jalen Hurts,QB,23,2021,254.0081674869607,312.2,-58.19183251303929
6,Dak Prescott,QB,28,2021,251.1506474881494,320.6,-69.44935251185063
19,Lamar Jackson,QB,24,2021,241.99002597503113,240.0,1.9900259750311307
18,Lamar Jackson,QB,24,2021,240.59690443390764,240.0,0.596904433907639
5,Matthew Stafford,QB,33,2021,239.7983623105779,329.7,-89.9016376894221
17,Lamar Jackson,QB,24,2021,235.8720554691954,240.0,-4.127944530804598
40,Jameis Winston,QB,27,2021,232.5075092485904,117.4,115.10750924859039
29,Jared Goff,QB,27,2021,231.41905450843524,194.5,36.91905450843524
14,Derek Carr,QB,30,2021,219.95018659995503,257.0,-37.04981340004497
16,Lamar Jackson,QB,24,2021,219.21808700356792,240.0,-20.781912996432084
12,Ryan Tannehill,QB,33,2021,214.29831386293063,268.4,-54.10168613706935
24,Taylor Heinicke,QB,28,2021,207.71334154946408,222.9,-15.18665845053593
34,Daniel Jones,QB,24,2021,206.78711401606324,167.5,39.28711401606324
25,Taylor Heinicke,QB,28,2021,205.40610202734592,222.9,-17.493897972654082
7,Joe Burrow,QB,25,2021,205.22352977602645,314.2,-108.97647022397354
39,Taysom Hill,QB,31,2021,174.4193991725756,121.7,52.71939917257559
30,Baker Mayfield,QB,26,2021,168.19456857024306,180.9,-12.705431429756942
35,Sam Darnold,QB,24,2021,167.11397180730273,157.3,9.813971807302721
47,Trey Lance,QB,21,2021,164.8010691773443,64.9,99.90106917734428
27,Teddy Bridgewater,QB,29,2021,160.13492881681168,202.7,-42.56507118318831
31,Baker Mayfield,QB,26,2021,154.69101092759,180.9,-26.20898907240999
42,Cam Newton,QB,32,2021,152.72865559302863,86.4,66.32865559302863
26,Ben Roethlisberger,QB,39,2021,150.32151694203958,218.1,-67.77848305796041
28,Trevor Lawrence,QB,22,2021,143.60315831783328,199.0,-55.39684168216672
20,Jimmy Garoppolo,QB,30,2021,139.83594754422074,227.5,-87.66405245577926
59,Joe Flacco,QB,36,2021,133.38460691743785,23.8,109.58460691743785
21,Mac Jones,QB,23,2021,132.00521111904573,224.9,-92.89478888095428
55,Gardner Minshew II,QB,25,2021,121.43525418679656,33.7,87.73525418679655
32,Tua Tagovailoa,QB,23,2021,120.99523772386101,180.9,-59.904762276138996
37,Zach Wilson,QB,22,2021,118.38552153215551,151.9,-33.5144784678445
60,Cooper Rush,QB,28,2021,118.20036480212048,24.1,94.10036480212048
54,Gardner Minshew II,QB,25,2021,116.21614349727997,33.7,82.51614349727997
33,Tua Tagovailoa,QB,23,2021,107.49168008120841,180.9,-73.40831991879159
36,Davis Mills,QB,23,2021,96.79378476537704,157.0,-60.20621523462296
43,Andy Dalton,QB,34,2021,92.30273264791276,84.2,8.10273264791276
64,Mason Rudolph,QB,26,2021,89.64847644453084,18.4,71.24847644453084
63,Mason Rudolph,QB,26,2021,89.64847644453084,18.4,71.24847644453084
48,Geno Smith,QB,31,2021,86.8852747347205,54.3,32.5852747347205
45,Tyrod Taylor,QB,32,2021,74.27792860606405,81.7,-7.422071393935951
41,Trevor Siemian,QB,30,2021,72.59462786991025,90.2,-17.605372130089748
58,Tim Boyle,QB,27,2021,54.98385263567798,24.3,30.683852635677976
62,Jordan Love,QB,23,2021,54.97593804877215,21.1,33.87593804877215
50,Josh Johnson,QB,35,2021,53.490365283973915,46.3,7.190365283973918
38,Justin Fields,QB,22,2021,48.544758090539744,126.8,-78.25524190946025
57,Case Keenum,QB,33,2021,46.35773934549479,28.7,17.657739345494793
49,Drew Lock,QB,25,2021,45.51672464626108,51.9,-6.383275353738917
52,Colt McCoy,QB,35,2021,39.82648113111327,41.3,-1.4735188688867282
53,Colt McCoy,QB,35,2021,35.13173070379844,41.3,-6.168269296201558
61,Jordan Love,QB,23,2021,33.71639143256425,21.1,12.61639143256425
72,Nick Mullens,QB,26,2021,32.2084597094281,9.9,22.3084597094281
73,Nick Mullens,QB,26,2021,32.2084597094281,9.9,22.3084597094281
46,Jacoby Brissett,QB,29,2021,27.024016259413656,72.3,-45.27598374058634
71,Jake Fromm,QB,23,2021,22.947306055903937,10.9,12.047306055903936
56,Mike Glennon,QB,32,2021,21.759430618800707,30.9,-9.140569381199292
51,Mike White,QB,26,2021,-5.740409206448476,44.0,-49.740409206448476
44,Tyler Huntley,QB,23,2021,-11.925710854985937,82.6,-94.52571085498593
65,Nick Foles,QB,32,2021,-12.084345156654763,16.8,-28.884345156654764
66,Brandon Allen,QB,29,2021,-31.546005432152015,13.9,-45.44600543215201
67,Brandon Allen,QB,29,2021,-34.69334594790098,13.9,-48.59334594790098
70,Sean Mannion,QB,29,2021,-53.78893855815886,13.0,-66.78893855815886
69,P.J. Walker,QB,26,2021,-83.51211864037032,13.8,-97.31211864037031
68,P.J. Walker,QB,26,2021,-87.33217756347904,13.8,-101.13217756347903
