,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,23.0,2022,255.5909732526429,47.7,207.89097325264288
12,Dalvin Cook,RB,27.0,2022,230.78647659134464,47.7,183.08647659134465
11,Najee Harris,RB,24.0,2022,224.1063277190854,47.7,176.40632771908543
2,Christian McCaffrey,RB,26.0,2022,220.13706357967087,47.7,172.43706357967085
19,James Conner,RB,27.0,2022,219.58449079635668,47.7,171.88449079635666
18,Alvin Kamara,RB,27.0,2022,219.58449079635668,47.7,171.88449079635666
16,Aaron Jones,RB,28.0,2022,219.0883040814176,47.7,171.38830408141757
5,Austin Ekeler,RB,27.0,2022,206.01989375258842,47.7,158.31989375258843
6,Jamaal Williams,RB,27.0,2022,206.01989375258842,47.7,158.31989375258843
26,Tyreek Hill,RB,28.0,2022,201.58188744743634,47.7,153.88188744743633
29,Ezekiel Elliott,RB,27.0,2022,197.83126021394938,47.7,150.13126021394936
15,Nick Chubb,RB,27.0,2022,197.34922887321514,47.7,149.64922887321512
27,Leonard Fournette,RB,27.0,2022,182.66837345139848,47.7,134.96837345139846
30,David Montgomery,RB,25.0,2022,179.44706984148692,47.7,131.7470698414869
3,Derrick Henry,RB,28.0,2022,176.00924146426723,47.7,128.30924146426725
57,James Robinson,RB,24.0,2022,175.87245713516378,47.7,128.17245713516377
24,Javonte Williams,RB,22.0,2022,171.9380202049439,47.7,124.23802020494391
38,Josh Jacobs,RB,24.0,2022,168.69786258069027,47.7,120.99786258069027
14,D'Andre Swift,RB,23.0,2022,167.52550846140772,47.7,119.82550846140772
13,Joe Mixon,RB,26.0,2022,162.69209785811958,47.7,114.99209785811958
58,Melvin Gordon,RB,29.0,2022,159.17915036800306,47.7,111.47915036800306
22,James Conner,RB,27.0,2022,155.21368593741468,47.7,107.51368593741468
21,Alvin Kamara,RB,27.0,2022,155.21368593741468,47.7,107.51368593741468
49,Miles Sanders,RB,25.0,2022,154.28875366077799,47.7,106.58875366077798
96,Kenyan Drake,RB,28.0,2022,152.0723611926385,47.7,104.37236119263851
66,Michael Carter,RB,23.0,2022,140.05140448534766,47.7,92.35140448534766
54,Devin Singletary,RB,25.0,2022,139.0010863386653,47.7,91.30108633866529
37,Elijah Mitchell,RB,24.0,2022,138.72876242790883,47.7,91.02876242790883
69,Ronald Jones II,RB,25.0,2022,137.19798409510642,47.7,89.49798409510642
78,Mark Ingram,RB,33.0,2022,128.4098497210287,47.7,80.7098497210287
23,Saquon Barkley,RB,25.0,2022,128.00309204042955,47.7,80.30309204042955
53,Kareem Hunt,RB,27.0,2022,120.42933864845347,47.7,72.72933864845346
47,AJ Dillon,RB,24.0,2022,119.56602818768587,47.7,71.86602818768587
48,Damien Harris,RB,25.0,2022,117.74989040137046,47.7,70.04989040137046
42,Clyde Edwards-Helaire,RB,23.0,2022,116.61121067809513,47.7,68.91121067809513
51,Tony Pollard,RB,25.0,2022,116.48390819757368,47.7,68.78390819757368
56,Chase Edmonds,RB,26.0,2022,115.69571908596045,47.7,67.99571908596045
68,Nyheim Hines,RB,26.0,2022,115.03191312833722,47.7,67.33191312833722
115,Damien Williams,RB,30.0,2022,112.25128341148148,47.7,64.55128341148148
95,Sony Michel,RB,27.0,2022,110.72689394413332,47.7,63.02689394413332
110,Mike Davis,RB,29.0,2022,110.71992760522748,47.7,63.01992760522748
88,Amon-Ra St. Brown,WR,23.0,2022,108.9405725218606,47.7,61.2405725218606
89,Chuba Hubbard,RB,23.0,2022,108.9405725218606,47.7,61.2405725218606
90,Trevor Lawrence,QB,23.0,2022,108.9405725218606,47.7,61.2405725218606
87,CeeDee Lamb,WR,23.0,2022,108.9405725218606,47.7,61.2405725218606
72,J.D. McKissic,RB,29.0,2022,107.8872723163164,47.7,60.187272316316395
8,Austin Ekeler,RB,27.0,2022,105.33714093018754,47.7,57.63714093018754
9,Jamaal Williams,RB,27.0,2022,105.33714093018754,47.7,57.63714093018754
106,Myles Gaskin,RB,25.0,2022,104.13183552784527,47.7,56.431835527845266
112,Phillip Lindsay,RB,28.0,2022,99.06296720474974,47.7,51.36296720474974
71,Raheem Mostert,RB,30.0,2022,98.92203201768342,47.7,51.22203201768342
83,Kenneth Gainwell,RB,23.0,2022,97.81469452363417,47.7,50.11469452363417
61,Rhamondre Stevenson,RB,24.0,2022,95.78274435058218,47.7,48.082744350582175
103,James White,RB,30.0,2022,95.15443131378184,47.7,47.45443131378184
70,Darrell Henderson,RB,25.0,2022,95.12451250577448,47.7,47.42451250577447
77,Marlon Mack,RB,26.0,2022,91.26622994553888,47.7,43.56622994553888
63,Alexander Mattison,RB,24.0,2022,90.38381809283774,47.7,42.68381809283774
92,Darrel Williams,RB,27.0,2022,88.96341011716079,47.7,41.26341011716079
119,Boston Scott,RB,27.0,2022,85.0603287323763,47.7,37.3603287323763
50,Rashaad Penny,RB,26.0,2022,84.45769229918466,47.7,36.757692299184654
117,Giovani Bernard,RB,31.0,2022,84.1478323825859,47.7,36.4478323825859
116,Rex Burkhead,RB,32.0,2022,84.14207729504851,47.7,36.442077295048506
97,Jerick McKinnon,RB,30.0,2022,83.75850167987738,47.7,36.05850167987738
108,Matt Breida,RB,27.0,2022,76.67824880103394,47.7,28.978248801033942
31,Cam Akers,RB,23.0,2022,75.24473915874238,47.7,27.544739158742374
105,Samaje Perine,RB,27.0,2022,71.76646787888251,47.7,24.066467878882506
101,D'Ernest Johnson,RB,26.0,2022,66.83250019909958,47.7,19.13250019909958
100,Dontrell Hilliard,RB,27.0,2022,63.69088653222834,47.7,15.990886532228338
94,Ameer Abdullah,RB,29.0,2022,56.220268808607514,47.7,8.520268808607511
99,Trey Sermon,RB,23.0,2022,48.458364463006966,47.7,0.7583644630069628
109,Eno Benjamin,RB,23.0,2022,45.407774652207536,47.7,-2.292225347792467
