,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
29,Aaron Jones,RB,27.0,2021,243.91100000000003,229.0,14.91100000000003
22,Nick Chubb,RB,26.0,2021,228.56900000000016,215.3,13.269000000000148
0,Jonathan Taylor,RB,22.0,2021,207.08400000000017,373.1,-166.01599999999985
24,Alvin Kamara,RB,26.0,2021,206.6810000000001,234.7,-28.01899999999989
44,D'Andre Swift,RB,22.0,2021,204.82399999999998,208.9,-4.076000000000022
30,Derrick Henry,RB,27.0,2021,190.37500000000009,193.3,-2.924999999999926
97,Miles Sanders,RB,24.0,2021,189.4940000000001,117.2,72.29400000000011
45,James Robinson,RB,23.0,2021,188.18199999999996,173.9,14.281999999999954
25,Antonio Gibson,RB,23.0,2021,187.44800000000004,229.1,-41.65199999999996
96,Christian McCaffrey,RB,25.0,2021,186.761,127.5,59.260999999999996
31,Dalvin Cook,RB,26.0,2021,186.296,206.3,-20.00400000000002
20,Ezekiel Elliott,RB,26.0,2021,180.24700000000007,252.1,-71.85299999999992
1,Austin Ekeler,RB,26.0,2021,176.34799999999993,343.8,-167.45200000000008
79,Saquon Barkley,RB,24.0,2021,176.08999999999997,148.6,27.48999999999998
185,Chris Carson,RB,27.0,2021,173.19199999999998,48.1,125.09199999999998
18,James Conner,RB,26.0,2021,170.95099999999994,257.7,-86.74900000000005
36,David Montgomery,RB,24.0,2021,168.19,195.0,-26.810000000000002
32,Josh Jacobs,RB,23.0,2021,166.849,226.0,-59.15100000000001
119,Ronald Jones II,RB,24.0,2021,161.52100000000002,79.2,82.32100000000001
35,Devin Singletary,RB,24.0,2021,146.61200000000002,197.8,-51.18799999999999
117,Kenyan Drake,RB,27.0,2021,143.42299999999994,102.5,40.922999999999945
98,Kareem Hunt,RB,26.0,2021,143.36699999999996,110.0,33.36699999999996
390,Marlon Mack,RB,25.0,2021,142.95299999999997,12.9,130.05299999999997
33,Melvin Gordon,RB,28.0,2021,135.59200000000007,195.1,-59.507999999999925
6,Joe Mixon,RB,25.0,2021,135.19200000000004,287.9,-152.70799999999994
348,James White,RB,29.0,2021,134.43200000000013,31.2,103.23200000000013
84,Clyde Edwards-Helaire,RB,22.0,2021,134.281,117.6,16.68100000000001
57,Myles Gaskin,RB,24.0,2021,132.68799999999996,173.6,-40.912000000000035
27,Leonard Fournette,RB,26.0,2021,123.93899999999998,255.6,-131.661
263,Le'Veon Bell,RB,29.0,2021,123.19500000000005,38.1,85.09500000000006
145,David Johnson,RB,30.0,2021,120.73400000000005,81.3,39.434000000000054
115,Mark Ingram,RB,32.0,2021,119.30199999999995,108.6,10.701999999999956
186,Tevin Coleman,RB,28.0,2021,117.15400000000007,51.5,65.65400000000007
86,Mike Davis,RB,28.0,2021,110.911,138.2,-27.288999999999987
82,Chase Edmonds,RB,25.0,2021,110.353,143.3,-32.94700000000002
23,Damien Harris,RB,24.0,2021,107.51099999999995,210.1,-102.58900000000004
122,Jordan Howard,RB,27.0,2021,105.727,62.5,43.227000000000004
463,Cam Akers,RB,22.0,2021,105.65899999999996,4.3,101.35899999999997
470,Anthony McFarland Jr.,RB,22.0,2021,104.8635332711169,2.4,102.4635332711169
110,J.D. McKissic,RB,28.0,2021,103.91300000000001,127.9,-23.986999999999995
111,Ty Montgomery,WR,28.0,2021,103.91300000000001,127.9,-23.986999999999995
345,Jerick McKinnon,RB,29.0,2021,103.37499999999999,35.9,67.475
449,Raheem Mostert,RB,29.0,2021,102.48899999999999,2.0,100.48899999999999
118,Nyheim Hines,RB,25.0,2021,101.16700000000006,112.6,-11.432999999999936
378,Wayne Gallman,RB,27.0,2021,99.95800000000001,13.5,86.45800000000001
47,Darrell Henderson,RB,24.0,2021,98.53399999999993,163.4,-64.86600000000007
48,Zack Moss,RB,24.0,2021,98.53399999999993,163.4,-64.86600000000007
61,Tony Pollard,RB,24.0,2021,96.49500000000003,162.6,-66.10499999999996
346,Adrian Peterson,RB,36.0,2021,94.16399999999994,26.6,67.56399999999994
53,Zack Moss,RB,24.0,2021,93.45100000000004,105.2,-11.748999999999967
52,Darrell Henderson,RB,24.0,2021,93.45100000000004,105.2,-11.748999999999967
342,Royce Freeman,RB,25.0,2021,91.825,34.6,57.225
428,Kalen Ballage,RB,26.0,2021,91.79199999999996,6.4,85.39199999999995
178,Damien Williams,RB,29.0,2021,91.40400000000005,60.7,30.70400000000005
187,Phillip Lindsay,RB,27.0,2021,91.15100000000002,45.4,45.751000000000026
385,Joshua Kelley,RB,24.0,2021,90.86000000000001,17.0,73.86000000000001
37,AJ Dillon,RB,23.0,2021,88.257,185.6,-97.34299999999999
38,Alexander Mattison,RB,23.0,2021,88.257,185.6,-97.34299999999999
125,Wendell Smallwood,RB,27.0,2021,87.866,68.8,19.066000000000003
123,Alex Collins,RB,27.0,2021,87.866,68.8,19.066000000000003
124,Tajae Sharpe,WR,27.0,2021,87.866,68.8,19.066000000000003
88,Latavius Murray,RB,31.0,2021,86.176,103.6,-17.423999999999992
415,Trayveon Williams,RB,24.0,2021,86.053,6.5,79.553
205,Matt Breida,RB,26.0,2021,85.03800000000003,42.7,42.33800000000002
396,Benny Snell Jr.,RB,23.0,2021,84.62199999999999,13.1,71.52199999999999
90,Jonnu Smith,TE,26.0,2021,84.331,119.8,-35.468999999999994
89,Jamaal Williams,RB,26.0,2021,84.331,119.8,-35.468999999999994
112,Brandon Bolden,RB,31.0,2021,83.62900000000002,124.1,-40.470999999999975
40,AJ Dillon,RB,23.0,2021,82.68699999999998,125.9,-43.21300000000002
41,Alexander Mattison,RB,23.0,2021,82.68699999999998,125.9,-43.21300000000002
113,Ty Johnson,RB,24.0,2021,80.02400000000003,117.0,-36.97599999999997
28,Cordarrelle Patterson,RB,30.0,2021,79.64099999999998,234.6,-154.959
76,Devonta Freeman,RB,29.0,2021,79.536,146.6,-67.064
134,Duke Johnson,RB,28.0,2021,75.44599999999997,59.1,16.345999999999968
80,Devontae Booker,RB,29.0,2021,75.37100000000002,144.1,-68.72899999999997
121,Justin Jackson,RB,25.0,2021,73.71200000000002,86.2,-12.487999999999985
203,Giovani Bernard,RB,30.0,2021,72.30400000000003,59.1,13.204000000000029
73,Gabriel Davis,WR,22.0,2021,71.95406033899208,2.0,69.95406033899208
65,Gabriel Davis,WR,22.0,2021,71.95406033899208,154.4,-82.44593966100793
69,Gabriel Davis,WR,22.0,2021,71.95406033899208,28.3,43.65406033899208
70,Gabriel Davis,WR,22.0,2021,71.95406033899208,28.0,43.95406033899208
71,Gabriel Davis,WR,22.0,2021,71.95406033899208,15.6,56.35406033899208
67,Gabriel Davis,WR,22.0,2021,71.95406033899208,123.4,-51.44593966100793
66,Gabriel Davis,WR,22.0,2021,71.95406033899208,137.6,-65.64593966100792
72,Gabriel Davis,WR,22.0,2021,71.95406033899208,9.1,62.85406033899208
68,Gabriel Davis,WR,22.0,2021,71.95406033899208,55.9,16.05406033899208
74,Gabriel Davis,WR,22.0,2021,71.95406033899208,-0.1,72.05406033899207
412,Mike Boone,RB,26.0,2021,68.61900000000003,7.7,60.919000000000025
328,Justin Herbert,QB,23.0,2021,67.36200000000002,38.6,28.76200000000002
329,Salvon Ahmed,RB,23.0,2021,67.36200000000002,38.6,28.76200000000002
343,Corey Clement,RB,27.0,2021,67.03800000000003,28.9,38.13800000000003
347,Malcolm Brown,RB,28.0,2021,66.56300000000002,22.5,44.06300000000002
441,Reggie Bonnafon,RB,25.0,2021,66.34599999999999,3.6,62.74599999999999
414,Ito Smith,RB,26.0,2021,65.85100000000003,6.4,59.45100000000003
278,Andy Isabella,WR,25.0,2021,64.35701771284272,13.9,50.45701771284272
270,Andy Isabella,WR,25.0,2021,64.35701771284272,41.9,22.45701771284272
302,Andy Isabella,WR,25.0,2021,64.35701771284272,0.3,64.05701771284272
294,Andy Isabella,WR,25.0,2021,64.35701771284272,3.5,60.85701771284272
131,Samaje Perine,RB,26.0,2021,64.135,83.2,-19.064999999999998
392,Jalen Richard,RB,28.0,2021,63.72900000000002,23.2,40.529000000000025
262,Carlos Hyde,RB,31.0,2021,61.98099999999996,45.8,16.180999999999962
188,Peyton Barber,RB,27.0,2021,60.85200000000002,49.9,10.95200000000002
59,Sony Michel,RB,26.0,2021,60.79499999999999,146.3,-85.50500000000002
127,Alex Collins,RB,27.0,2021,59.85199999999999,8.7,51.15199999999999
128,Tajae Sharpe,WR,27.0,2021,59.85199999999999,8.7,51.15199999999999
129,Wendell Smallwood,RB,27.0,2021,59.85199999999999,8.7,51.15199999999999
116,Rex Burkhead,RB,31.0,2021,59.74100000000002,104.3,-44.558999999999976
180,Jeff Wilson,RB,26.0,2021,57.732,51.5,6.231999999999999
179,Patrick Mahomes,QB,26.0,2021,57.732,51.5,6.231999999999999
102,Boston Scott,RB,26.0,2021,57.360000000000035,98.6,-41.23999999999996
75,Rashaad Penny,RB,25.0,2021,56.90699999999998,121.7,-64.79300000000002
