,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
0,Jonathan Taylor,RB,23.0,2022,274.90369999999996,,,1.0,1.01,Jonathan Taylor,RB,IND,14.0,1.2,0.5,1.01,1.05,4750.0
1,Nick Chubb,RB,27.0,2022,220.06159999999943,,,14.0,2.03,Nick Chubb,RB,CLE,9.0,14.6,2.8,1.01,3.01,3969.0
2,Javonte Williams,RB,22.0,2022,213.21839999999966,,,21.0,2.08,Javonte Williams,RB,DEN,9.0,20.4,3.6,1.01,3.1,4807.0
3,Christian McCaffrey,RB,26.0,2022,203.19899999999998,,,2.0,1.02,Christian McCaffrey,RB,CAR,13.0,2.0,0.8,1.01,1.08,2903.0
4,James Conner,RB,27.0,2022,202.80640000000062,,,33.0,3.07,James Conner,RB,ARI,13.0,31.1,3.8,1.12,4.09,5709.0
5,Alvin Kamara,RB,27.0,2022,202.80640000000062,,,18.0,2.05,Alvin Kamara,RB,NO,14.0,17.4,3.4,1.03,3.06,6509.0
6,Josh Jacobs,RB,24.0,2022,199.32340000000022,,,48.0,4.09,Josh Jacobs,RB,LV,6.0,45.4,5.4,1.12,7.02,3344.0
7,Najee Harris,RB,24.0,2022,198.37550000000104,,,7.0,1.07,Najee Harris,RB,PIT,9.0,6.9,2.0,1.01,2.03,5467.0
8,Tyreek Hill,RB,28.0,2022,192.00940000000108,,,22.0,2.1,Tyreek Hill,WR,MIA,11.0,22.2,3.0,1.02,3.11,4627.0
9,D'Andre Swift,RB,23.0,2022,189.70279999999892,,,12.0,1.12,D'Andre Swift,RB,DET,6.0,11.7,2.1,1.02,2.09,3692.0
10,Jamaal Williams,RB,27.0,2022,185.8476,,,142.0,12.02,Jamaal Williams,RB,DET,6.0,133.8,9.4,8.12,15.06,1420.0
11,Austin Ekeler,RB,27.0,2022,185.8476,,,5.0,1.05,Austin Ekeler,RB,LAC,8.0,4.6,1.4,1.01,1.11,5312.0
12,Miles Sanders,RB,25.0,2022,185.23529999999994,,,64.0,6.01,Miles Sanders,RB,PHI,7.0,61.1,5.6,3.07,7.11,2747.0
13,Dalvin Cook,RB,27.0,2022,182.5354000000001,,,8.0,1.08,Dalvin Cook,RB,MIN,7.0,7.9,1.8,1.01,2.03,5884.0
14,James Robinson,RB,24.0,2022,177.07610000000003,,,86.0,7.11,James Robinson,RB,JAX,11.0,82.6,7.0,3.1,9.1,1453.0
15,Joe Mixon,RB,26.0,2022,169.76000000000033,,,10.0,1.1,Joe Mixon,RB,CIN,10.0,10.1,2.0,1.01,2.07,4630.0
16,AJ Dillon,RB,24.0,2022,166.50200000000072,,,,,,,,,,,,,
17,David Montgomery,RB,25.0,2022,165.3906000000001,,,32.0,3.07,David Montgomery,RB,CHI,14.0,30.9,3.8,2.04,5.11,2561.0
18,James Conner,RB,27.0,2022,164.80100000000039,,,33.0,3.07,James Conner,RB,ARI,13.0,31.1,3.8,1.12,4.09,5709.0
19,Alvin Kamara,RB,27.0,2022,164.80100000000039,,,18.0,2.05,Alvin Kamara,RB,NO,14.0,17.4,3.4,1.03,3.06,6509.0
20,Ezekiel Elliott,RB,27.0,2022,154.30630000000022,,,27.0,3.03,Ezekiel Elliott,RB,DAL,9.0,26.6,3.6,1.05,4.06,4394.0
21,Aaron Jones,RB,28.0,2022,154.1123000000002,,,16.0,2.03,Aaron Jones,RB,GB,14.0,15.5,2.6,1.02,3.02,5366.0
22,Saquon Barkley,RB,25.0,2022,152.40970000000095,,,20.0,2.07,Saquon Barkley,RB,NYG,9.0,18.7,3.4,1.02,3.07,6383.0
23,Leonard Fournette,RB,27.0,2022,149.92030000000005,,,24.0,2.12,Leonard Fournette,RB,TB,11.0,23.8,3.7,1.01,3.12,5180.0
24,Damien Harris,RB,25.0,2022,141.03280000000072,,,61.0,5.1,Damien Harris,RB,NE,10.0,58.1,5.8,2.11,7.08,1668.0
25,Elijah Mitchell,RB,24.0,2022,140.7292000000005,,,47.0,4.08,Elijah Mitchell,RB,SF,9.0,44.0,4.9,2.11,6.04,4449.0
26,Devin Singletary,RB,25.0,2022,136.50720000000055,,,78.0,7.02,Devin Singletary,RB,BUF,7.0,74.3,6.8,4.06,8.09,2013.0
27,Derrick Henry,RB,28.0,2022,132.8903000000003,,,3.0,1.04,Derrick Henry,RB,TEN,6.0,4.0,1.5,1.01,2.01,3867.0
28,Ronald Jones II,RB,25.0,2022,129.99580000000026,,,109.0,9.08,Ronald Jones II,RB,KC,8.0,104.5,7.7,6.08,12.08,912.0
29,Clyde Edwards-Helaire,RB,23.0,2022,122.21630000000052,,,57.0,5.06,Clyde Edwards-Helaire,RB,KC,8.0,54.0,5.3,2.08,8.07,2525.0
30,Melvin Gordon,RB,29.0,2022,116.59530000000015,,,89.0,8.03,Melvin Gordon,RB,DEN,9.0,86.7,7.2,4.1,10.04,2570.0
31,Darrell Henderson,RB,25.0,2022,114.64720000000008,,,110.0,9.09,Darrell Henderson,RB,LAR,7.0,104.8,6.4,6.08,11.06,1351.0
32,CeeDee Lamb,WR,23.0,2022,110.16480000000045,,,17.0,2.04,CeeDee Lamb,WR,DAL,9.0,16.2,2.6,1.01,3.01,4155.0
33,Trevor Lawrence,QB,23.0,2022,110.16480000000045,,,184.0,13.1,Trevor Lawrence,QB,JAX,11.0,154.3,17.2,6.11,16.07,1291.0
34,Chuba Hubbard,RB,23.0,2022,110.16480000000045,,,135.0,11.09,Chuba Hubbard,RB,CAR,13.0,129.3,11.4,5.02,14.03,1033.0
35,Amon-Ra St. Brown,WR,23.0,2022,110.16480000000045,,,84.0,7.08,Amon-Ra St. Brown,WR,DET,6.0,80.4,7.8,4.01,10.11,5143.0
36,Michael Carter,RB,23.0,2022,108.49280000000046,,,104.0,9.07,Michael Carter,RB,NYJ,10.0,102.6,7.4,2.05,11.06,1389.0
37,Myles Gaskin,RB,25.0,2022,107.69000000000013,,,244.0,15.01,Myles Gaskin,RB,MIA,11.0,169.1,23.6,10.03,18.06,36.0
38,Kareem Hunt,RB,27.0,2022,107.3218000000001,,,74.0,6.1,Kareem Hunt,RB,CLE,9.0,69.7,6.2,3.09,8.09,3554.0
39,Rhamondre Stevenson,RB,24.0,2022,102.50510000000003,,,91.0,8.03,Rhamondre Stevenson,RB,NE,10.0,87.0,7.8,3.02,10.12,4633.0
40,Tony Pollard,RB,25.0,2022,101.66780000000023,,,73.0,6.09,Tony Pollard,RB,DAL,9.0,69.4,6.4,1.04,8.07,2809.0
41,Cam Akers,RB,23.0,2022,101.4646000000003,,,36.0,3.1,Cam Akers,RB,LAR,7.0,33.6,4.0,1.01,5.02,4298.0
42,Alexander Mattison,RB,24.0,2022,98.51350000000001,,,99.0,8.1,Alexander Mattison,RB,MIN,7.0,94.3,7.1,4.04,10.06,1251.0
43,Samaje Perine,RB,27.0,2022,96.86169999999969,,,242.0,14.12,Samaje Perine,RB,CIN,10.0,168.3,19.7,9.09,18.05,145.0
44,Austin Ekeler,RB,27.0,2022,96.70440000000025,,,5.0,1.05,Austin Ekeler,RB,LAC,8.0,4.6,1.4,1.01,1.11,5312.0
45,Jamaal Williams,RB,27.0,2022,96.70440000000025,,,142.0,12.02,Jamaal Williams,RB,DET,6.0,133.8,9.4,8.12,15.06,1420.0
46,Kenyan Drake,RB,28.0,2022,96.30329999999987,,,191.0,13.12,Kenyan Drake,RB,LV,6.0,156.5,15.9,8.01,16.04,794.0
47,Sony Michel,RB,27.0,2022,93.31230000000039,,,188.0,13.11,Sony Michel,RB,MIA,11.0,155.4,15.5,9.08,16.01,489.0
48,Darrel Williams,RB,27.0,2022,93.02699999999994,,,152.0,12.06,Darrel Williams,RB,ARI,13.0,138.3,12.2,4.07,15.1,555.0
49,D'Ernest Johnson,RB,26.0,2022,90.27249999999985,,,224.0,14.08,D'Ernest Johnson,RB,CLE,9.0,164.3,18.1,9.05,17.1,238.0
50,Mark Ingram,RB,33.0,2022,90.2163999999999,,,129.0,11.03,Mark Ingram,RB,NO,14.0,123.5,11.1,2.06,13.06,1005.0
