,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
0,Jonathan Taylor,RB,23.0,2022,276.6761999999996,,,1.0,1.01,RB,IND,14.0,1.2,0.5,1.01,1.05,4750.0
1,Nick Chubb,RB,27.0,2022,224.0185999999991,,,14.0,2.03,RB,CLE,9.0,14.6,2.8,1.01,3.01,3969.0
2,Javonte Williams,RB,22.0,2022,211.50560000000002,,,21.0,2.08,RB,DEN,9.0,20.4,3.6,1.01,3.1,4807.0
3,James Conner,RB,27.0,2022,207.05710000000082,,,33.0,3.07,RB,ARI,13.0,31.1,3.8,1.12,4.09,5709.0
4,Alvin Kamara,RB,27.0,2022,207.05710000000082,,,18.0,2.05,RB,NO,14.0,17.4,3.4,1.03,3.06,6509.0
5,Christian McCaffrey,RB,26.0,2022,205.85170000000008,,,2.0,1.02,RB,CAR,13.0,2.0,0.8,1.01,1.08,2903.0
6,Najee Harris,RB,24.0,2022,197.59630000000095,,,7.0,1.07,RB,PIT,9.0,6.9,2.0,1.01,2.03,5467.0
7,Josh Jacobs,RB,24.0,2022,196.49809999999994,,,48.0,4.09,RB,LV,6.0,45.4,5.4,1.12,7.02,3344.0
8,Tyreek Hill,RB,28.0,2022,195.95620000000082,,,22.0,2.1,WR,MIA,11.0,22.2,3.0,1.02,3.11,4627.0
9,D'Andre Swift,RB,23.0,2022,189.19339999999926,,,12.0,1.12,RB,DET,6.0,11.7,2.1,1.02,2.09,3692.0
10,Jamaal Williams,RB,27.0,2022,184.4043999999999,,,142.0,12.02,RB,DET,6.0,133.8,9.4,8.12,15.06,1420.0
11,Austin Ekeler,RB,27.0,2022,184.4043999999999,,,5.0,1.05,RB,LAC,8.0,4.6,1.4,1.01,1.11,5312.0
12,Miles Sanders,RB,25.0,2022,183.83699999999993,,,64.0,6.01,RB,PHI,7.0,61.1,5.6,3.07,7.11,2747.0
13,Dalvin Cook,RB,27.0,2022,181.26160000000007,,,8.0,1.08,RB,MIN,7.0,7.9,1.8,1.01,2.03,5884.0
14,Joe Mixon,RB,26.0,2022,170.98990000000066,,,10.0,1.1,RB,CIN,10.0,10.1,2.0,1.01,2.07,4630.0
15,James Robinson,RB,24.0,2022,169.64880000000028,,,86.0,7.11,RB,JAX,11.0,82.6,7.0,3.1,9.1,1453.0
16,David Montgomery,RB,25.0,2022,165.47170000000008,,,32.0,3.07,RB,CHI,14.0,30.9,3.8,2.04,5.11,2561.0
17,Ezekiel Elliott,RB,27.0,2022,161.2339000000003,,,27.0,3.03,RB,DAL,9.0,26.6,3.6,1.05,4.06,4394.0
18,AJ Dillon,RB,24.0,2022,161.07820000000086,,,,,,,,,,,,
19,Alvin Kamara,RB,27.0,2022,160.03170000000046,,,18.0,2.05,RB,NO,14.0,17.4,3.4,1.03,3.06,6509.0
20,James Conner,RB,27.0,2022,160.03170000000046,,,33.0,3.07,RB,ARI,13.0,31.1,3.8,1.12,4.09,5709.0
21,Saquon Barkley,RB,25.0,2022,154.63710000000083,,,20.0,2.07,RB,NYG,9.0,18.7,3.4,1.02,3.07,6383.0
22,Leonard Fournette,RB,27.0,2022,154.1135,,,24.0,2.12,RB,TB,11.0,23.8,3.7,1.01,3.12,5180.0
23,Aaron Jones,RB,28.0,2022,151.35420000000045,,,16.0,2.03,RB,GB,14.0,15.5,2.6,1.02,3.02,5366.0
24,Elijah Mitchell,RB,24.0,2022,139.9853000000006,,,47.0,4.08,RB,SF,9.0,44.0,4.9,2.11,6.04,4449.0
25,Damien Harris,RB,25.0,2022,139.71580000000048,,,61.0,5.1,RB,NE,10.0,58.1,5.8,2.11,7.08,1668.0
26,Derrick Henry,RB,28.0,2022,135.72610000000026,,,3.0,1.04,RB,TEN,6.0,4.0,1.5,1.01,2.01,3867.0
27,Devin Singletary,RB,25.0,2022,129.70980000000066,,,78.0,7.02,RB,BUF,7.0,74.3,6.8,4.06,8.09,2013.0
28,Ronald Jones II,RB,25.0,2022,123.63250000000038,,,109.0,9.08,RB,KC,8.0,104.5,7.7,6.08,12.08,912.0
29,Clyde Edwards-Helaire,RB,23.0,2022,121.12420000000057,,,57.0,5.06,RB,KC,8.0,54.0,5.3,2.08,8.07,2525.0
30,Melvin Gordon,RB,29.0,2022,118.57690000000007,,,89.0,8.03,RB,DEN,9.0,86.7,7.2,4.1,10.04,2570.0
31,Kareem Hunt,RB,27.0,2022,108.6948999999999,,,74.0,6.1,RB,CLE,9.0,69.7,6.2,3.09,8.09,3554.0
32,Darrell Henderson,RB,25.0,2022,108.53470000000007,,,110.0,9.09,RB,LAR,7.0,104.8,6.4,6.08,11.06,1351.0
33,Trevor Lawrence,QB,23.0,2022,107.04210000000053,,,184.0,13.1,QB,JAX,11.0,154.3,17.2,6.11,16.07,1291.0
34,Chuba Hubbard,RB,23.0,2022,107.04210000000053,,,135.0,11.09,RB,CAR,13.0,129.3,11.4,5.02,14.03,1033.0
35,Amon-Ra St. Brown,WR,23.0,2022,107.04210000000053,,,84.0,7.08,WR,DET,6.0,80.4,7.8,4.01,10.11,5143.0
36,CeeDee Lamb,WR,23.0,2022,107.04210000000053,,,17.0,2.04,WR,DAL,9.0,16.2,2.6,1.01,3.01,4155.0
37,Michael Carter,RB,23.0,2022,104.84820000000035,,,104.0,9.07,RB,NYJ,10.0,102.6,7.4,2.05,11.06,1389.0
38,Tony Pollard,RB,25.0,2022,103.63760000000013,,,73.0,6.09,RB,DAL,9.0,69.4,6.4,1.04,8.07,2809.0
39,Rhamondre Stevenson,RB,24.0,2022,101.01670000000004,,,91.0,8.03,RB,NE,10.0,87.0,7.8,3.02,10.12,4633.0
40,Myles Gaskin,RB,25.0,2022,99.45240000000014,,,244.0,15.01,RB,MIA,11.0,169.1,23.6,10.03,18.06,36.0
41,Alexander Mattison,RB,24.0,2022,99.35999999999996,,,99.0,8.1,RB,MIN,7.0,94.3,7.1,4.04,10.06,1251.0
42,Rashaad Penny,RB,26.0,2022,97.48759999999956,,,72.0,6.08,RB,SEA,11.0,67.7,6.4,2.1,8.12,3452.0
43,Sony Michel,RB,27.0,2022,96.75590000000054,,,188.0,13.11,RB,MIA,11.0,155.4,15.5,9.08,16.01,489.0
44,Kenyan Drake,RB,28.0,2022,96.24029999999993,,,191.0,13.12,RB,LV,6.0,156.5,15.9,8.01,16.04,794.0
45,Cam Akers,RB,23.0,2022,95.58260000000014,,,36.0,3.1,RB,LAR,7.0,33.6,4.0,1.01,5.02,4298.0
46,Austin Ekeler,RB,27.0,2022,94.54480000000021,,,5.0,1.05,RB,LAC,8.0,4.6,1.4,1.01,1.11,5312.0
47,Jamaal Williams,RB,27.0,2022,94.54480000000021,,,142.0,12.02,RB,DET,6.0,133.8,9.4,8.12,15.06,1420.0
48,Mark Ingram,RB,33.0,2022,94.34709999999998,,,129.0,11.03,RB,NO,14.0,123.5,11.1,2.06,13.06,1005.0
49,Samaje Perine,RB,27.0,2022,92.81929999999983,,,242.0,14.12,RB,CIN,10.0,168.3,19.7,9.09,18.05,145.0
50,Darrel Williams,RB,27.0,2022,92.69029999999995,,,152.0,12.06,RB,ARI,13.0,138.3,12.2,4.07,15.1,555.0
51,D'Ernest Johnson,RB,26.0,2022,90.34579999999974,,,224.0,14.08,RB,CLE,9.0,164.3,18.1,9.05,17.1,238.0
52,Nyheim Hines,RB,26.0,2022,89.0421000000001,,,106.0,9.07,RB,IND,14.0,103.2,7.4,5.12,11.07,2025.0
53,Giovani Bernard,RB,31.0,2022,88.9219,,,273.0,15.1,RB,TB,11.0,178.3,37.2,10.12,22.08,11.0
54,J.D. McKissic,RB,29.0,2022,88.80920000000005,,,120.0,10.07,RB,WAS,14.0,115.4,8.5,7.05,13.05,1346.0
55,Raheem Mostert,RB,30.0,2022,85.50080000000027,,,118.0,10.04,RB,MIA,11.0,112.4,8.6,6.04,13.06,1601.0
56,Rex Burkhead,RB,32.0,2022,83.82850000000016,,,272.0,15.1,RB,HOU,6.0,177.8,20.8,11.09,18.01,29.0
57,Dontrell Hilliard,RB,27.0,2022,83.06179999999986,,,223.0,14.08,RB,TEN,6.0,163.9,19.3,12.02,17.11,16.0
58,Phillip Lindsay,RB,28.0,2022,78.89649999999978,,,260.0,15.05,RB,IND,14.0,173.5,25.7,11.01,18.04,13.0
59,Damien Williams,RB,30.0,2022,78.43899999999982,,,261.0,15.06,RB,ATL,14.0,174.2,29.5,1.04,18.06,88.0
60,Marlon Mack,RB,26.0,2022,78.3351999999998,,,126.0,10.12,RB,HOU,6.0,120.2,9.8,7.08,14.01,1164.0
61,Boston Scott,RB,27.0,2022,77.8629,,,275.0,16.12,RB,PHI,7.0,191.8,37.7,10.09,24.05,12.0
62,Jerick McKinnon,RB,30.0,2022,72.79829999999984,,,202.0,14.03,RB,KC,8.0,159.2,21.3,5.02,17.12,226.0
63,Chase Edmonds,RB,26.0,2022,72.73050000000006,,,81.0,7.06,RB,MIA,11.0,77.8,6.9,1.08,9.04,4152.0
64,Mike Davis,RB,29.0,2022,72.16139999999974,,,257.0,15.05,RB,BAL,10.0,172.6,20.3,11.09,18.03,70.0
65,Kenneth Gainwell,RB,23.0,2022,70.68512692307702,,,131.0,11.06,RB,PHI,7.0,125.7,10.0,6.05,13.12,2103.0
66,Matt Breida,RB,27.0,2022,69.20959999999985,,,249.0,15.02,RB,NYG,9.0,170.5,24.4,10.02,18.08,71.0
67,James White,RB,30.0,2022,52.075199999999654,,,239.0,14.11,RB,NE,10.0,167.0,21.8,9.01,18.05,37.0
68,Ameer Abdullah,RB,29.0,2022,44.327199999999785,,,174.0,13.06,RB,LV,6.0,149.8,47.9,1.01,18.05,36.0
69,Eno Benjamin,RB,23.0,2022,43.85870102706711,,,256.0,15.05,RB,FA,12.0,172.5,25.0,8.03,18.01,69.0
70,Trey Sermon,RB,23.0,2022,34.70489999999977,,,205.0,14.04,RB,SF,9.0,160.0,15.8,8.02,16.11,452.0
