,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,276.62080000000014,1.0,0.5,1.01,1.05
1,Nick Chubb,RB,27.0,2022,224.12899999999897,14.0,2.8,1.01,3.01
2,Javonte Williams,RB,22.0,2022,212.64479999999983,21.0,3.6,1.01,3.1
3,James Conner,RB,27.0,2022,201.82680000000082,33.0,3.8,1.12,4.09
4,Alvin Kamara,RB,27.0,2022,201.82680000000082,18.0,3.4,1.03,3.06
5,Christian McCaffrey,RB,26.0,2022,200.85150000000013,2.0,0.8,1.01,1.08
6,Tyreek Hill,RB,28.0,2022,197.28470000000073,22.0,3.0,1.02,3.11
7,Josh Jacobs,RB,24.0,2022,196.34959999999998,48.0,5.4,1.12,7.02
8,Najee Harris,RB,24.0,2022,193.2547000000007,7.0,2.0,1.01,2.03
9,Miles Sanders,RB,25.0,2022,186.82289999999978,64.0,5.6,3.07,7.11
10,D'Andre Swift,RB,23.0,2022,184.57929999999897,12.0,2.1,1.02,2.09
11,Jamaal Williams,RB,27.0,2022,179.0091000000003,142.0,9.4,8.12,15.06
12,Austin Ekeler,RB,27.0,2022,179.0091000000003,5.0,1.4,1.01,1.11
13,Dalvin Cook,RB,27.0,2022,176.9587000000002,8.0,1.8,1.01,2.03
14,James Robinson,RB,24.0,2022,175.82660000000035,86.0,7.0,3.1,9.1
15,Joe Mixon,RB,26.0,2022,169.94670000000048,10.0,2.0,1.01,2.07
16,James Conner,RB,27.0,2022,161.50099999999998,33.0,3.8,1.12,4.09
17,Alvin Kamara,RB,27.0,2022,161.50099999999998,18.0,3.4,1.03,3.06
18,David Montgomery,RB,25.0,2022,160.94639999999987,32.0,3.8,2.04,5.11
19,AJ Dillon,RB,24.0,2022,160.8430000000008,,,,
20,Ezekiel Elliott,RB,27.0,2022,155.52730000000045,27.0,3.6,1.05,4.06
21,Leonard Fournette,RB,27.0,2022,155.50330000000008,24.0,3.7,1.01,3.12
22,Saquon Barkley,RB,25.0,2022,154.06900000000059,20.0,3.4,1.02,3.07
23,Aaron Jones,RB,28.0,2022,153.58610000000022,16.0,2.6,1.02,3.02
24,Damien Harris,RB,25.0,2022,146.7601000000004,61.0,5.8,2.11,7.08
25,Devin Singletary,RB,25.0,2022,139.38320000000064,78.0,6.8,4.06,8.09
26,Elijah Mitchell,RB,24.0,2022,135.04450000000062,47.0,4.9,2.11,6.04
27,Derrick Henry,RB,28.0,2022,132.67360000000002,3.0,1.5,1.01,2.01
28,Ronald Jones II,RB,25.0,2022,127.66590000000018,109.0,7.7,6.08,12.08
29,Clyde Edwards-Helaire,RB,23.0,2022,118.48190000000076,57.0,5.3,2.08,8.07
30,Melvin Gordon,RB,29.0,2022,115.72630000000005,89.0,7.2,4.1,10.04
31,Darrell Henderson,RB,25.0,2022,115.70769999999997,110.0,6.4,6.08,11.06
32,Kareem Hunt,RB,27.0,2022,109.82669999999997,74.0,6.2,3.09,8.09
33,Myles Gaskin,RB,25.0,2022,109.66170000000018,244.0,23.6,10.03,18.06
34,CeeDee Lamb,WR,23.0,2022,106.16720000000055,17.0,2.6,1.01,3.01
35,Trevor Lawrence,QB,23.0,2022,106.16720000000055,184.0,17.2,6.11,16.07
36,Amon-Ra St. Brown,WR,23.0,2022,106.16720000000055,84.0,7.8,4.01,10.11
37,Chuba Hubbard,RB,23.0,2022,106.16720000000055,135.0,11.4,5.02,14.03
38,Tony Pollard,RB,25.0,2022,105.9429000000003,73.0,6.4,1.04,8.07
39,Michael Carter,RB,23.0,2022,105.6044000000005,104.0,7.4,2.05,11.06
40,Rhamondre Stevenson,RB,24.0,2022,103.79870000000037,91.0,7.8,3.02,10.12
41,Cam Akers,RB,23.0,2022,99.78806896551735,36.0,4.0,1.01,5.02
42,Sony Michel,RB,27.0,2022,97.33860000000048,188.0,15.5,9.08,16.01
43,Alexander Mattison,RB,24.0,2022,96.59999999999982,99.0,7.1,4.04,10.06
44,Kenyan Drake,RB,28.0,2022,95.71429999999992,191.0,15.9,8.01,16.04
45,Mark Ingram,RB,33.0,2022,94.09430000000002,129.0,11.1,2.06,13.06
46,Darrel Williams,RB,27.0,2022,93.67339999999992,152.0,12.2,4.07,15.1
47,Austin Ekeler,RB,27.0,2022,93.64630000000025,5.0,1.4,1.01,1.11
48,Jamaal Williams,RB,27.0,2022,93.64630000000025,142.0,9.4,8.12,15.06
49,Rashaad Penny,RB,26.0,2022,93.47569999999958,72.0,6.4,2.1,8.12
50,Samaje Perine,RB,27.0,2022,93.13079999999974,242.0,19.7,9.09,18.05
51,D'Ernest Johnson,RB,26.0,2022,89.62749999999997,224.0,18.1,9.05,17.1
52,Giovani Bernard,RB,31.0,2022,87.8408,273.0,37.2,10.12,22.08
53,J.D. McKissic,RB,29.0,2022,87.02390000000001,120.0,8.5,7.05,13.05
54,Rex Burkhead,RB,32.0,2022,86.21080000000015,272.0,20.8,11.09,18.01
55,Nyheim Hines,RB,26.0,2022,85.93930000000009,106.0,7.4,5.12,11.07
56,Phillip Lindsay,RB,28.0,2022,80.80979999999983,260.0,25.7,11.01,18.04
57,Dontrell Hilliard,RB,27.0,2022,79.32959999999996,223.0,19.3,12.02,17.11
58,Marlon Mack,RB,26.0,2022,79.12019999999991,126.0,9.8,7.08,14.01
59,Raheem Mostert,RB,30.0,2022,79.10299999999998,118.0,8.6,6.04,13.06
60,Damien Williams,RB,30.0,2022,76.61649999999987,261.0,29.5,1.04,18.06
61,Chase Edmonds,RB,26.0,2022,76.2911,81.0,6.9,1.08,9.04
62,Boston Scott,RB,27.0,2022,73.86819999999997,275.0,37.7,10.09,24.05
63,Jerick McKinnon,RB,30.0,2022,73.1347999999997,202.0,21.3,5.02,17.12
64,Mike Davis,RB,29.0,2022,72.63159999999978,257.0,20.3,11.09,18.03
65,Kenneth Gainwell,RB,23.0,2022,70.7583000000001,131.0,10.0,6.05,13.12
66,Matt Breida,RB,27.0,2022,66.08799999999981,249.0,24.4,10.02,18.08
67,James White,RB,30.0,2022,53.641799999999506,239.0,21.8,9.01,18.05
68,Eno Benjamin,RB,23.0,2022,44.34880919540219,256.0,25.0,8.03,18.01
69,Ameer Abdullah,RB,29.0,2022,44.15929999999975,174.0,47.9,1.01,18.05
