,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,315.0182975911804,373.1,-58.08170240881964
24,D'Andre Swift,RB,22,2021,221.14585122290634,208.9,12.245851222906339
11,Antonio Gibson,RB,23,2021,215.10097522500428,229.1,-13.999024774995718
6,Nick Chubb,RB,26,2021,194.43937807684273,215.3,-20.860621923157282
18,Melvin Gordon,RB,28,2021,185.7859741033048,195.1,-9.314025896695199
7,Nick Chubb,RB,26,2021,184.96763409423943,215.3,-30.332365905760582
13,Cordarrelle Patterson,RB,30,2021,182.8038082418152,234.6,-51.79619175818479
37,Saquon Barkley,RB,24,2021,168.99643249960138,148.6,20.39643249960139
85,Dontrell Hilliard,RB,26,2021,167.66820357495726,72.7,94.96820357495726
16,Dalvin Cook,RB,26,2021,160.88435902049753,206.3,-45.415640979502484
91,Derrick Gore,RB,27,2021,160.8224516476622,56.1,104.72245164766221
94,Travis Homer,RB,23,2021,160.38458016257528,61.8,98.58458016257528
93,Travis Homer,RB,23,2021,160.27080077750634,61.8,98.47080077750634
92,Travis Homer,RB,23,2021,154.71120280357366,61.8,92.91120280357366
19,Javonte Williams,RB,21,2021,154.6827469325085,204.9,-50.2172530674915
74,Justin Jackson,RB,25,2021,151.8375389722466,86.2,65.63753897224659
15,Derrick Henry,RB,27,2021,150.8922874056526,193.3,-42.4077125943474
26,James Robinson,RB,23,2021,150.86663377956404,173.9,-23.033366220435965
41,Chase Edmonds,RB,25,2021,146.27124874552493,143.3,2.9712487455249175
2,Joe Mixon,RB,25,2021,145.1355991375541,287.9,-142.76440086244588
22,AJ Dillon,RB,23,2021,142.4473228271513,185.6,-43.15267717284868
34,Rashaad Penny,RB,25,2021,142.2676653918819,121.7,20.567665391881903
32,Tony Pollard,RB,24,2021,140.1517239449048,162.6,-22.448276055095192
14,Aaron Jones,RB,27,2021,137.2205559586949,229.0,-91.77944404130511
8,Damien Harris,RB,24,2021,135.1296431624105,210.1,-74.97035683758949
4,James Conner,RB,26,2021,132.32667310261593,257.7,-125.37332689738406
39,Devontae Booker,RB,29,2021,128.34341102622471,144.1,-15.75658897377528
38,Devontae Booker,RB,29,2021,123.01624068156218,144.1,-21.083759318437814
1,Austin Ekeler,RB,26,2021,118.85503301105598,343.8,-224.94496698894403
20,Devin Singletary,RB,24,2021,115.09770618089146,197.8,-82.70229381910855
12,Leonard Fournette,RB,26,2021,115.01432083401573,255.6,-140.58567916598426
59,J.D. McKissic,RB,28,2021,112.79270273434747,127.9,-15.107297265652534
33,Michael Carter,RB,22,2021,110.95072084337448,154.4,-43.44927915662552
44,Alexander Mattison,RB,23,2021,110.71634154972679,125.9,-15.183658450273214
78,Samaje Perine,RB,26,2021,110.49395072300922,83.2,27.293950723009218
70,Nyheim Hines,RB,25,2021,109.3391958226261,112.6,-3.260804177373899
57,D'Onta Foreman,RB,25,2021,103.59117355171202,93.9,9.691173551712012
5,Ezekiel Elliott,RB,26,2021,103.19237663585773,252.1,-148.90762336414227
56,D'Onta Foreman,RB,25,2021,102.94929964509367,93.9,9.049299645093669
64,Mark Ingram,RB,32,2021,100.00634445602816,108.6,-8.593655543971835
63,Mark Ingram,RB,32,2021,99.8601791620888,108.6,-8.739820837911196
45,Latavius Murray,RB,31,2021,99.33368486275049,103.6,-4.2663151372495065
51,Miles Sanders,RB,24,2021,97.39872091770098,117.2,-19.80127908229902
3,Najee Harris,RB,23,2021,95.78877237429333,300.7,-204.91122762570666
31,Sony Michel,RB,26,2021,93.17933329154368,146.3,-53.120666708456326
30,Sony Michel,RB,26,2021,89.9744805829082,146.3,-56.32551941709181
125,Ke'Shawn Vaughn,RB,24,2021,89.32224368792743,36.6,52.722243687927424
10,Alvin Kamara,RB,26,2021,88.66948200495688,234.7,-146.0305179950431
29,Myles Gaskin,RB,24,2021,88.6020258030992,173.6,-84.9979741969008
9,Alvin Kamara,RB,26,2021,86.61425061129478,234.7,-148.0857493887052
126,Ke'Shawn Vaughn,RB,24,2021,86.184016448379,36.6,49.584016448378996
40,Rhamondre Stevenson,RB,23,2021,85.67865707772876,114.9,-29.221342922271248
50,Miles Sanders,RB,24,2021,85.2740094199005,117.2,-31.92599058009951
17,Josh Jacobs,RB,23,2021,84.87949173937352,226.0,-141.12050826062648
184,C.J. Ham,RB,28,2021,82.31062903384736,32.9,49.410629033847364
185,C.J. Ham,RB,28,2021,82.31062903384736,32.9,49.410629033847364
21,David Montgomery,RB,24,2021,81.25064421951515,195.0,-113.74935578048485
23,Darrel Williams,RB,26,2021,80.37749467402739,196.0,-115.62250532597261
28,Myles Gaskin,RB,24,2021,79.27378433022466,173.6,-94.32621566977534
27,Darrell Henderson,RB,24,2021,78.32156105360093,163.4,-85.07843894639907
67,Rex Burkhead,RB,31,2021,77.21083249136268,104.3,-27.089167508637317
66,Rex Burkhead,RB,31,2021,76.90621561212436,104.3,-27.39378438787564
164,Godwin Igwebuike,RB,27,2021,76.85057058641564,26.8,50.050570586415645
109,Phillip Lindsay,RB,27,2021,76.50876151240027,45.4,31.10876151240027
165,Godwin Igwebuike,RB,27,2021,75.51445584774729,26.8,48.71445584774729
83,Giovani Bernard,RB,30,2021,73.82509280567137,59.1,14.725092805671373
36,Chuba Hubbard,RB,22,2021,73.05415731760479,137.6,-64.5458426823952
53,Kareem Hunt,RB,26,2021,71.85978769221083,110.0,-38.14021230778917
82,Giovani Bernard,RB,30,2021,71.84642563892419,59.1,12.746425638924187
84,Giovani Bernard,RB,30,2021,71.51888811390984,59.1,12.418888113909837
153,Corey Clement,RB,27,2021,69.91394543325362,28.9,41.01394543325362
108,Chris Carson,RB,27,2021,69.72826450726484,48.1,21.628264507264838
110,Peyton Barber,RB,27,2021,69.58497934073546,49.9,19.68497934073546
111,Peyton Barber,RB,27,2021,68.99507060721271,49.9,19.095070607212712
35,Devonta Freeman,RB,29,2021,67.40711227416296,146.6,-79.19288772583704
124,Demetric Felton,RB,23,2021,66.77219567434906,50.5,16.272195674349064
131,Craig Reynolds,RB,25,2021,66.31338472606774,35.2,31.113384726067736
25,Elijah Mitchell,RB,23,2021,66.27965954840045,165.0,-98.72034045159955
155,Corey Clement,RB,27,2021,65.24631327659142,28.9,36.346313276591424
