,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Alvin Kamara,RB,26.0,2021,217.5,234.7,-17.19999999999999
45,Miles Sanders,RB,24.0,2021,215.02000000000004,117.2,97.82000000000004
14,Derrick Henry,RB,27.0,2021,205.94,193.3,12.639999999999986
8,Alvin Kamara,RB,26.0,2021,204.85999999999999,234.7,-29.840000000000003
5,Nick Chubb,RB,26.0,2021,200.27999999999997,215.3,-15.020000000000039
43,Christian McCaffrey,RB,25.0,2021,196.78,127.5,69.28
42,Christian McCaffrey,RB,25.0,2021,196.77999999999997,127.5,69.27999999999997
97,Chris Carson,RB,27.0,2021,191.24,48.1,143.14000000000001
19,David Montgomery,RB,24.0,2021,186.85999999999999,195.0,-8.140000000000015
6,Nick Chubb,RB,26.0,2021,181.42,215.3,-33.880000000000024
32,Saquon Barkley,RB,24.0,2021,180.32,148.6,31.72
16,Josh Jacobs,RB,23.0,2021,167.54,226.0,-58.46000000000001
15,Dalvin Cook,RB,26.0,2021,167.2,206.3,-39.10000000000002
44,Miles Sanders,RB,24.0,2021,166.61999999999998,117.2,49.41999999999997
63,Nyheim Hines,RB,25.0,2021,149.88,112.6,37.28
142,James White,RB,29.0,2021,149.5,31.2,118.3
143,James White,RB,29.0,2021,149.5,31.2,118.3
141,James White,RB,29.0,2021,149.5,31.2,118.3
17,Melvin Gordon,RB,28.0,2021,145.92000000000002,195.1,-49.17999999999998
22,D'Andre Swift,RB,22.0,2021,143.82,208.9,-65.08000000000001
1,Austin Ekeler,RB,26.0,2021,143.71999999999997,343.8,-200.08000000000004
4,Ezekiel Elliott,RB,26.0,2021,142.22,252.1,-109.88
10,Antonio Gibson,RB,23.0,2021,140.1,229.1,-89.0
39,Latavius Murray,RB,31.0,2021,129.24,103.6,25.640000000000015
41,Jamaal Williams,RB,26.0,2021,129.2,119.8,9.399999999999991
61,Kenyan Drake,RB,27.0,2021,126.0,102.5,23.5
11,Leonard Fournette,RB,26.0,2021,122.58,255.6,-133.01999999999998
36,Clyde Edwards-Helaire,RB,22.0,2021,120.8,117.6,3.200000000000003
106,Matt Breida,RB,26.0,2021,119.28,42.7,76.58
105,Matt Breida,RB,26.0,2021,119.28,42.7,76.58
18,Devin Singletary,RB,24.0,2021,117.75999999999999,197.8,-80.04000000000002
13,Aaron Jones,RB,27.0,2021,117.32000000000001,229.0,-111.67999999999999
107,Matt Breida,RB,26.0,2021,115.46,42.7,72.75999999999999
182,Benny Snell Jr.,RB,23.0,2021,114.88,13.1,101.78
29,Tony Pollard,RB,24.0,2021,113.92,162.6,-48.67999999999999
40,Jamaal Williams,RB,26.0,2021,112.0,119.8,-7.799999999999997
109,Le'Veon Bell,RB,29.0,2021,105.08,38.1,66.97999999999999
0,Jonathan Taylor,RB,22.0,2021,101.82000000000001,373.1,-271.28000000000003
23,James Robinson,RB,23.0,2021,101.82000000000001,173.9,-72.08
3,James Conner,RB,26.0,2021,100.04,257.7,-157.65999999999997
73,Giovani Bernard,RB,30.0,2021,99.46,59.1,40.35999999999999
74,Giovani Bernard,RB,30.0,2021,99.46,59.1,40.35999999999999
26,Myles Gaskin,RB,24.0,2021,99.18,173.6,-74.41999999999999
25,Myles Gaskin,RB,24.0,2021,98.94000000000001,173.6,-74.65999999999998
108,Carlos Hyde,RB,31.0,2021,98.88,45.8,53.08
20,AJ Dillon,RB,23.0,2021,97.3,185.6,-88.3
254,Raheem Mostert,RB,29.0,2021,93.44,2.0,91.44
253,Raheem Mostert,RB,29.0,2021,93.44,2.0,91.44
62,Kenyan Drake,RB,27.0,2021,93.3,102.5,-9.200000000000003
52,J.D. McKissic,RB,28.0,2021,91.58,127.9,-36.32000000000001
98,Phillip Lindsay,RB,27.0,2021,90.24,45.4,44.839999999999996
58,Zack Moss,RB,24.0,2021,89.75999999999999,105.2,-15.440000000000012
38,Alexander Mattison,RB,23.0,2021,87.08,125.9,-38.82000000000001
227,Wendell Smallwood,RB,27.0,2021,82.4,8.7,73.7
200,Ito Smith,RB,26.0,2021,81.94,6.4,75.53999999999999
100,Peyton Barber,RB,27.0,2021,77.31999999999998,49.9,27.41999999999998
31,Devonta Freeman,RB,29.0,2021,77.03999999999999,146.6,-69.56
236,Gabe Nabers,RB,24.0,2021,75.76,5.5,70.26
235,Gabe Nabers,RB,24.0,2021,75.76,5.5,70.26
234,Gabe Nabers,RB,24.0,2021,75.76,5.5,70.26
233,Gabe Nabers,RB,24.0,2021,75.76,5.5,70.26
