,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
43,Christian McCaffrey,RB,25.0,2021,178.1539669352697,127.5,50.65396693526969
42,Christian McCaffrey,RB,25.0,2021,170.64592983680745,127.5,43.145929836807454
9,Alvin Kamara,RB,26.0,2021,162.6176109137662,234.7,-72.08238908623377
8,Alvin Kamara,RB,26.0,2021,160.98008198120482,234.7,-73.71991801879517
4,Ezekiel Elliott,RB,26.0,2021,142.17588557101072,252.1,-109.92411442898927
15,Dalvin Cook,RB,26.0,2021,138.39633458597376,206.3,-67.90366541402625
32,Saquon Barkley,RB,24.0,2021,134.7551895361953,148.6,-13.844810463804691
23,James Robinson,RB,23.0,2021,124.42893744525149,173.9,-49.471062554748514
0,Jonathan Taylor,RB,22.0,2021,123.55490202343633,373.1,-249.54509797656368
13,Aaron Jones,RB,27.0,2021,122.29687676233443,229.0,-106.70312323766557
5,Nick Chubb,RB,26.0,2021,112.8821603385385,215.3,-102.41783966146151
1,Austin Ekeler,RB,26.0,2021,111.95267059403726,343.8,-231.84732940596274
19,David Montgomery,RB,24.0,2021,110.9189471950291,195.0,-84.0810528049709
17,Melvin Gordon,RB,28.0,2021,108.49863412535122,195.1,-86.60136587464878
141,James White,RB,29.0,2021,103.4924799418899,31.2,72.2924799418899
3,James Conner,RB,26.0,2021,103.0710439677551,257.7,-154.6289560322449
97,Chris Carson,RB,27.0,2021,102.86743045923491,48.1,54.76743045923491
45,Miles Sanders,RB,24.0,2021,102.74463521448634,117.2,-14.455364785513666
14,Derrick Henry,RB,27.0,2021,102.01918905808158,193.3,-91.28081094191843
143,James White,RB,29.0,2021,101.78664913928044,31.2,70.58664913928044
16,Josh Jacobs,RB,23.0,2021,100.71984797962638,226.0,-125.28015202037362
6,Nick Chubb,RB,26.0,2021,100.36626541072867,215.3,-114.93373458927134
10,Antonio Gibson,RB,23.0,2021,99.19053393186259,229.1,-129.90946606813742
2,Joe Mixon,RB,25.0,2021,98.26370709041599,287.9,-189.63629290958397
79,David Johnson,RB,30.0,2021,95.1405063928171,81.3,13.840506392817105
142,James White,RB,29.0,2021,94.05820630120989,31.2,62.85820630120989
11,Leonard Fournette,RB,26.0,2021,93.94167078570025,255.6,-161.65832921429973
44,Miles Sanders,RB,24.0,2021,93.20546656602669,117.2,-23.994533433973317
22,D'Andre Swift,RB,22.0,2021,92.19359473323529,208.9,-116.70640526676472
62,Kenyan Drake,RB,27.0,2021,91.97087895341879,102.5,-10.52912104658121
46,Kareem Hunt,RB,26.0,2021,91.79149383735917,110.0,-18.20850616264083
81,David Johnson,RB,30.0,2021,90.25042191968238,81.3,8.950421919682384
80,David Johnson,RB,30.0,2021,89.0010356655251,81.3,7.701035665525097
109,Le'Veon Bell,RB,29.0,2021,86.10636017431374,38.1,48.006360174313734
61,Kenyan Drake,RB,27.0,2021,85.52784355662085,102.5,-16.97215644337915
98,Phillip Lindsay,RB,27.0,2021,83.67141031694815,45.4,38.271410316948156
56,Mark Ingram,RB,32.0,2021,80.39300366459467,108.6,-28.20699633540532
110,Le'Veon Bell,RB,29.0,2021,79.98237018902769,38.1,41.88237018902769
36,Clyde Edwards-Helaire,RB,22.0,2021,79.13339322521269,117.6,-38.46660677478731
57,Mark Ingram,RB,32.0,2021,77.64836924958406,108.6,-30.95163075041593
63,Nyheim Hines,RB,25.0,2021,74.37279889647924,112.6,-38.227201103520756
129,Jerick McKinnon,RB,29.0,2021,70.4022776075846,35.9,34.502277607584595
179,Marlon Mack,RB,25.0,2021,70.15836126887383,12.9,57.258361268873834
180,Marlon Mack,RB,25.0,2021,70.15836126887383,12.9,57.258361268873834
64,Ronald Jones II,RB,24.0,2021,69.23785372546145,79.2,-9.962146274538554
178,Marlon Mack,RB,25.0,2021,68.39256507907025,12.9,55.49256507907025
137,Adrian Peterson,RB,36.0,2021,68.28156986878555,26.6,41.68156986878555
92,Tevin Coleman,RB,28.0,2021,65.20029959281392,51.5,13.70029959281392
138,Adrian Peterson,RB,36.0,2021,64.2085947476627,26.6,37.6085947476627
37,Mike Davis,RB,28.0,2021,64.1493028904038,138.2,-74.05069710959619
40,Jamaal Williams,RB,26.0,2021,63.13637391898051,119.8,-56.66362608101949
41,Jamaal Williams,RB,26.0,2021,62.988667295451066,119.8,-56.81133270454893
93,Tevin Coleman,RB,28.0,2021,62.78813553635392,51.5,11.28813553635392
94,Tevin Coleman,RB,28.0,2021,62.40338191316688,51.5,10.903381913166882
28,Sony Michel,RB,26.0,2021,62.4025800930589,146.3,-83.89741990694111
39,Latavius Murray,RB,31.0,2021,62.269702997787235,103.6,-41.33029700221276
27,Sony Michel,RB,26.0,2021,60.395392743140334,146.3,-85.90460725685968
25,Myles Gaskin,RB,24.0,2021,60.08958783377334,173.6,-113.51041216622666
91,Tevin Coleman,RB,28.0,2021,59.468711266062044,51.5,7.968711266062044
71,Duke Johnson,RB,28.0,2021,59.35874275130023,59.1,0.2587427513002254
