,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,322.65691526619753,373.1,-50.44308473380249
24,D'Andre Swift,RB,22,2021,227.14774311985735,208.9,18.247743119857347
11,Antonio Gibson,RB,23,2021,215.8294896829238,229.1,-13.270510317076202
6,Nick Chubb,RB,26,2021,192.62645701595437,215.3,-22.67354298404564
13,Cordarrelle Patterson,RB,30,2021,181.9133200777501,234.6,-52.68667992224991
18,Melvin Gordon,RB,28,2021,180.41896643238505,195.1,-14.681033567614946
7,Nick Chubb,RB,26,2021,179.30314498569805,215.3,-35.99685501430196
37,Saquon Barkley,RB,24,2021,170.25224528771696,148.6,21.652245287716966
85,Dontrell Hilliard,RB,26,2021,166.774906461466,72.7,94.074906461466
93,Travis Homer,RB,23,2021,160.90971034642968,61.8,99.10971034642968
91,Derrick Gore,RB,27,2021,159.9369678346411,56.1,103.83696783464111
94,Travis Homer,RB,23,2021,159.31730550698364,61.8,97.51730550698365
16,Dalvin Cook,RB,26,2021,158.5609295810811,206.3,-47.739070418918914
19,Javonte Williams,RB,21,2021,157.3251309588615,204.9,-47.5748690411385
26,James Robinson,RB,23,2021,152.1427736161412,173.9,-21.757226383858807
92,Travis Homer,RB,23,2021,151.99321914251163,61.8,90.19321914251164
41,Chase Edmonds,RB,25,2021,151.3458778719504,143.3,8.045877871950381
74,Justin Jackson,RB,25,2021,149.5911205195548,86.2,63.3911205195548
34,Rashaad Penny,RB,25,2021,146.82287788478288,121.7,25.12287788478288
15,Derrick Henry,RB,27,2021,145.38891273379028,193.3,-47.911087266209734
2,Joe Mixon,RB,25,2021,144.35680252968348,287.9,-143.5431974703165
14,Aaron Jones,RB,27,2021,142.79582160615178,229.0,-86.20417839384822
22,AJ Dillon,RB,23,2021,142.35255425400726,185.6,-43.247445745992735
32,Tony Pollard,RB,24,2021,138.7614596395045,162.6,-23.8385403604955
8,Damien Harris,RB,24,2021,137.23171443297525,210.1,-72.86828556702474
4,James Conner,RB,26,2021,132.6139585807121,257.7,-125.08604141928788
39,Devontae Booker,RB,29,2021,132.00040442703494,144.1,-12.099595572965057
38,Devontae Booker,RB,29,2021,123.12204781147534,144.1,-20.977952188524654
12,Leonard Fournette,RB,26,2021,121.30412852696412,255.6,-134.29587147303587
33,Michael Carter,RB,22,2021,120.22917587419204,154.4,-34.17082412580797
1,Austin Ekeler,RB,26,2021,119.14770527396468,343.8,-224.65229472603534
20,Devin Singletary,RB,24,2021,113.93808752041195,197.8,-83.86191247958806
59,J.D. McKissic,RB,28,2021,112.16893734507909,127.9,-15.731062654920919
70,Nyheim Hines,RB,25,2021,110.51854953960208,112.6,-2.0814504603979174
57,D'Onta Foreman,RB,25,2021,108.33964171201717,93.9,14.439641712017163
44,Alexander Mattison,RB,23,2021,106.67898788994398,125.9,-19.221012110056023
78,Samaje Perine,RB,26,2021,106.30519560449807,83.2,23.105195604498064
56,D'Onta Foreman,RB,25,2021,105.9310051216662,93.9,12.031005121666198
5,Ezekiel Elliott,RB,26,2021,105.1350510454937,252.1,-146.9649489545063
64,Mark Ingram,RB,32,2021,103.26421700050139,108.6,-5.335782999498605
51,Miles Sanders,RB,24,2021,101.24068622959237,117.2,-15.959313770407633
63,Mark Ingram,RB,32,2021,100.3292162105293,108.6,-8.270783789470698
45,Latavius Murray,RB,31,2021,98.94545577692281,103.6,-4.654544223077181
3,Najee Harris,RB,23,2021,95.25358133562185,300.7,-205.44641866437814
125,Ke'Shawn Vaughn,RB,24,2021,93.10137340611743,36.6,56.50137340611743
29,Myles Gaskin,RB,24,2021,90.24276377271576,173.6,-83.35723622728423
30,Sony Michel,RB,26,2021,89.04682157145481,146.3,-57.2531784285452
17,Josh Jacobs,RB,23,2021,88.79085537991102,226.0,-137.20914462008898
40,Rhamondre Stevenson,RB,23,2021,88.27499271104136,114.9,-26.625007288958642
10,Alvin Kamara,RB,26,2021,88.19332622010847,234.7,-146.5066737798915
9,Alvin Kamara,RB,26,2021,87.67985936166559,234.7,-147.0201406383344
50,Miles Sanders,RB,24,2021,86.94360557086225,117.2,-30.256394429137757
31,Sony Michel,RB,26,2021,86.3328899102263,146.3,-59.96711008977371
21,David Montgomery,RB,24,2021,86.21182972843997,195.0,-108.78817027156003
27,Darrell Henderson,RB,24,2021,83.61017589711491,163.4,-79.78982410288509
184,C.J. Ham,RB,28,2021,81.89273866100939,32.9,48.99273866100939
185,C.J. Ham,RB,28,2021,81.89273866100939,32.9,48.99273866100939
126,Ke'Shawn Vaughn,RB,24,2021,80.56079925635754,36.6,43.96079925635754
23,Darrel Williams,RB,26,2021,78.47895803800299,196.0,-117.52104196199701
83,Giovani Bernard,RB,30,2021,77.36302165664256,59.1,18.263021656642557
67,Rex Burkhead,RB,31,2021,76.47241301407871,104.3,-27.827586985921286
164,Godwin Igwebuike,RB,27,2021,76.34263656561654,26.8,49.54263656561655
109,Phillip Lindsay,RB,27,2021,76.16679074069873,45.4,30.76679074069873
165,Godwin Igwebuike,RB,27,2021,75.97485283019324,26.8,49.174852830193245
66,Rex Burkhead,RB,31,2021,75.72971726763075,104.3,-28.57028273236925
28,Myles Gaskin,RB,24,2021,75.2807638157318,173.6,-98.31923618426819
84,Giovani Bernard,RB,30,2021,74.70886213953179,59.1,15.608862139531787
110,Peyton Barber,RB,27,2021,73.63862850972544,49.9,23.738628509725437
82,Giovani Bernard,RB,30,2021,73.4443735196432,59.1,14.344373519643192
153,Corey Clement,RB,27,2021,72.9518114915495,28.9,44.05181149154951
53,Kareem Hunt,RB,26,2021,72.74082487327854,110.0,-37.25917512672146
154,Corey Clement,RB,27,2021,69.93568471813006,28.9,41.035684718130064
25,Elijah Mitchell,RB,23,2021,69.26484652179408,165.0,-95.73515347820592
35,Devonta Freeman,RB,29,2021,68.62682316805024,146.6,-77.97317683194976
76,Alex Collins,RB,27,2021,67.42228705966613,68.8,-1.3777129403338648
124,Demetric Felton,RB,23,2021,67.29097339167367,50.5,16.790973391673674
111,Peyton Barber,RB,27,2021,67.21128222699639,49.9,17.31128222699639
43,Mike Davis,RB,28,2021,66.68091830872129,138.2,-71.5190816912787
69,Kenyan Drake,RB,27,2021,66.5984379348157,102.5,-35.901562065184294
108,Chris Carson,RB,27,2021,66.36405098385649,48.1,18.264050983856485
131,Craig Reynolds,RB,25,2021,65.90936722981962,35.2,30.70936722981962
36,Chuba Hubbard,RB,22,2021,65.52684747512308,137.6,-72.07315252487692
