,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
43,Christian McCaffrey,RB,25.0,2021,236.841333063548,127.5,109.341333063548
42,Christian McCaffrey,RB,25.0,2021,235.1668522815174,127.5,107.66685228151741
9,Alvin Kamara,RB,26.0,2021,207.55339323183023,234.7,-27.14660676816976
8,Alvin Kamara,RB,26.0,2021,206.00421782866675,234.7,-28.695782171333235
15,Dalvin Cook,RB,26.0,2021,175.32653172464575,206.3,-30.973468275354264
32,Saquon Barkley,RB,24.0,2021,174.82885093919072,148.6,26.22885093919072
4,Ezekiel Elliott,RB,26.0,2021,171.2183765452868,252.1,-80.8816234547132
13,Aaron Jones,RB,27.0,2021,158.0388423188831,229.0,-70.9611576811169
0,Jonathan Taylor,RB,22.0,2021,150.06229082507667,373.1,-223.03770917492335
23,James Robinson,RB,23.0,2021,144.22111077935182,173.9,-29.678889220648188
1,Austin Ekeler,RB,26.0,2021,135.54857782871917,343.8,-208.25142217128084
19,David Montgomery,RB,24.0,2021,135.435326632801,195.0,-59.56467336719899
5,Nick Chubb,RB,26.0,2021,129.386350105237,215.3,-85.91364989476301
6,Nick Chubb,RB,26.0,2021,127.71613121027194,215.3,-87.58386878972807
17,Melvin Gordon,RB,28.0,2021,125.55005890788551,195.1,-69.54994109211448
14,Derrick Henry,RB,27.0,2021,119.60735567147823,193.3,-73.69264432852178
141,James White,RB,29.0,2021,118.75620273614227,31.2,87.55620273614227
143,James White,RB,29.0,2021,117.4189523183817,31.2,86.2189523183817
142,James White,RB,29.0,2021,116.11938924026897,31.2,84.91938924026897
3,James Conner,RB,26.0,2021,115.48019287863774,257.7,-142.21980712136224
45,Miles Sanders,RB,24.0,2021,114.49126778437203,117.2,-2.7087322156279754
16,Josh Jacobs,RB,23.0,2021,114.42066370671041,226.0,-111.57933629328959
10,Antonio Gibson,RB,23.0,2021,113.86586059081982,229.1,-115.23413940918017
44,Miles Sanders,RB,24.0,2021,113.25561276999768,117.2,-3.94438723000232
2,Joe Mixon,RB,25.0,2021,111.86927915360833,287.9,-176.03072084639166
97,Chris Carson,RB,27.0,2021,109.77966269804396,48.1,61.67966269804396
62,Kenyan Drake,RB,27.0,2021,108.69328981823135,102.5,6.193289818231349
46,Kareem Hunt,RB,26.0,2021,108.24130952320918,110.0,-1.758690476790818
61,Kenyan Drake,RB,27.0,2021,107.20994736154701,102.5,4.709947361547009
79,David Johnson,RB,30.0,2021,105.52387074510007,81.3,24.223870745100072
81,David Johnson,RB,30.0,2021,105.23107244420272,81.3,23.931072444202727
80,David Johnson,RB,30.0,2021,105.00383653992147,81.3,23.70383653992147
22,D'Andre Swift,RB,22.0,2021,104.87389934533395,208.9,-104.02610065466605
11,Leonard Fournette,RB,26.0,2021,100.17635915657398,255.6,-155.42364084342603
98,Phillip Lindsay,RB,27.0,2021,99.39040243338259,45.4,53.99040243338259
36,Clyde Edwards-Helaire,RB,22.0,2021,90.93725211246876,117.6,-26.66274788753124
56,Mark Ingram,RB,32.0,2021,87.19202928661353,108.6,-21.40797071338646
57,Mark Ingram,RB,32.0,2021,86.80693577102359,108.6,-21.793064228976405
