,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,263.1489999999999,373.1,-109.95100000000014
6,Nick Chubb,RB,26,2021,219.89199999999997,215.3,4.591999999999956
74,Justin Jackson,RB,25,2021,214.94200000000012,86.2,128.74200000000013
22,AJ Dillon,RB,23,2021,213.48899999999998,185.6,27.88899999999998
19,Javonte Williams,RB,21,2021,209.20000000000005,204.9,4.30000000000004
26,James Robinson,RB,23,2021,208.60999999999996,173.9,34.70999999999995
18,Melvin Gordon,RB,28,2021,206.90900000000002,195.1,11.809000000000026
11,Antonio Gibson,RB,23,2021,206.78199999999998,229.1,-22.318000000000012
41,Chase Edmonds,RB,25,2021,206.63100000000003,143.3,63.33100000000002
20,Devin Singletary,RB,24,2021,202.608,197.8,4.807999999999993
24,D'Andre Swift,RB,22,2021,202.02699999999996,208.9,-6.873000000000047
7,Nick Chubb,RB,26,2021,198.05500000000004,215.3,-17.244999999999976
37,Saquon Barkley,RB,24,2021,190.90599999999995,148.6,42.305999999999955
39,Devontae Booker,RB,29,2021,187.30700000000004,144.1,43.20700000000005
70,Nyheim Hines,RB,25,2021,181.97000000000003,112.6,69.37000000000003
16,Dalvin Cook,RB,26,2021,180.12999999999997,206.3,-26.170000000000044
14,Aaron Jones,RB,27,2021,177.89199999999985,229.0,-51.108000000000146
17,Josh Jacobs,RB,23,2021,168.9189999999999,226.0,-57.0810000000001
1,Austin Ekeler,RB,26,2021,160.44600000000008,343.8,-183.35399999999993
12,Leonard Fournette,RB,26,2021,155.40199999999993,255.6,-100.19800000000006
33,Michael Carter,RB,22,2021,155.262,154.4,0.8619999999999948
5,Ezekiel Elliott,RB,26,2021,155.12200000000004,252.1,-96.97799999999995
13,Cordarrelle Patterson,RB,30,2021,150.739,234.6,-83.86099999999999
44,Alexander Mattison,RB,23,2021,147.62099999999998,125.9,21.720999999999975
38,Devontae Booker,RB,29,2021,145.08900000000006,144.1,0.9890000000000612
8,Damien Harris,RB,24,2021,144.73999999999992,210.1,-65.36000000000007
2,Joe Mixon,RB,25,2021,144.701,287.9,-143.19899999999998
32,Tony Pollard,RB,24,2021,144.4609999999999,162.6,-18.139000000000095
92,Travis Homer,RB,23,2021,143.11399999999995,61.8,81.31399999999995
53,Kareem Hunt,RB,26,2021,142.79799999999994,110.0,32.797999999999945
78,Samaje Perine,RB,26,2021,139.41400000000002,83.2,56.21400000000001
40,Rhamondre Stevenson,RB,23,2021,138.61500000000007,114.9,23.71500000000006
110,Peyton Barber,RB,27,2021,135.45800000000003,49.9,85.55800000000002
29,Myles Gaskin,RB,24,2021,134.78499999999988,173.6,-38.81500000000011
64,Mark Ingram,RB,32,2021,134.30300000000003,108.6,25.70300000000003
27,Darrell Henderson,RB,24,2021,133.66499999999994,163.4,-29.73500000000007
51,Miles Sanders,RB,24,2021,130.24399999999991,117.2,13.043999999999912
30,Sony Michel,RB,26,2021,126.47099999999999,146.3,-19.829000000000022
21,David Montgomery,RB,24,2021,124.33199999999997,195.0,-70.66800000000003
31,Sony Michel,RB,26,2021,124.266,146.3,-22.034000000000006
50,Miles Sanders,RB,24,2021,124.25599999999999,117.2,7.055999999999983
9,Alvin Kamara,RB,26,2021,123.66799999999998,234.7,-111.03200000000001
112,DeeJay Dallas,RB,23,2021,122.27799999999999,60.1,62.17799999999999
91,Derrick Gore,RB,27,2021,121.42400000000002,56.1,65.32400000000001
4,James Conner,RB,26,2021,120.47099999999995,257.7,-137.22900000000004
63,Mark Ingram,RB,32,2021,118.18399999999995,108.6,9.58399999999996
15,Derrick Henry,RB,27,2021,116.33199999999997,193.3,-76.96800000000005
111,Peyton Barber,RB,27,2021,115.73100000000004,49.9,65.83100000000005
59,J.D. McKissic,RB,28,2021,114.08000000000004,127.9,-13.819999999999965
28,Myles Gaskin,RB,24,2021,113.40299999999988,173.6,-60.197000000000116
113,DeeJay Dallas,RB,23,2021,113.22499999999995,60.1,53.12499999999995
3,Najee Harris,RB,23,2021,112.29000000000002,300.7,-188.40999999999997
69,Kenyan Drake,RB,27,2021,112.28000000000002,102.5,9.780000000000015
45,Latavius Murray,RB,31,2021,111.76099999999998,103.6,8.160999999999987
114,DeeJay Dallas,RB,23,2021,110.62799999999996,60.1,50.527999999999956
57,D'Onta Foreman,RB,25,2021,108.97100000000002,93.9,15.071000000000012
42,Clyde Edwards-Helaire,RB,22,2021,107.96399999999993,117.6,-9.636000000000067
185,C.J. Ham,RB,28,2021,106.087,32.9,73.18700000000001
184,C.J. Ham,RB,28,2021,106.087,32.9,73.18700000000001
48,Christian McCaffrey,RB,25,2021,105.31499999999994,127.5,-22.18500000000006
117,Matt Breida,RB,26,2021,104.81600000000005,42.7,62.11600000000004
116,Matt Breida,RB,26,2021,104.81600000000005,42.7,62.11600000000004
49,Christian McCaffrey,RB,25,2021,104.601,127.5,-22.899
76,Alex Collins,RB,27,2021,103.314,68.8,34.513999999999996
84,Giovani Bernard,RB,30,2021,102.95200000000006,59.1,43.852000000000054
118,Matt Breida,RB,26,2021,102.354,42.7,59.653999999999996
