,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,360.262610944686,373.1,-12.83738905531402
11,Antonio Gibson,RB,23,2021,260.58435972985376,229.1,31.484359729853765
24,D'Andre Swift,RB,22,2021,249.75318672086996,208.9,40.85318672086996
16,Dalvin Cook,RB,26,2021,240.69873276850512,206.3,34.39873276850511
6,Nick Chubb,RB,26,2021,237.6693431327176,215.3,22.369343132717574
7,Nick Chubb,RB,26,2021,229.77720727091855,215.3,14.47720727091854
14,Aaron Jones,RB,27,2021,224.1157593150649,229.0,-4.884240684935094
3,Najee Harris,RB,23,2021,220.90766749094882,300.7,-79.79233250905116
18,Melvin Gordon,RB,28,2021,214.78074597155955,195.1,19.68074597155956
1,Austin Ekeler,RB,26,2021,205.41734053995629,343.8,-138.38265946004373
19,Javonte Williams,RB,21,2021,203.0316412685529,204.9,-1.8683587314471026
26,James Robinson,RB,23,2021,201.85124781439504,173.9,27.951247814395032
5,Ezekiel Elliott,RB,26,2021,195.30775331406358,252.1,-56.79224668593642
10,Alvin Kamara,RB,26,2021,194.04485688191266,234.7,-40.655143118087324
9,Alvin Kamara,RB,26,2021,190.7609143051002,234.7,-43.9390856948998
15,Derrick Henry,RB,27,2021,184.28273188063304,193.3,-9.017268119366975
2,Joe Mixon,RB,25,2021,180.08845709833554,287.9,-107.81154290166444
12,Leonard Fournette,RB,26,2021,170.69414277037663,255.6,-84.90585722962336
4,James Conner,RB,26,2021,169.88377622373378,257.7,-87.81622377626621
17,Josh Jacobs,RB,23,2021,167.59242455961157,226.0,-58.40757544038843
20,Devin Singletary,RB,24,2021,158.80499951093884,197.8,-38.99500048906117
21,David Montgomery,RB,24,2021,153.28247515821545,195.0,-41.71752484178455
41,Chase Edmonds,RB,25,2021,150.88958202933168,143.3,7.589582029331666
37,Saquon Barkley,RB,24,2021,149.48314666721694,148.6,0.8831466672169483
33,Michael Carter,RB,22,2021,146.04906340005869,154.4,-8.35093659994132
13,Cordarrelle Patterson,RB,30,2021,144.56406595221915,234.6,-90.03593404778084
51,Miles Sanders,RB,24,2021,142.94978908748726,117.2,25.749789087487258
32,Tony Pollard,RB,24,2021,142.85574864199202,162.6,-19.744251358007972
70,Nyheim Hines,RB,25,2021,133.97189859288642,112.6,21.371898592886424
50,Miles Sanders,RB,24,2021,129.13153398847408,117.2,11.931533988474072
59,J.D. McKissic,RB,28,2021,126.24706775596837,127.9,-1.652932244031632
45,Latavius Murray,RB,31,2021,121.26741573909408,103.6,17.667415739094082
25,Elijah Mitchell,RB,23,2021,121.22292291160261,165.0,-43.77707708839739
22,AJ Dillon,RB,23,2021,120.13204251615343,185.6,-65.46795748384656
93,Travis Homer,RB,23,2021,119.78220443115652,61.8,57.98220443115652
91,Derrick Gore,RB,27,2021,118.65753321095121,56.1,62.55753321095121
94,Travis Homer,RB,23,2021,117.11719855519868,61.8,55.31719855519869
85,Dontrell Hilliard,RB,26,2021,114.76552185983883,72.7,42.065521859838825
74,Justin Jackson,RB,25,2021,113.80321471835623,86.2,27.603214718356227
69,Kenyan Drake,RB,27,2021,113.35673558868916,102.5,10.856735588689162
8,Damien Harris,RB,24,2021,111.83823583898493,210.1,-98.26176416101507
92,Travis Homer,RB,23,2021,109.64936325804888,61.8,47.84936325804888
49,Christian McCaffrey,RB,25,2021,108.71352893830112,127.5,-18.786471061698876
31,Sony Michel,RB,26,2021,108.1104188809411,146.3,-38.189581119058914
29,Myles Gaskin,RB,24,2021,107.86982134386744,173.6,-65.73017865613255
63,Mark Ingram,RB,32,2021,107.50257809681807,108.6,-1.0974219031819246
34,Rashaad Penny,RB,25,2021,107.42093226095858,121.7,-14.279067739041423
44,Alexander Mattison,RB,23,2021,107.33831925082382,125.9,-18.56168074917619
30,Sony Michel,RB,26,2021,106.58796323191473,146.3,-39.712036768085284
39,Devontae Booker,RB,29,2021,106.34337426381035,144.1,-37.75662573618965
40,Rhamondre Stevenson,RB,23,2021,103.67336888948489,114.9,-11.226631110515115
64,Mark Ingram,RB,32,2021,103.66932028068459,108.6,-4.930679719315407
53,Kareem Hunt,RB,26,2021,103.52933829234212,110.0,-6.470661707657882
48,Christian McCaffrey,RB,25,2021,103.35184003356949,127.5,-24.148159966430512
36,Chuba Hubbard,RB,22,2021,103.12781633533768,137.6,-34.47218366466231
68,Kenyan Drake,RB,27,2021,102.7336371701258,102.5,0.2336371701258031
42,Clyde Edwards-Helaire,RB,22,2021,101.97103007315536,117.6,-15.628969926844633
71,Ronald Jones II,RB,24,2021,99.25366607784758,79.2,20.05366607784758
38,Devontae Booker,RB,29,2021,98.07940404095461,144.1,-46.02059595904538
108,Chris Carson,RB,27,2021,97.28245640138721,48.1,49.182456401387206
67,Rex Burkhead,RB,31,2021,94.81580979574278,104.3,-9.484190204257217
66,Rex Burkhead,RB,31,2021,94.7878817119713,104.3,-9.512118288028702
