,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
0,Travis Kelce,TE,33.0,2022,206.54637113356785,,,15.0,2.03,TE,KC,8.0,15.0,3.1,1.01,3.02,4310.0
1,Mark Andrews,TE,27.0,2022,174.6668592404666,,,26.0,3.01,TE,BAL,10.0,25.1,3.9,1.09,5.03,4761.0
2,Kyle Pitts,TE,22.0,2022,147.1275463810338,,,37.0,3.11,TE,ATL,14.0,35.5,4.8,1.05,6.01,5178.0
3,Pat Freiermuth,TE,24.0,2022,144.75357077434148,,,121.0,10.09,TE,PIT,9.0,116.6,14.3,3.01,14.08,2506.0
4,George Kittle,TE,29.0,2022,139.2221793415975,,,43.0,4.06,TE,SF,9.0,41.5,5.0,1.12,6.06,3354.0
5,Noah Fant,TE,25.0,2022,132.961223133873,,,219.0,14.07,TE,SEA,11.0,163.3,25.0,4.11,18.06,263.0
6,T.J. Hockenson,TE,25.0,2022,127.89763010192806,,,66.0,6.03,TE,DET,6.0,63.3,6.7,3.1,8.11,1996.0
7,Dalton Schultz,TE,26.0,2022,127.34841879585716,,,71.0,6.06,TE,DAL,9.0,66.2,7.6,2.03,9.04,4469.0
8,Hunter Henry,TE,28.0,2022,124.65626962265823,,,141.0,12.01,TE,NE,10.0,133.2,16.6,5.01,15.1,1517.0
9,Mike Gesicki,TE,27.0,2022,124.21531396143453,,,127.0,11.02,TE,MIA,11.0,121.9,14.2,5.03,15.11,1920.0
10,Dallas Goedert,TE,27.0,2022,122.11697898307912,,,83.0,7.08,TE,PHI,7.0,80.1,8.9,4.05,11.07,2937.0
11,Zach Ertz,TE,32.0,2022,118.25683768698106,,,101.0,9.01,TE,ARI,13.0,96.6,10.4,5.01,12.08,3486.0
12,Dawson Knox,TE,26.0,2022,115.11752290674336,,,92.0,8.03,TE,BUF,7.0,87.3,11.0,3.07,13.03,1731.0
13,Tyler Higbee,TE,29.0,2022,114.62000020512569,,,193.0,14.01,TE,LAR,7.0,156.8,28.6,6.11,19.04,132.0
14,Austin Hooper,TE,28.0,2022,113.24222218753853,,,195.0,14.01,TE,TEN,6.0,157.3,26.9,4.12,18.06,92.0
15,Robert Tonyan,TE,28.0,2022,109.74980493882086,,,,,,,,,,,,
16,Cole Kmet,TE,23.0,2022,103.89991194578502,,,140.0,12.01,TE,CHI,14.0,132.8,15.2,6.03,15.12,2280.0
17,Evan Engram,TE,28.0,2022,96.15247793435458,,,208.0,14.05,TE,JAX,11.0,160.8,22.9,9.08,18.03,129.0
18,Hayden Hurst,TE,29.0,2022,94.87760521575208,,,161.0,13.02,TE,CIN,10.0,145.7,31.4,6.12,18.05,77.0
19,Gerald Everett,TE,28.0,2022,89.41180330089641,,,231.0,14.1,TE,LAC,8.0,165.6,21.3,8.02,18.06,195.0
20,Albert Okwuegbunam,TE,24.0,2022,88.89163510990178,,,180.0,13.09,TE,DEN,9.0,152.6,19.6,7.05,18.06,1170.0
21,David Njoku,TE,26.0,2022,74.33754001379633,,,207.0,14.04,TE,CLE,9.0,160.2,23.6,2.12,18.06,542.0
22,Logan Thomas,TE,31.0,2022,71.23128130004892,,,226.0,14.09,TE,WAS,14.0,164.7,19.8,7.11,18.06,377.0
23,Kyle Rudolph,TE,33.0,2022,68.83428361001681,,,178.0,13.08,TE,TB,11.0,152.0,33.6,5.07,18.05,48.0
24,Mo Alie-Cox,TE,29.0,2022,57.709523455296015,,,167.0,13.04,TE,IND,14.0,148.5,41.3,6.08,18.02,13.0
25,Cameron Brate,TE,31.0,2022,57.460015913944204,,,162.0,13.02,TE,TB,11.0,146.1,36.0,4.12,17.02,23.0
