,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32.0,2021,246.07999999999979,262.8,-16.720000000000226
16,Darren Waller,TE,29.0,2021,193.67200000000005,133.5,60.172000000000054
3,George Kittle,TE,28.0,2021,189.90400000000005,198.0,-8.095999999999947
0,Mark Andrews,TE,26.0,2021,155.99500000000006,301.1,-145.10499999999996
13,Jared Cook,TE,34.0,2021,135.91399999999996,132.4,3.513999999999953
11,Noah Fant,TE,24.0,2021,135.26800000000003,159.0,-23.73199999999997
12,Tyler Higbee,TE,28.0,2021,131.009,147.0,-15.991000000000014
4,Rob Gronkowski,TE,32.0,2021,130.84199999999998,171.2,-40.358000000000004
23,Peyton Barber,RB,27.0,2021,124.08700000000003,102.5,21.58700000000003
22,Evan Engram,TE,27.0,2021,124.08700000000003,102.5,21.58700000000003
14,T.J. Hockenson,TE,24.0,2021,121.16100000000002,145.3,-24.138999999999996
6,Hunter Henry,TE,27.0,2021,119.71199999999992,164.3,-44.58800000000009
111,Eric Ebron,TE,28.0,2021,110.365,32.5,77.865
96,Hayden Hurst,TE,28.0,2021,106.69699999999999,64.1,42.596999999999994
7,Dallas Goedert,TE,26.0,2021,106.58599999999991,165.0,-58.41400000000009
8,Zach Ertz,TE,31.0,2021,104.25400000000002,180.7,-76.44599999999997
9,Mike Gesicki,TE,26.0,2021,100.02266666666665,165.0,-64.97733333333335
103,Kyle Rudolph,TE,32.0,2021,98.94699999999999,59.7,39.246999999999986
93,Jonnu Smith,TE,26.0,2021,97.39100000000002,67.4,29.991000000000014
25,Austin Hooper,TE,27.0,2021,95.79799999999996,92.5,3.297999999999959
97,Jimmy Graham,TE,35.0,2021,93.41000000000003,50.7,42.71000000000002
33,Dan Arnold,TE,26.0,2021,83.93100000000004,75.8,8.131000000000043
104,Robert Tonyan,TE,27.0,2021,83.38900000000004,50.4,32.98900000000004
19,Gerald Everett,TE,27.0,2021,81.45999999999997,117.8,-36.34000000000003
99,Logan Thomas,TE,30.0,2021,80.94833333333335,53.6,27.34833333333335
105,Will Dissly,TE,25.0,2021,77.936,50.1,27.836000000000006
184,Darren Fells,TE,35.0,2021,77.34199999999997,8.3,69.04199999999997
2,Dalton Schultz,TE,25.0,2021,74.85799999999996,208.8,-133.94200000000006
113,O.J. Howard,TE,27.0,2021,74.57600000000002,33.5,41.07600000000002
171,Chris Herndon,TE,25.0,2021,74.41899999999995,14.0,60.418999999999954
110,Blake Jarwin,TE,27.0,2021,70.915,32.6,38.315000000000005
41,Josh Oliver,TE,24.0,2021,70.12400000000004,59.0,11.124000000000038
40,Ke'Shawn Vaughn,RB,24.0,2021,70.12400000000004,59.0,11.124000000000038
39,Josiah Deguara,TE,24.0,2021,70.12400000000004,59.0,11.124000000000038
38,Donald Parham,TE,24.0,2021,70.12400000000004,59.0,11.124000000000038
29,Anthony Firkser,TE,26.0,2021,69.86899999999997,79.1,-9.231000000000023
28,Cameron Brate,TE,30.0,2021,68.26299999999999,78.5,-10.237000000000009
92,Ricky Seals-Jones,TE,26.0,2021,67.29973333333336,69.1,-1.80026666666663
30,Bryan Edwards,WR,23.0,2021,63.63900000000002,76.0,-12.360999999999983
32,La'Mical Perine,RB,23.0,2021,63.63900000000002,76.0,-12.360999999999983
31,Albert Okwuegbunam,TE,23.0,2021,63.63900000000002,76.0,-12.360999999999983
20,Cole Kmet,TE,22.0,2021,61.63975189393941,121.2,-59.56024810606059
18,David Njoku,TE,25.0,2021,60.90006666666668,107.6,-46.69993333333331
117,Jordan Akins,TE,29.0,2021,59.70866666666664,41.7,18.008666666666635
35,Harrison Bryant,TE,23.0,2021,59.42300000000002,62.3,-2.876999999999974
24,Mo Alie-Cox,TE,28.0,2021,57.97499999999995,79.6,-21.625000000000043
225,Darrell Daniels,TE,27.0,2021,55.666,1.0,54.666
5,Dawson Knox,TE,25.0,2021,55.43433333333337,164.1,-108.66566666666662
163,Jacob Hollister,TE,28.0,2021,52.96299999999999,20.5,32.46299999999999
162,Stefon Diggs,WR,28.0,2021,52.96299999999999,20.5,32.46299999999999
26,Foster Moreau,TE,24.0,2021,52.612999999999985,85.3,-32.68700000000001
27,Jack Doyle,TE,31.0,2021,50.255999999999965,79.2,-28.944000000000038
102,MyCole Pruitt,TE,29.0,2021,47.974249999999984,48.5,-0.5257500000000164
169,Adam Shaheen,TE,27.0,2021,46.79399999999999,23.0,23.79399999999999
174,Drew Sample,TE,25.0,2021,45.74899999999999,19.1,26.648999999999987
101,Adam Trautman,TE,24.0,2021,45.114999999999974,63.3,-18.185000000000024
59,Josh Oliver,TE,24.0,2021,44.85688233988236,61.5,-16.64311766011764
58,Ke'Shawn Vaughn,RB,24.0,2021,44.85688233988236,61.5,-16.64311766011764
57,Josiah Deguara,TE,24.0,2021,44.85688233988236,61.5,-16.64311766011764
