,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,246.92019999999664,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,203.39670000000007,26.0,3.9,1.09,5.03
2,George Kittle,TE,29.0,2022,174.9774999999999,43.0,5.0,1.12,6.06
3,Kyle Pitts,TE,22.0,2022,170.3645000000003,37.0,4.8,1.05,6.01
4,Dallas Goedert,TE,27.0,2022,152.12680000000006,83.0,8.9,4.05,11.07
5,Noah Fant,TE,25.0,2022,141.23079999999996,219.0,25.0,4.11,18.06
6,Tyler Higbee,TE,29.0,2022,127.17069999999993,193.0,28.6,6.11,19.04
7,Hunter Henry,TE,28.0,2022,125.75200000000015,141.0,16.6,5.01,15.1
8,Dalton Schultz,TE,26.0,2022,123.8697000000001,71.0,7.6,2.03,9.04
9,Zach Ertz,TE,32.0,2022,120.81609999999979,101.0,10.4,5.01,12.08
10,T.J. Hockenson,TE,25.0,2022,120.14810000000041,66.0,6.7,3.1,8.11
11,Mike Gesicki,TE,27.0,2022,112.98310000000018,127.0,14.2,5.03,15.11
12,Austin Hooper,TE,28.0,2022,104.63430000000007,195.0,26.9,4.12,18.06
13,Pat Freiermuth,TE,24.0,2022,103.34809999999962,121.0,14.3,3.01,14.08
14,Cole Kmet,TE,23.0,2022,93.86280000000023,140.0,15.2,6.03,15.12
15,Evan Engram,TE,28.0,2022,93.80204999999992,208.0,22.9,9.08,18.03
16,Logan Thomas,TE,31.0,2022,92.99436666666686,226.0,19.8,7.11,18.06
17,Dawson Knox,TE,26.0,2022,84.61246666666679,92.0,11.0,3.07,13.03
18,Hayden Hurst,TE,29.0,2022,78.99716666666636,161.0,31.4,6.12,18.05
19,Robert Tonyan,TE,28.0,2022,78.58949999999986,,,,
20,Gerald Everett,TE,28.0,2022,76.11300000000008,231.0,21.3,8.02,18.06
21,Cameron Brate,TE,31.0,2022,75.23631999999988,162.0,36.0,4.12,17.02
22,Albert Okwuegbunam,TE,24.0,2022,74.15879999999987,180.0,19.6,7.05,18.06
23,Kyle Rudolph,TE,33.0,2022,70.9987761904758,178.0,33.6,5.07,18.05
24,Mo Alie-Cox,TE,29.0,2022,66.8914166666664,167.0,41.3,6.08,18.02
25,David Njoku,TE,26.0,2022,65.66904666666679,207.0,23.6,2.12,18.06
