,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,263.44793767165334,262.8,0.6479376716533238
0,Mark Andrews,TE,26,2021,187.24969465565687,301.1,-113.85030534434316
15,Kyle Pitts,TE,21,2021,181.21640716725096,176.6,4.616407167250969
16,Kyle Pitts,TE,21,2021,181.21640716725096,176.6,4.616407167250969
14,Kyle Pitts,TE,21,2021,179.47767991697424,176.6,2.8776799169742446
3,George Kittle,TE,28,2021,169.16237061083666,198.0,-28.83762938916334
4,George Kittle,TE,28,2021,167.72513495471685,198.0,-30.27486504528315
27,Darren Waller,TE,29,2021,164.87664913465073,133.5,31.376649134650734
17,Zach Ertz,TE,31,2021,150.6458252287307,180.7,-30.054174771269288
5,Rob Gronkowski,TE,32,2021,141.36759035628143,171.2,-29.832409643718563
21,Tyler Higbee,TE,28,2021,138.54560144209813,147.0,-8.454398557901868
9,Hunter Henry,TE,27,2021,137.0341543179918,164.3,-27.265845682008205
8,Hunter Henry,TE,27,2021,137.0341543179918,164.3,-27.265845682008205
13,Mike Gesicki,TE,26,2021,136.48837163528447,165.0,-28.511628364715534
12,Mike Gesicki,TE,26,2021,134.56643513955805,165.0,-30.433564860441948
22,Jared Cook,TE,34,2021,133.8194621410887,132.4,1.419462141088701
23,Jared Cook,TE,34,2021,131.69850122129697,132.4,-0.7014987787030407
7,Hunter Henry,TE,27,2021,129.94200365768165,164.3,-34.35799634231836
11,Dallas Goedert,TE,26,2021,129.6107558172862,165.0,-35.38924418271381
20,Tyler Higbee,TE,28,2021,129.15904381964742,147.0,-17.840956180352578
10,Dallas Goedert,TE,26,2021,127.68881932156,165.0,-37.311180678439996
19,Noah Fant,TE,24,2021,121.61025374729547,159.0,-37.389746252704526
73,Kyle Rudolph,TE,32,2021,118.35156849687769,59.7,58.65156849687769
6,Dawson Knox,TE,25,2021,117.8257382640029,164.1,-46.2742617359971
25,T.J. Hockenson,TE,24,2021,117.52049771470661,145.3,-27.779502285293404
29,David Njoku,TE,25,2021,116.39394724353633,107.6,8.793947243536337
35,Austin Hooper,TE,27,2021,115.76571563918219,92.5,23.26571563918219
24,T.J. Hockenson,TE,24,2021,114.51985745460092,145.3,-30.780142545399087
