,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
23,Darren Waller,TE,29.0,2021,189.34,133.5,55.84
14,Zach Ertz,TE,31.0,2021,178.9,180.7,-1.799999999999983
1,Travis Kelce,TE,32.0,2021,160.95999999999998,262.8,-101.84000000000003
66,MyCole Pruitt,TE,29.0,2021,155.74,48.5,107.24000000000001
3,George Kittle,TE,28.0,2021,153.18,198.0,-44.81999999999999
4,George Kittle,TE,28.0,2021,152.86,198.0,-45.139999999999986
7,Hunter Henry,TE,27.0,2021,141.02,164.3,-23.28
21,T.J. Hockenson,TE,24.0,2021,131.21999999999997,145.3,-14.080000000000041
20,T.J. Hockenson,TE,24.0,2021,122.5,145.3,-22.80000000000001
83,Eric Ebron,TE,28.0,2021,119.72,32.5,87.22
84,Eric Ebron,TE,28.0,2021,119.72,32.5,87.22
45,Jonnu Smith,TE,26.0,2021,116.14000000000001,67.4,48.74000000000001
28,Evan Engram,TE,27.0,2021,112.8,102.5,10.299999999999997
16,Tyler Higbee,TE,28.0,2021,109.9,147.0,-37.099999999999994
17,Tyler Higbee,TE,28.0,2021,109.9,147.0,-37.099999999999994
0,Mark Andrews,TE,26.0,2021,104.08000000000001,301.1,-197.02
18,Jared Cook,TE,34.0,2021,102.55999999999999,132.4,-29.840000000000018
19,Jared Cook,TE,34.0,2021,102.55999999999999,132.4,-29.840000000000018
31,Austin Hooper,TE,27.0,2021,101.17999999999999,92.5,8.679999999999993
13,Mike Gesicki,TE,26.0,2021,93.35999999999999,165.0,-71.64000000000001
9,Hunter Henry,TE,27.0,2021,93.16000000000001,164.3,-71.14
8,Hunter Henry,TE,27.0,2021,93.16000000000001,164.3,-71.14
74,Maxx Williams,TE,27.0,2021,91.66,41.3,50.36
5,Rob Gronkowski,TE,32.0,2021,90.54,171.2,-80.65999999999998
59,Jimmy Graham,TE,35.0,2021,87.58000000000001,50.7,36.88000000000001
60,Jimmy Graham,TE,35.0,2021,87.58000000000001,50.7,36.88000000000001
75,Maxx Williams,TE,27.0,2021,87.46,41.3,46.16
85,Marcedes Lewis,TE,37.0,2021,75.28,44.4,30.880000000000003
88,O.J. Howard,TE,27.0,2021,74.97999999999999,33.5,41.47999999999999
82,Blake Jarwin,TE,27.0,2021,74.58,32.6,41.98
15,Noah Fant,TE,24.0,2021,74.05999999999999,159.0,-84.94000000000001
86,Marcedes Lewis,TE,37.0,2021,69.5,44.4,25.1
53,Ryan Griffin,TE,31.0,2021,61.120000000000005,65.1,-3.9799999999999898
52,Ryan Griffin,TE,31.0,2021,61.11999999999999,65.1,-3.980000000000004
112,Lee Smith,TE,34.0,2021,61.04,21.5,39.54
12,Mike Gesicki,TE,26.0,2021,60.999999999999986,165.0,-104.00000000000001
94,Jordan Akins,TE,29.0,2021,59.96,41.7,18.259999999999998
37,Albert Okwuegbunam,TE,23.0,2021,59.500000000000014,76.0,-16.499999999999986
2,Dalton Schultz,TE,25.0,2021,57.4,208.8,-151.4
62,Logan Thomas,TE,30.0,2021,56.42,53.6,2.8200000000000003
61,Logan Thomas,TE,30.0,2021,56.42,53.6,2.8200000000000003
63,Logan Thomas,TE,30.0,2021,56.42,53.6,2.8200000000000003
42,Donald Parham,TE,24.0,2021,56.1,59.0,-2.8999999999999986
25,David Njoku,TE,25.0,2021,52.14000000000001,107.6,-55.45999999999999
27,Cole Kmet,TE,22.0,2021,51.660000000000004,121.2,-69.53999999999999
38,Dan Arnold,TE,26.0,2021,51.14,75.8,-24.659999999999997
10,Dallas Goedert,TE,26.0,2021,50.6,165.0,-114.4
93,Nick Vannett,TE,28.0,2021,49.839999999999996,28.3,21.539999999999996
