,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,234.3585152873568,262.8,-28.441484712643216
17,Zach Ertz,TE,31,2021,154.06984037049187,180.7,-26.630159629508114
3,George Kittle,TE,28,2021,153.1885128993174,198.0,-44.8114871006826
73,Kyle Rudolph,TE,32,2021,152.97743899507986,59.7,93.27743899507986
29,David Njoku,TE,25,2021,151.25997512904087,107.6,43.65997512904087
4,George Kittle,TE,28,2021,151.23600049965694,198.0,-46.76399950034306
22,Jared Cook,TE,34,2021,132.4917672995473,132.4,0.09176729954728557
23,Jared Cook,TE,34,2021,128.28178874020637,132.4,-4.11821125979364
26,C.J. Uzomah,TE,28,2021,118.05566715497548,128.3,-10.24433284502453
0,Mark Andrews,TE,26,2021,117.73857198773771,301.1,-183.3614280122623
41,Albert Okwuegbunam,TE,23,2021,113.85223837282433,76.0,37.85223837282433
27,Darren Waller,TE,29,2021,112.66266483719346,133.5,-20.83733516280654
5,Rob Gronkowski,TE,32,2021,111.00024300718565,171.2,-60.19975699281434
62,Josiah Deguara,TE,24,2021,109.57376482954555,61.5,48.07376482954555
15,Kyle Pitts,TE,21,2021,107.85824483279066,176.6,-68.74175516720933
16,Kyle Pitts,TE,21,2021,107.85824483279066,176.6,-68.74175516720933
21,Tyler Higbee,TE,28,2021,107.10283665877137,147.0,-39.897163341228634
35,Austin Hooper,TE,27,2021,105.97480855494541,92.5,13.474808554945412
14,Kyle Pitts,TE,21,2021,105.9386083274203,176.6,-70.6613916725797
6,Dawson Knox,TE,25,2021,104.82643055740664,164.1,-59.273569442593356
9,Hunter Henry,TE,27,2021,103.45432042353491,164.3,-60.8456795764651
8,Hunter Henry,TE,27,2021,103.45432042353491,164.3,-60.8456795764651
61,Josiah Deguara,TE,24,2021,100.12908057583513,61.5,38.62908057583513
13,Mike Gesicki,TE,26,2021,99.84836952965884,165.0,-65.15163047034116
11,Dallas Goedert,TE,26,2021,99.79973300900883,165.0,-65.20026699099117
20,Tyler Higbee,TE,28,2021,98.37440620789516,147.0,-48.62559379210484
7,Hunter Henry,TE,27,2021,97.8129005883327,164.3,-66.48709941166732
12,Mike Gesicki,TE,26,2021,96.11770415449132,165.0,-68.88229584550868
10,Dallas Goedert,TE,26,2021,96.06906763384131,165.0,-68.93093236615869
25,T.J. Hockenson,TE,24,2021,93.18696920464663,145.3,-52.11303079535338
30,Gerald Everett,TE,27,2021,92.96378929192338,117.8,-24.83621070807662
19,Noah Fant,TE,24,2021,92.79689021311856,159.0,-66.20310978688144
24,T.J. Hockenson,TE,24,2021,90.83094817307187,145.3,-54.46905182692814
32,Evan Engram,TE,27,2021,86.50436737847372,102.5,-15.995632621526283
63,Jimmy Graham,TE,35,2021,82.92356177962733,50.7,32.22356177962733
48,Ricky Seals-Jones,TE,26,2021,82.72875505138018,69.1,13.628755051380182
59,Hayden Hurst,TE,28,2021,82.18291891553258,64.1,18.082918915532588
47,Ricky Seals-Jones,TE,26,2021,81.40664599282286,69.1,12.306645992822865
60,Hayden Hurst,TE,28,2021,81.13297970000144,64.1,17.032979700001448
69,Logan Thomas,TE,30,2021,80.61688790219432,53.6,27.01688790219432
67,Logan Thomas,TE,30,2021,80.61688790219432,53.6,27.01688790219432
68,Logan Thomas,TE,30,2021,80.61688790219432,53.6,27.01688790219432
64,Jimmy Graham,TE,35,2021,80.53401315963583,50.7,29.83401315963583
58,Hayden Hurst,TE,28,2021,79.88945787759303,64.1,15.789457877593037
94,Eric Ebron,TE,28,2021,78.19105078547159,32.5,45.69105078547159
95,Eric Ebron,TE,28,2021,78.04547090422625,32.5,45.54547090422625
101,Ian Thomas,TE,25,2021,77.35241933699717,36.8,40.552419336997175
37,Jack Doyle,TE,31,2021,76.73181530875286,79.2,-2.4681846912471457
100,Ian Thomas,TE,25,2021,74.66832271468957,36.8,37.86832271468957
36,Foster Moreau,TE,24,2021,73.77668772270363,85.3,-11.52331227729637
44,Harrison Bryant,TE,23,2021,73.61476594092665,62.3,11.314765940926648
82,Will Dissly,TE,25,2021,71.64577334399132,50.1,21.54577334399132
77,Robert Tonyan,TE,27,2021,71.2698346501295,50.4,20.869834650129498
76,Robert Tonyan,TE,27,2021,71.2698346501295,50.4,20.869834650129498
81,Will Dissly,TE,25,2021,68.75934135736043,50.1,18.659341357360425
49,Jonnu Smith,TE,26,2021,68.53599911616925,67.4,1.1359991161692449
105,Jordan Akins,TE,29,2021,64.84609607740731,41.7,23.146096077407307
28,Tyler Conklin,TE,26,2021,63.65612784444443,138.3,-74.64387215555558
