,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,286.2533330300512,262.8,23.45333303005117
0,Mark Andrews,TE,26,2021,262.70141843048805,301.1,-38.398581569511975
3,George Kittle,TE,28,2021,228.91133665336088,198.0,30.911336653360877
4,George Kittle,TE,28,2021,227.53005472447467,198.0,29.530054724474667
17,Zach Ertz,TE,31,2021,207.29032165807735,180.7,26.590321658077357
14,Kyle Pitts,TE,21,2021,177.835086126659,176.6,1.235086126659013
22,Jared Cook,TE,34,2021,175.83174312077858,132.4,43.43174312077858
16,Kyle Pitts,TE,21,2021,172.02318753015334,176.6,-4.576812469846658
15,Kyle Pitts,TE,21,2021,172.02318753015334,176.6,-4.576812469846658
23,Jared Cook,TE,34,2021,170.51186766707838,132.4,38.11186766707837
21,Tyler Higbee,TE,28,2021,169.37986430833826,147.0,22.379864308338256
13,Mike Gesicki,TE,26,2021,155.80204519274184,165.0,-9.197954807258157
12,Mike Gesicki,TE,26,2021,154.56031931904863,165.0,-10.43968068095137
20,Tyler Higbee,TE,28,2021,152.97686340165774,147.0,5.976863401657738
73,Kyle Rudolph,TE,32,2021,148.94360203769997,59.7,89.24360203769997
9,Hunter Henry,TE,27,2021,143.6811669306046,164.3,-20.618833069395407
8,Hunter Henry,TE,27,2021,143.6811669306046,164.3,-20.618833069395407
29,David Njoku,TE,25,2021,140.3301929925094,107.6,32.730192992509416
7,Hunter Henry,TE,27,2021,129.95082089145217,164.3,-34.349179108547844
25,T.J. Hockenson,TE,24,2021,124.5644137293857,145.3,-20.735586270614306
27,Darren Waller,TE,29,2021,121.23523109619009,133.5,-12.264768903809909
24,T.J. Hockenson,TE,24,2021,120.3893197506809,145.3,-24.910680249319114
41,Albert Okwuegbunam,TE,23,2021,116.49368825776969,76.0,40.49368825776969
19,Noah Fant,TE,24,2021,116.18319261416468,159.0,-42.81680738583532
26,C.J. Uzomah,TE,28,2021,113.81869012434595,128.3,-14.481309875654063
35,Austin Hooper,TE,27,2021,107.96955723506426,92.5,15.469557235064258
62,Josiah Deguara,TE,24,2021,107.04339732548942,61.5,45.54339732548942
101,Ian Thomas,TE,25,2021,102.49439133345413,36.8,65.69439133345413
6,Dawson Knox,TE,25,2021,102.19472538395439,164.1,-61.9052746160456
5,Rob Gronkowski,TE,32,2021,101.62501109205141,171.2,-69.57498890794858
32,Evan Engram,TE,27,2021,101.2116990013019,102.5,-1.288300998698105
100,Ian Thomas,TE,25,2021,94.98967772373749,36.8,58.18967772373749
44,Harrison Bryant,TE,23,2021,94.12998061158237,62.3,31.82998061158237
61,Josiah Deguara,TE,24,2021,93.92421160246795,61.5,32.42421160246795
