,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32.0,2021,162.3886494061916,262.8,-100.41135059380841
3,George Kittle,TE,28.0,2021,151.91894339299003,198.0,-46.08105660700997
4,George Kittle,TE,28.0,2021,143.6131595942907,198.0,-54.38684040570931
23,Darren Waller,TE,29.0,2021,140.86631054583742,133.5,7.366310545837422
14,Zach Ertz,TE,31.0,2021,128.94781095463193,180.7,-51.752189045368056
0,Mark Andrews,TE,26.0,2021,110.24934076288524,301.1,-190.85065923711477
18,Jared Cook,TE,34.0,2021,105.57815189779306,132.4,-26.821848102206943
19,Jared Cook,TE,34.0,2021,99.64468390315521,132.4,-32.755316096844794
83,Eric Ebron,TE,28.0,2021,97.2175182644138,32.5,64.7175182644138
84,Eric Ebron,TE,28.0,2021,96.88275381505188,32.5,64.38275381505188
20,T.J. Hockenson,TE,24.0,2021,88.10355126385527,145.3,-57.196448736144745
31,Austin Hooper,TE,27.0,2021,85.02698739275924,92.5,-7.473012607240761
21,T.J. Hockenson,TE,24.0,2021,84.82332125359916,145.3,-60.47667874640085
15,Noah Fant,TE,24.0,2021,84.17194939195029,159.0,-74.82805060804971
28,Evan Engram,TE,27.0,2021,82.62759317950189,102.5,-19.872406820498114
13,Mike Gesicki,TE,26.0,2021,82.53268287176336,165.0,-82.46731712823664
5,Rob Gronkowski,TE,32.0,2021,81.25487752225872,171.2,-89.94512247774126
45,Jonnu Smith,TE,26.0,2021,73.74515926739976,67.4,6.345159267399751
12,Mike Gesicki,TE,26.0,2021,73.18690746064932,165.0,-91.81309253935068
59,Jimmy Graham,TE,35.0,2021,71.97297163495297,50.7,21.272971634952967
60,Jimmy Graham,TE,35.0,2021,68.25039893704404,50.7,17.550398937044037
7,Hunter Henry,TE,27.0,2021,63.36775008349214,164.3,-100.93224991650787
69,Robert Tonyan,TE,27.0,2021,63.22903684304292,50.4,12.829036843042921
68,Robert Tonyan,TE,27.0,2021,63.22903684304292,50.4,12.829036843042921
16,Tyler Higbee,TE,28.0,2021,62.569069647964355,147.0,-84.43093035203565
67,Kyle Rudolph,TE,32.0,2021,61.02162723536337,59.7,1.3216272353633656
17,Tyler Higbee,TE,28.0,2021,60.77641537786185,147.0,-86.22358462213815
11,Dallas Goedert,TE,26.0,2021,59.78480161164076,165.0,-105.21519838835924
9,Hunter Henry,TE,27.0,2021,59.14022244610298,164.3,-105.15977755389703
8,Hunter Henry,TE,27.0,2021,59.14022244610298,164.3,-105.15977755389703
