,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,254.34999999999974,262.8,-8.450000000000273
0,Mark Andrews,TE,26,2021,254.10999999999976,301.1,-46.990000000000265
16,Kyle Pitts,TE,21,2021,211.00900000000001,176.6,34.40900000000002
15,Kyle Pitts,TE,21,2021,211.00900000000001,176.6,34.40900000000002
14,Kyle Pitts,TE,21,2021,205.9080000000001,176.6,29.308000000000106
4,George Kittle,TE,28,2021,203.34700000000004,198.0,5.347000000000037
3,George Kittle,TE,28,2021,194.3619999999999,198.0,-3.6380000000000905
27,Darren Waller,TE,29,2021,189.16200000000003,133.5,55.662000000000035
96,Marcedes Lewis,TE,37,2021,188.75400000000002,44.4,144.354
98,Marcedes Lewis,TE,37,2021,188.72900000000004,44.4,144.32900000000004
97,Marcedes Lewis,TE,37,2021,186.78600000000003,44.4,142.38600000000002
2,Dalton Schultz,TE,25,2021,161.95799999999994,208.8,-46.84200000000007
5,Rob Gronkowski,TE,32,2021,158.15699999999993,171.2,-13.043000000000063
17,Zach Ertz,TE,31,2021,157.28400000000005,180.7,-23.41599999999994
9,Hunter Henry,TE,27,2021,155.128,164.3,-9.172000000000025
8,Hunter Henry,TE,27,2021,155.128,164.3,-9.172000000000025
69,Logan Thomas,TE,30,2021,153.24,53.6,99.64000000000001
68,Logan Thomas,TE,30,2021,153.24,53.6,99.64000000000001
67,Logan Thomas,TE,30,2021,153.24,53.6,99.64000000000001
7,Hunter Henry,TE,27,2021,152.67300000000003,164.3,-11.626999999999981
12,Mike Gesicki,TE,26,2021,147.68400000000003,165.0,-17.315999999999974
77,Robert Tonyan,TE,27,2021,147.41600000000005,50.4,97.01600000000005
76,Robert Tonyan,TE,27,2021,147.41600000000005,50.4,97.01600000000005
13,Mike Gesicki,TE,26,2021,146.7619999999999,165.0,-18.238000000000113
24,T.J. Hockenson,TE,24,2021,145.60899999999998,145.3,0.3089999999999691
