,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,263.8444339446978,262.8,1.0444339446978006
0,Mark Andrews,TE,26,2021,188.96365442919478,301.1,-112.13634557080525
14,Kyle Pitts,TE,21,2021,183.96302747031677,176.6,7.36302747031678
16,Kyle Pitts,TE,21,2021,180.2676499834829,176.6,3.667649983482903
15,Kyle Pitts,TE,21,2021,180.2676499834829,176.6,3.667649983482903
3,George Kittle,TE,28,2021,169.47293101896275,198.0,-28.527068981037246
4,George Kittle,TE,28,2021,169.10848684457778,198.0,-28.891513155422217
27,Darren Waller,TE,29,2021,163.45467153641835,133.5,29.954671536418346
17,Zach Ertz,TE,31,2021,150.4943468074125,180.7,-30.205653192587476
5,Rob Gronkowski,TE,32,2021,142.60223854322544,171.2,-28.59776145677455
21,Tyler Higbee,TE,28,2021,140.957806951762,147.0,-6.042193048238005
8,Hunter Henry,TE,27,2021,139.00197356599324,164.3,-25.298026434006772
9,Hunter Henry,TE,27,2021,139.00197356599324,164.3,-25.298026434006772
13,Mike Gesicki,TE,26,2021,135.9975587629997,165.0,-29.002441237000312
22,Jared Cook,TE,34,2021,135.65458222386223,132.4,3.2545822238622293
12,Mike Gesicki,TE,26,2021,134.36436541328317,165.0,-30.635634586716833
23,Jared Cook,TE,34,2021,132.266990017024,132.4,-0.13300998297600586
11,Dallas Goedert,TE,26,2021,128.90540158378872,165.0,-36.094598416211284
20,Tyler Higbee,TE,28,2021,128.82766616765866,147.0,-18.172333832341337
7,Hunter Henry,TE,27,2021,127.61307812221708,164.3,-36.686921877782936
10,Dallas Goedert,TE,26,2021,127.2722082340722,165.0,-37.727791765927805
19,Noah Fant,TE,24,2021,122.15745413633863,159.0,-36.84254586366137
73,Kyle Rudolph,TE,32,2021,117.70319081032335,59.7,58.003190810323346
6,Dawson Knox,TE,25,2021,117.05872525863515,164.1,-47.041274741364845
25,T.J. Hockenson,TE,24,2021,115.87315418314029,145.3,-29.426845816859725
29,David Njoku,TE,25,2021,114.7656820990785,107.6,7.165682099078509
35,Austin Hooper,TE,27,2021,114.28906810514968,92.5,21.78906810514968
24,T.J. Hockenson,TE,24,2021,113.11540894894051,145.3,-32.1845910510595
18,Pat Freiermuth,TE,23,2021,111.76538646777772,151.7,-39.93461353222227
41,Albert Okwuegbunam,TE,23,2021,108.47913291550503,76.0,32.47913291550503
26,C.J. Uzomah,TE,28,2021,105.85565364600416,128.3,-22.444346353995854
32,Evan Engram,TE,27,2021,104.50672208328433,102.5,2.0067220832843304
2,Dalton Schultz,TE,25,2021,102.67786117952141,208.8,-106.1221388204786
30,Gerald Everett,TE,27,2021,101.87092444385303,117.8,-15.92907555614697
59,Hayden Hurst,TE,28,2021,93.62500230617047,64.1,29.525002306170478
58,Hayden Hurst,TE,28,2021,92.10533848631212,64.1,28.005338486312127
60,Hayden Hurst,TE,28,2021,91.17592849716038,64.1,27.07592849716039
62,Josiah Deguara,TE,24,2021,90.68150382456224,61.5,29.181503824562242
67,Logan Thomas,TE,30,2021,86.03953634340655,53.6,32.43953634340655
68,Logan Thomas,TE,30,2021,86.03953634340655,53.6,32.43953634340655
69,Logan Thomas,TE,30,2021,86.03953634340655,53.6,32.43953634340655
63,Jimmy Graham,TE,35,2021,83.94497625719373,50.7,33.24497625719373
49,Jonnu Smith,TE,26,2021,82.92799700963178,67.4,15.527997009631775
37,Jack Doyle,TE,31,2021,82.21807606471839,79.2,3.018076064718386
61,Josiah Deguara,TE,24,2021,80.15970340346144,61.5,18.659703403461435
76,Robert Tonyan,TE,27,2021,78.96538942958273,50.4,28.56538942958273
77,Robert Tonyan,TE,27,2021,78.96538942958273,50.4,28.56538942958273
47,Ricky Seals-Jones,TE,26,2021,78.51215364269456,69.1,9.412153642694562
64,Jimmy Graham,TE,35,2021,78.4957141440641,50.7,27.795714144064092
44,Harrison Bryant,TE,23,2021,76.32815660303368,62.3,14.028156603033679
48,Ricky Seals-Jones,TE,26,2021,75.95944865250408,69.1,6.859448652504085
82,Will Dissly,TE,25,2021,74.78950427793757,50.1,24.689504277937566
36,Foster Moreau,TE,24,2021,74.55874497344053,85.3,-10.741255026559472
31,Cole Kmet,TE,22,2021,71.49988620318209,121.2,-49.70011379681792
