,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
134,Calvin Ridley,WR,27.0,2021,253.76199999999986,71.1,182.66199999999986
11,Jacob Hollister,TE,28.0,2021,245.07800000000015,285.5,-40.421999999999855
10,Stefon Diggs,WR,28.0,2021,245.07800000000015,285.5,-40.421999999999855
9,Tyreek Hill,WR,27.0,2021,242.78800000000007,296.5,-53.71199999999993
6,Davante Adams,WR,29.0,2021,236.84800000000004,344.3,-107.45199999999997
7,Mike Evans,WR,28.0,2021,232.8089999999999,262.5,-29.691000000000088
28,Brandin Cooks,WR,28.0,2021,231.15600000000003,231.8,-0.643999999999977
32,Amari Cooper,WR,27.0,2021,228.37999999999985,202.5,25.879999999999853
30,Terry McLaurin,WR,26.0,2021,227.07999999999996,213.5,13.579999999999956
14,D.K. Metcalf,WR,24.0,2021,220.9719999999999,244.3,-23.328000000000117
5,Justin Jefferson,WR,22.0,2021,220.31900000000007,330.4,-110.0809999999999
27,Chris Godwin,WR,25.0,2021,220.19500000000005,242.4,-22.204999999999956
20,Anthony McFarland Jr.,RB,22.0,2021,217.59099999999998,232.8,-15.209000000000032
19,Clyde Edwards-Helaire,RB,22.0,2021,217.59099999999998,232.8,-15.209000000000032
18,CeeDee Lamb,WR,22.0,2021,217.59099999999998,232.8,-15.209000000000032
47,DeAndre Hopkins,WR,29.0,2021,211.3299999999999,147.2,64.12999999999991
39,Tyler Boyd,WR,27.0,2021,211.11299999999994,183.8,27.31299999999993
303,Will Fuller,WR,27.0,2021,209.54700000000008,8.6,200.9470000000001
42,Chase Claypool,WR,23.0,2021,209.0619999999999,166.6,42.461999999999904
120,Allen Robinson,WR,28.0,2021,209.01499999999996,87.0,122.01499999999996
36,A.J. Brown,WR,24.0,2021,206.41299999999998,180.9,25.512999999999977
25,Tee Higgins,WR,22.0,2021,202.39799999999997,219.1,-16.702000000000027
26,D.J. Moore,WR,24.0,2021,198.14699999999996,237.5,-39.35300000000004
86,Corey Davis,WR,26.0,2021,196.71799999999988,105.2,91.51799999999987
33,Adam Thielen,WR,31.0,2021,192.26800000000003,199.8,-7.531999999999982
15,Tyler Lockett,WR,29.0,2021,189.20199999999994,241.4,-52.198000000000064
56,Robert Woods,WR,29.0,2021,186.02899999999997,137.2,48.82899999999998
22,Keenan Allen,WR,29.0,2021,183.37900000000002,257.8,-74.42099999999999
0,Cooper Kupp,WR,28.0,2021,183.08500000000012,439.5,-256.41499999999985
238,JuJu Smith-Schuster,WR,25.0,2021,183.02500000000006,34.8,148.22500000000008
13,Mike Williams,WR,27.0,2021,181.15999999999997,246.6,-65.44000000000003
40,Brandon Aiyuk,WR,23.0,2021,177.47299999999996,170.3,7.172999999999945
57,Gabriel Davis,WR,22.0,2021,177.0459999999999,125.9,51.1459999999999
16,Diontae Johnson,WR,25.0,2021,175.8560000000001,274.4,-98.54399999999987
119,Julio Jones,WR,32.0,2021,172.37999999999997,80.4,91.97999999999996
31,Marquise Brown,WR,24.0,2021,164.06999999999994,226.3,-62.230000000000075
129,Darius Slayton,WR,24.0,2021,163.91499999999988,68.6,95.31499999999988
