,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
15,Keenan Allen,WR,29,2021,270.5507667644172,257.8,12.750766764417165
6,Tyreek Hill,WR,27,2021,238.14569495254705,296.5,-58.354305047452954
9,D.K. Metcalf,WR,24,2021,223.1026668966931,244.3,-21.197333103306903
7,Stefon Diggs,WR,28,2021,221.14920201890754,285.5,-64.35079798109246
4,Davante Adams,WR,29,2021,219.8267952988774,344.3,-124.4732047011226
38,Tyler Boyd,WR,27,2021,218.53958569072051,183.8,34.7395856907205
10,Tyler Lockett,WR,29,2021,211.75241316898132,241.4,-29.647586831018685
68,Robby Anderson,WR,28,2021,204.56043332493869,138.5,66.06043332493869
67,Robby Anderson,WR,28,2021,204.24254611889387,138.5,65.74254611889387
18,D.J. Moore,WR,24,2021,201.10799816342546,237.5,-36.392001836574536
48,DeAndre Hopkins,WR,29,2021,194.54836305114554,147.2,47.348363051145554
8,Mike Williams,WR,27,2021,190.81379145010192,246.6,-55.78620854989808
91,Rondale Moore,WR,21,2021,190.59148148710597,109.1,81.49148148710597
5,Mike Evans,WR,28,2021,189.28051104665383,262.5,-73.21948895334617
30,Christian Kirk,WR,25,2021,186.50016410620105,207.6,-21.09983589379894
0,Cooper Kupp,WR,28,2021,183.70690288783067,439.5,-255.79309711216933
35,A.J. Brown,WR,24,2021,181.58732088714783,180.9,0.6873208871478198
29,Adam Thielen,WR,31,2021,181.0071704856855,199.8,-18.79282951431452
69,Odell Beckham Jr.,WR,29,2021,180.50322929716344,129.1,51.40322929716345
23,Darnell Mooney,WR,24,2021,178.34099379805662,219.7,-41.35900620194337
92,Rondale Moore,WR,21,2021,177.75803589231623,109.1,68.65803589231624
1,Deebo Samuel,WR,25,2021,176.6393712849465,339.0,-162.3606287150535
61,Courtland Sutton,WR,26,2021,175.7346635704746,150.2,25.534663570474606
41,K.J. Osborn,WR,24,2021,175.55531615492578,158.5,17.055316154925777
62,Courtland Sutton,WR,26,2021,175.0618108885135,150.2,24.861810888513503
21,Jaylen Waddle,WR,23,2021,174.8632535472907,245.8,-70.93674645270931
13,Hunter Renfrow,WR,26,2021,171.5425105978943,259.1,-87.55748940210572
40,K.J. Osborn,WR,24,2021,169.80200634782295,158.5,11.302006347822953
127,Allen Robinson,WR,28,2021,168.0587372073628,87.0,81.05873720736281
2,Ja'Marr Chase,WR,21,2021,167.03188711340022,304.6,-137.5681128865998
42,Chase Claypool,WR,23,2021,166.79677921781035,166.6,0.19677921781035934
3,Justin Jefferson,WR,22,2021,165.82920532769072,330.4,-164.57079467230926
53,Jakobi Meyers,WR,25,2021,165.6029826876595,186.3,-20.697017312340506
94,Quez Watkins,WR,23,2021,163.29087940551767,116.0,47.29087940551767
52,Jakobi Meyers,WR,25,2021,161.66167186433313,186.3,-24.63832813566688
20,Chris Godwin,WR,25,2021,161.51126355293104,242.4,-80.88873644706896
126,Allen Robinson,WR,28,2021,160.14339592580518,87.0,73.14339592580518
43,Chase Claypool,WR,23,2021,159.29858057345996,166.6,-7.301419426540036
12,Hunter Renfrow,WR,26,2021,158.58584751433273,259.1,-100.5141524856673
16,Michael Pittman Jr.,WR,24,2021,158.28719884297834,238.6,-80.31280115702165
77,Antonio Brown,WR,33,2021,158.0818287349116,121.1,36.9818287349116
128,Allen Robinson,WR,28,2021,155.55690890711753,87.0,68.55690890711753
22,Brandin Cooks,WR,28,2021,152.84749047865785,231.8,-78.95250952134217
27,Marquise Brown,WR,24,2021,152.67997959583,226.3,-73.62002040417002
152,Julio Jones,WR,32,2021,152.21086776859875,80.4,71.81086776859874
124,Marquez Valdes-Scantling,WR,27,2021,152.1600641160428,87.0,65.1600641160428
93,Quez Watkins,WR,23,2021,151.33352962430786,116.0,35.33352962430786
60,Elijah Moore,WR,21,2021,151.20693731298957,138.2,13.006937312989578
74,Jarvis Landry,WR,29,2021,148.70237170452128,133.0,15.702371704521283
95,Corey Davis,WR,26,2021,147.6548999053307,105.2,42.45489990533069
31,Kendrick Bourne,WR,26,2021,146.0450514986644,180.5,-34.45494850133559
76,Jarvis Landry,WR,29,2021,145.1427813620619,133.0,12.142781362061896
153,Julio Jones,WR,32,2021,144.59043820047737,80.4,64.19043820047736
75,Jarvis Landry,WR,29,2021,144.49273393828662,133.0,11.49273393828662
192,Chris Moore,WR,28,2021,144.49035552926057,55.7,88.79035552926057
123,Marquez Valdes-Scantling,WR,27,2021,144.24472283448517,87.0,57.244722834485174
37,Van Jefferson,WR,25,2021,143.74583643125493,168.2,-24.45416356874506
78,Antonio Brown,WR,33,2021,143.70836798787718,121.1,22.608367987877187
14,CeeDee Lamb,WR,22,2021,143.68403138816348,232.8,-89.11596861183654
32,Kendrick Bourne,WR,26,2021,143.05012837513436,180.5,-37.44987162486564
25,Terry McLaurin,WR,26,2021,142.57214782725237,213.5,-70.92785217274763
82,Deonte Harris,WR,24,2021,140.8727930248449,113.1,27.7727930248449
125,Marquez Valdes-Scantling,WR,27,2021,139.65823581579752,87.0,52.658235815797525
111,Laviska Shenault Jr.,WR,23,2021,138.99286291711974,127.0,11.992862917119737
59,Elijah Moore,WR,21,2021,138.94453215080853,138.2,0.7445321508085385
17,Tee Higgins,WR,22,2021,138.26722513602203,219.1,-80.83277486397796
36,Van Jefferson,WR,25,2021,137.9353386524508,168.2,-30.26466134754918
19,Chris Godwin,WR,25,2021,137.25143508657038,242.4,-105.14856491342962
71,Kalif Raymond,WR,27,2021,136.02752060210082,132.4,3.627520602100816
150,T.Y. Hilton,WR,32,2021,135.98557836298778,74.1,61.885578362987786
99,Randall Cobb,WR,31,2021,135.2906568452952,93.6,41.690656845295194
191,Chris Moore,WR,28,2021,133.9092017702103,55.7,78.2092017702103
173,Sterling Shepard,WR,28,2021,133.33675122830232,77.7,55.636751228302316
28,Amari Cooper,WR,27,2021,133.1517534391196,202.5,-69.3482465608804
11,Diontae Johnson,WR,25,2021,132.0575029528718,274.4,-142.34249704712818
149,T.Y. Hilton,WR,32,2021,129.34889383570362,74.1,55.248893835703626
246,Albert Wilson,WR,29,2021,129.28386240777854,48.0,81.28386240777854
46,Marvin Jones,WR,31,2021,128.0441954798921,180.2,-52.15580452010789
56,Cedrick Wilson Jr.,WR,26,2021,127.2504270175798,147.8,-20.549572982420216
245,Albert Wilson,WR,29,2021,126.91204621810834,48.0,78.91204621810834
240,Breshad Perriman,WR,28,2021,125.86612194382224,33.4,92.46612194382223
244,Albert Wilson,WR,29,2021,125.63558602353646,48.0,77.63558602353646
72,Kalif Raymond,WR,27,2021,125.54019580114641,132.4,-6.859804198853595
136,DeSean Jackson,WR,35,2021,124.04568376088969,75.8,48.24568376088969
134,Michael Gallup,WR,25,2021,123.57330877761729,91.5,32.073308777617285
26,Marquise Brown,WR,24,2021,122.76021744413652,226.3,-103.5397825558635
58,Russell Gage,WR,25,2021,122.73805642591424,163.0,-40.26194357408576
57,Russell Gage,WR,25,2021,122.73805642591424,163.0,-40.26194357408576
119,Freddie Swain,WR,23,2021,122.00790635196199,86.5,35.50790635196199
120,Freddie Swain,WR,23,2021,120.14577379999628,86.5,33.64577379999628
117,Freddie Swain,WR,23,2021,120.14577379999628,86.5,33.64577379999628
144,Keelan Cole,WR,28,2021,120.05566444488181,78.9,41.15566444488181
65,Gabriel Davis,WR,22,2021,118.36287954547538,125.9,-7.537120454524626
79,Braxton Berrios,WR,26,2021,117.44210101760495,121.1,-3.6578989823950394
133,Michael Gallup,WR,25,2021,117.03776872147819,91.5,25.537768721478187
100,Jalen Guyton,WR,24,2021,115.43414802519897,97.2,18.234148025198962
239,Breshad Perriman,WR,28,2021,115.41498705466074,33.4,82.01498705466074
105,DeVante Parker,WR,28,2021,114.72932935211725,103.5,11.229329352117247
98,Nelson Agholor,WR,28,2021,113.84919006072028,103.4,10.44919006072027
121,Freddie Swain,WR,23,2021,113.6398721389753,86.5,27.139872138975306
238,Breshad Perriman,WR,28,2021,111.44298711735246,33.4,78.04298711735245
178,Damiere Byrd,WR,28,2021,111.43751582896357,64.9,46.53751582896356
118,Freddie Swain,WR,23,2021,111.06154645485458,86.5,24.56154645485458
44,Marvin Jones,WR,31,2021,110.30008334895024,180.2,-69.89991665104975
170,Darius Slayton,WR,24,2021,109.89224504663548,68.6,41.292245046635486
81,Cole Beasley,WR,32,2021,109.31549246086956,159.3,-49.98450753913045
135,Zach Pascal,WR,27,2021,109.16193402342401,94.5,14.66193402342401
45,Marvin Jones,WR,31,2021,108.86967804387746,180.2,-71.33032195612253
162,Mack Hollins,WR,28,2021,108.69832879670639,60.3,48.398328796706394
50,Allen Lazard,WR,26,2021,106.75648456670456,142.5,-35.74351543329544
101,DeVante Parker,WR,28,2021,106.38395142115291,103.5,2.883951421152915
163,Danny Amendola,WR,36,2021,105.88462825951342,68.8,37.08462825951342
64,Robert Woods,WR,29,2021,105.57245936041932,137.2,-31.627540639580673
141,Kenny Golladay,WR,28,2021,104.37345319221708,89.1,15.27345319221709
80,Braxton Berrios,WR,26,2021,103.06864027057054,121.1,-18.031359729429454
159,Mack Hollins,WR,28,2021,103.06353844910859,60.3,42.763538449108594
311,Shi Smith,WR,23,2021,101.98219881102978,16.1,85.88219881102978
39,Brandon Aiyuk,WR,23,2021,101.33497528524344,170.3,-68.96502471475657
309,Shi Smith,WR,23,2021,99.44329915206868,16.1,83.34329915206868
160,Mack Hollins,WR,28,2021,99.35879485607825,60.3,39.05879485607825
104,DeVante Parker,WR,28,2021,98.72744488350622,103.5,-4.772555116493777
130,Zay Jones,WR,26,2021,98.55489573570298,105.9,-7.345104264297021
63,Robert Woods,WR,29,2021,98.19171448012798,137.2,-39.008285519872004
51,Allen Lazard,WR,26,2021,97.87838467984716,142.5,-44.62161532015284
24,Amon-Ra St. Brown,WR,22,2021,97.80729095901347,227.3,-129.49270904098654
310,Shi Smith,WR,23,2021,97.5411740018817,16.1,81.4411740018817
66,Emmanuel Sanders,WR,34,2021,97.25156053918454,131.7,-34.44843946081545
169,Darius Slayton,WR,24,2021,96.78147146776632,68.6,28.18147146776633
103,DeVante Parker,WR,28,2021,96.51425803508869,103.5,-6.985741964911313
139,Kenny Golladay,WR,28,2021,96.4980563826798,89.1,7.398056382679812
179,Ashton Dulin,WR,24,2021,95.93033234302425,51.5,44.43033234302425
177,Calvin Ridley,WR,27,2021,95.43974720483288,71.1,24.33974720483289
237,Breshad Perriman,WR,28,2021,95.2597077021901,33.4,61.8597077021901
