,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Cooper Kupp,WR,28,2021,356.55999999999995,439.5,-82.94000000000005
4,Davante Adams,WR,29,2021,329.46000000000004,344.3,-14.839999999999975
2,Ja'Marr Chase,WR,21,2021,303.84,304.6,-0.7600000000000477
3,Justin Jefferson,WR,22,2021,300.0,330.4,-30.399999999999977
7,Stefon Diggs,WR,28,2021,278.64,285.5,-6.860000000000014
6,Tyreek Hill,WR,27,2021,273.26,296.5,-23.24000000000001
15,Keenan Allen,WR,29,2021,251.06,257.8,-6.740000000000009
10,Tyler Lockett,WR,29,2021,244.92,241.4,3.519999999999982
5,Mike Evans,WR,28,2021,243.45999999999998,262.5,-19.04000000000002
21,Jaylen Waddle,WR,23,2021,242.85999999999999,245.8,-2.940000000000026
48,DeAndre Hopkins,WR,29,2021,235.06000000000003,147.2,87.86000000000004
13,Hunter Renfrow,WR,26,2021,231.2,259.1,-27.900000000000034
9,D.K. Metcalf,WR,24,2021,230.0,244.3,-14.300000000000011
14,CeeDee Lamb,WR,22,2021,228.76,232.8,-4.0400000000000205
19,Chris Godwin,WR,25,2021,228.6,242.4,-13.800000000000011
18,D.J. Moore,WR,24,2021,224.46000000000004,237.5,-13.039999999999964
28,Amari Cooper,WR,27,2021,220.88000000000002,202.5,18.380000000000024
24,Amon-Ra St. Brown,WR,22,2021,218.28000000000003,227.3,-9.019999999999982
23,Darnell Mooney,WR,24,2021,215.0,219.7,-4.699999999999989
17,Tee Higgins,WR,22,2021,212.8,219.1,-6.299999999999983
11,Diontae Johnson,WR,25,2021,210.5,274.4,-63.89999999999998
29,Adam Thielen,WR,31,2021,208.68,199.8,8.879999999999995
35,A.J. Brown,WR,24,2021,206.66,180.9,25.75999999999999
38,Tyler Boyd,WR,27,2021,206.23999999999995,183.8,22.43999999999994
1,Deebo Samuel,WR,25,2021,204.0,339.0,-135.0
12,Hunter Renfrow,WR,26,2021,203.64000000000001,259.1,-55.46000000000001
8,Mike Williams,WR,27,2021,202.18,246.6,-44.41999999999999
20,Chris Godwin,WR,25,2021,200.66000000000003,242.4,-41.73999999999998
25,Terry McLaurin,WR,26,2021,200.42,213.5,-13.080000000000013
43,Chase Claypool,WR,23,2021,196.8,166.6,30.200000000000017
64,Robert Woods,WR,29,2021,193.82,137.2,56.620000000000005
63,Robert Woods,WR,29,2021,192.76,137.2,55.56
26,Marquise Brown,WR,24,2021,191.54000000000002,226.3,-34.75999999999999
121,Freddie Swain,WR,23,2021,188.61999999999998,86.5,102.11999999999998
30,Christian Kirk,WR,25,2021,188.45999999999998,207.6,-19.140000000000015
22,Brandin Cooks,WR,28,2021,187.04000000000002,231.8,-44.75999999999999
42,Chase Claypool,WR,23,2021,184.56,166.6,17.960000000000008
44,Marvin Jones,WR,31,2021,183.84,180.2,3.640000000000015
34,DeVonta Smith,WR,23,2021,183.8,185.6,-1.799999999999983
58,Russell Gage,WR,25,2021,182.92,163.0,19.919999999999987
57,Russell Gage,WR,25,2021,182.92,163.0,19.919999999999987
81,Cole Beasley,WR,32,2021,179.48,159.3,20.17999999999998
246,Albert Wilson,WR,29,2021,179.02,48.0,131.02
245,Albert Wilson,WR,29,2021,179.02,48.0,131.02
39,Brandon Aiyuk,WR,23,2021,176.26,170.3,5.9599999999999795
75,Jarvis Landry,WR,29,2021,175.48,133.0,42.47999999999999
68,Robby Anderson,WR,28,2021,174.14,138.5,35.639999999999986
67,Robby Anderson,WR,28,2021,173.84,138.5,35.34
33,DeVonta Smith,WR,23,2021,173.5,185.6,-12.099999999999994
45,Marvin Jones,WR,31,2021,172.54000000000002,180.2,-7.659999999999968
46,Marvin Jones,WR,31,2021,171.14000000000001,180.2,-9.059999999999974
126,Allen Robinson,WR,28,2021,169.58,87.0,82.58000000000001
41,K.J. Osborn,WR,24,2021,169.26,158.5,10.759999999999991
128,Allen Robinson,WR,28,2021,168.82,87.0,81.82
74,Jarvis Landry,WR,29,2021,168.76,133.0,35.75999999999999
76,Jarvis Landry,WR,29,2021,167.24,133.0,34.24000000000001
27,Marquise Brown,WR,24,2021,167.06,226.3,-59.24000000000001
119,Freddie Swain,WR,23,2021,167.0,86.5,80.5
127,Allen Robinson,WR,28,2021,164.54000000000002,87.0,77.54000000000002
37,Van Jefferson,WR,25,2021,162.85999999999999,168.2,-5.340000000000003
36,Van Jefferson,WR,25,2021,162.85999999999999,168.2,-5.340000000000003
31,Kendrick Bourne,WR,26,2021,162.66,180.5,-17.840000000000003
40,K.J. Osborn,WR,24,2021,160.78,158.5,2.280000000000001
32,Kendrick Bourne,WR,26,2021,158.35999999999999,180.5,-22.140000000000015
118,Freddie Swain,WR,23,2021,153.48,86.5,66.97999999999999
47,Marquez Callaway,WR,23,2021,151.7,151.8,-0.10000000000002274
66,Emmanuel Sanders,WR,34,2021,146.06,131.7,14.360000000000014
59,Elijah Moore,WR,21,2021,145.94,138.2,7.740000000000009
95,Corey Davis,WR,26,2021,145.68,105.2,40.480000000000004
117,Freddie Swain,WR,23,2021,145.4,86.5,58.900000000000006
120,Freddie Swain,WR,23,2021,145.4,86.5,58.900000000000006
141,Kenny Golladay,WR,28,2021,141.56,89.1,52.46000000000001
60,Elijah Moore,WR,21,2021,141.34,138.2,3.140000000000015
49,A.J. Green,WR,33,2021,137.8,156.8,-19.0
136,DeSean Jackson,WR,35,2021,134.78000000000003,75.8,58.98000000000003
16,Michael Pittman Jr.,WR,24,2021,131.38,238.6,-107.22
65,Gabriel Davis,WR,22,2021,130.3,125.9,4.400000000000006
86,Jamison Crowder,WR,28,2021,129.2,109.7,19.499999999999986
99,Randall Cobb,WR,31,2021,129.18,93.6,35.58000000000001
111,Laviska Shenault Jr.,WR,23,2021,128.33999999999997,127.0,1.339999999999975
73,Mecole Hardman,WR,23,2021,127.7,140.9,-13.200000000000003
238,Breshad Perriman,WR,28,2021,126.8,33.4,93.4
88,Jamison Crowder,WR,28,2021,125.75999999999999,109.7,16.059999999999988
54,Tim Patrick,WR,28,2021,123.17999999999999,156.4,-33.22000000000001
55,Tim Patrick,WR,28,2021,123.17999999999999,156.4,-33.22000000000001
87,Jamison Crowder,WR,28,2021,122.12,109.7,12.420000000000002
240,Breshad Perriman,WR,28,2021,121.81999999999998,33.4,88.41999999999999
244,Albert Wilson,WR,29,2021,120.14000000000001,48.0,72.14000000000001
134,Michael Gallup,WR,25,2021,119.17999999999999,91.5,27.679999999999993
