,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Davante Adams,WR,29.0,2021,194.18214218891558,344.3,-150.11785781108443
41,DeAndre Hopkins,WR,29.0,2021,171.4851660460722,147.2,24.28516604607222
5,Tyreek Hill,WR,27.0,2021,163.5275413359327,296.5,-132.9724586640673
130,Julio Jones,WR,32.0,2021,156.5092187497089,80.4,76.1092187497089
6,Stefon Diggs,WR,28.0,2021,152.00739444489932,285.5,-133.49260555510068
26,Adam Thielen,WR,31.0,2021,151.62833945573038,199.8,-48.17166054426963
55,Robert Woods,WR,29.0,2021,150.438356755001,137.2,13.238356755001007
9,Tyler Lockett,WR,29.0,2021,149.7818580584742,241.4,-91.6181419415258
54,Robert Woods,WR,29.0,2021,148.260062347828,137.2,11.060062347828023
8,D.K. Metcalf,WR,24.0,2021,141.5805628766193,244.3,-102.71943712338071
131,Julio Jones,WR,32.0,2021,141.1014751269023,80.4,60.701475126902295
30,A.J. Brown,WR,24.0,2021,139.25041063069466,180.9,-41.649589369305346
19,Chris Godwin,WR,25.0,2021,135.99489469774267,242.4,-106.40510530225734
123,Kenny Golladay,WR,28.0,2021,132.24359584862873,89.1,43.143595848628735
4,Mike Evans,WR,28.0,2021,130.46329159517154,262.5,-132.03670840482846
2,Justin Jefferson,WR,22.0,2021,130.22093008515344,330.4,-200.17906991484654
14,Keenan Allen,WR,29.0,2021,128.76619302633503,257.8,-129.03380697366498
33,Tyler Boyd,WR,27.0,2021,128.56175679939338,183.8,-55.23824320060663
219,JuJu Smith-Schuster,WR,25.0,2021,127.20171610003376,34.8,92.40171610003377
18,Chris Godwin,WR,25.0,2021,125.28962640967416,242.4,-117.11037359032585
153,Calvin Ridley,WR,27.0,2021,124.54428528594826,71.1,53.44428528594827
122,Kenny Golladay,WR,28.0,2021,121.17111053391523,89.1,32.07111053391523
65,Jarvis Landry,WR,29.0,2021,118.56290283840349,133.0,-14.437097161596512
0,Cooper Kupp,WR,28.0,2021,118.53045437977994,439.5,-320.96954562022006
72,Cole Beasley,WR,32.0,2021,118.34298852550478,159.3,-40.95701147449523
25,Amari Cooper,WR,27.0,2021,118.2006685045119,202.5,-84.2993314954881
121,Kenny Golladay,WR,28.0,2021,116.9481883287217,89.1,27.848188328721704
35,Chase Claypool,WR,23.0,2021,115.39202258999012,166.6,-51.207977410009875
67,Jarvis Landry,WR,29.0,2021,114.93086558530945,133.0,-18.069134414690552
59,Robby Anderson,WR,28.0,2021,112.88039740508202,138.5,-25.61960259491798
111,Allen Robinson,WR,28.0,2021,112.46088404145416,87.0,25.460884041454165
69,Antonio Brown,WR,33.0,2021,111.50456347575823,121.1,-9.595436524241762
68,Antonio Brown,WR,33.0,2021,111.26029384113644,121.1,-9.83970615886355
127,T.Y. Hilton,WR,32.0,2021,110.85553131696565,74.1,36.75553131696566
110,Allen Robinson,WR,28.0,2021,109.50254789453425,87.0,22.502547894534246
36,Chase Claypool,WR,23.0,2021,107.56381664412334,166.6,-59.03618335587666
66,Jarvis Landry,WR,29.0,2021,107.5379865870982,133.0,-25.462013412901797
128,T.Y. Hilton,WR,32.0,2021,106.64664685603634,74.1,32.54664685603635
13,CeeDee Lamb,WR,22.0,2021,106.35484177798912,232.8,-126.44515822201089
10,Diontae Johnson,WR,25.0,2021,106.12654667639549,274.4,-168.27345332360449
112,Allen Robinson,WR,28.0,2021,106.0744994968511,87.0,19.074499496851104
22,Terry McLaurin,WR,26.0,2021,106.04400015024657,213.5,-107.45599984975343
94,DeVante Parker,WR,28.0,2021,105.93666665808951,103.5,2.436666658089507
39,Marvin Jones,WR,31.0,2021,105.77862324812895,180.2,-74.42137675187104
