,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
77,Antonio Brown,WR,33,2021,293.74700000000007,121.1,172.64700000000008
240,Breshad Perriman,WR,28,2021,289.26400000000007,33.4,255.86400000000006
4,Davante Adams,WR,29,2021,283.96400000000006,344.3,-60.335999999999956
48,DeAndre Hopkins,WR,29,2021,236.80799999999996,147.2,89.60799999999998
0,Cooper Kupp,WR,28,2021,229.341,439.5,-210.159
5,Mike Evans,WR,28,2021,228.65099999999993,262.5,-33.849000000000075
152,Julio Jones,WR,32,2021,227.12899999999993,80.4,146.72899999999993
6,Tyreek Hill,WR,27,2021,220.74099999999987,296.5,-75.75900000000013
191,Chris Moore,WR,28,2021,214.07600000000002,55.7,158.37600000000003
71,Kalif Raymond,WR,27,2021,213.565,132.4,81.16499999999999
192,Chris Moore,WR,28,2021,205.6409999999999,55.7,149.94099999999992
35,A.J. Brown,WR,24,2021,201.7580000000001,180.9,20.85800000000009
9,D.K. Metcalf,WR,24,2021,200.67100000000002,244.3,-43.62899999999999
38,Tyler Boyd,WR,27,2021,195.56199999999993,183.8,11.761999999999915
13,Hunter Renfrow,WR,26,2021,192.28200000000004,259.1,-66.81799999999998
78,Antonio Brown,WR,33,2021,190.07300000000015,121.1,68.97300000000016
85,Donovan Peoples-Jones,WR,22,2021,186.77199999999993,109.7,77.07199999999993
178,Damiere Byrd,WR,28,2021,186.49699999999996,64.9,121.59699999999995
42,Chase Claypool,WR,23,2021,186.00900000000001,166.6,19.40900000000002
22,Brandin Cooks,WR,28,2021,185.29399999999995,231.8,-46.50600000000006
203,Cam Sims,WR,25,2021,185.1410000000001,48.8,136.34100000000012
153,Julio Jones,WR,32,2021,185.10599999999988,80.4,104.70599999999988
12,Hunter Renfrow,WR,26,2021,184.86900000000009,259.1,-74.23099999999994
72,Kalif Raymond,WR,27,2021,183.46700000000004,132.4,51.067000000000036
94,Quez Watkins,WR,23,2021,182.91500000000005,116.0,66.91500000000005
149,T.Y. Hilton,WR,32,2021,182.562,74.1,108.46200000000002
10,Tyler Lockett,WR,29,2021,181.75999999999996,241.4,-59.64000000000004
20,Chris Godwin,WR,25,2021,181.31400000000005,242.4,-61.085999999999956
7,Stefon Diggs,WR,28,2021,180.94299999999998,285.5,-104.55700000000002
56,Cedrick Wilson Jr.,WR,26,2021,179.83699999999993,147.8,32.03699999999992
111,Laviska Shenault Jr.,WR,23,2021,179.4270000000001,127.0,52.427000000000106
30,Christian Kirk,WR,25,2021,176.77800000000002,207.6,-30.821999999999974
46,Marvin Jones,WR,31,2021,175.4829999999999,180.2,-4.717000000000098
93,Quez Watkins,WR,23,2021,175.0030000000001,116.0,59.0030000000001
19,Chris Godwin,WR,25,2021,174.58500000000006,242.4,-67.81499999999994
15,Keenan Allen,WR,29,2021,174.52699999999996,257.8,-83.27300000000005
239,Breshad Perriman,WR,28,2021,173.3889999999999,33.4,139.9889999999999
1,Deebo Samuel,WR,25,2021,172.5959999999999,339.0,-166.4040000000001
2,Ja'Marr Chase,WR,21,2021,171.90199999999996,304.6,-132.69800000000006
119,Freddie Swain,WR,23,2021,171.63299999999992,86.5,85.13299999999992
8,Mike Williams,WR,27,2021,171.556,246.6,-75.04399999999998
99,Randall Cobb,WR,31,2021,171.03199999999993,93.6,77.43199999999993
244,Albert Wilson,WR,29,2021,169.79699999999994,48.0,121.79699999999994
150,T.Y. Hilton,WR,32,2021,168.8809999999999,74.1,94.78099999999989
121,Freddie Swain,WR,23,2021,168.14600000000007,86.5,81.64600000000007
82,Deonte Harris,WR,24,2021,168.127,113.1,55.027000000000015
61,Courtland Sutton,WR,26,2021,165.77,150.2,15.570000000000022
237,Breshad Perriman,WR,28,2021,164.42399999999995,33.4,131.02399999999994
32,Kendrick Bourne,WR,26,2021,163.30899999999997,180.5,-17.19100000000003
246,Albert Wilson,WR,29,2021,163.02899999999997,48.0,115.02899999999997
29,Adam Thielen,WR,31,2021,161.53199999999993,199.8,-38.268000000000086
310,Shi Smith,WR,23,2021,161.06700000000012,16.1,144.96700000000013
59,Elijah Moore,WR,21,2021,157.18199999999996,138.2,18.98199999999997
118,Freddie Swain,WR,23,2021,155.624,86.5,69.124
120,Freddie Swain,WR,23,2021,155.44099999999997,86.5,68.94099999999997
117,Freddie Swain,WR,23,2021,155.44099999999997,86.5,68.94099999999997
18,D.J. Moore,WR,24,2021,155.33000000000007,237.5,-82.16999999999993
3,Justin Jefferson,WR,22,2021,155.01600000000002,330.4,-175.38399999999996
210,Brandon Zylstra,WR,28,2021,154.514,49.0,105.51400000000001
