,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Davante Adams,WR,29.0,2021,194.01814647262972,344.3,-150.2818535273703
41,DeAndre Hopkins,WR,29.0,2021,171.16625092498373,147.2,23.96625092498374
5,Tyreek Hill,WR,27.0,2021,163.57138137962374,296.5,-132.92861862037626
130,Julio Jones,WR,32.0,2021,156.46998271795724,80.4,76.06998271795723
6,Stefon Diggs,WR,28.0,2021,151.99864734717062,285.5,-133.50135265282938
26,Adam Thielen,WR,31.0,2021,151.65522829968108,199.8,-48.14477170031893
55,Robert Woods,WR,29.0,2021,150.3650819428466,137.2,13.165081942846598
9,Tyler Lockett,WR,29.0,2021,149.89415032803709,241.4,-91.50584967196292
54,Robert Woods,WR,29.0,2021,147.99640821710796,137.2,10.796408217107967
131,Julio Jones,WR,32.0,2021,141.30639182754112,80.4,60.906391827541114
8,D.K. Metcalf,WR,24.0,2021,141.2637757212376,244.3,-103.0362242787624
30,A.J. Brown,WR,24.0,2021,138.95812134782386,180.9,-41.94187865217614
19,Chris Godwin,WR,25.0,2021,136.08426707331512,242.4,-106.31573292668489
123,Kenny Golladay,WR,28.0,2021,132.10641040968517,89.1,43.006410409685174
4,Mike Evans,WR,28.0,2021,130.61411962949114,262.5,-131.88588037050886
2,Justin Jefferson,WR,22.0,2021,130.27153489583156,330.4,-200.1284651041684
14,Keenan Allen,WR,29.0,2021,128.8935170554023,257.8,-128.9064829445977
33,Tyler Boyd,WR,27.0,2021,128.52417843971807,183.8,-55.27582156028194
219,JuJu Smith-Schuster,WR,25.0,2021,127.06983143554544,34.8,92.26983143554544
18,Chris Godwin,WR,25.0,2021,125.45046295665111,242.4,-116.9495370433489
153,Calvin Ridley,WR,27.0,2021,124.54723908972505,71.1,53.44723908972506
122,Kenny Golladay,WR,28.0,2021,121.18815856517767,89.1,32.08815856517768
0,Cooper Kupp,WR,28.0,2021,118.77145837385115,439.5,-320.72854162614885
25,Amari Cooper,WR,27.0,2021,118.41766716624647,202.5,-84.08233283375353
72,Cole Beasley,WR,32.0,2021,118.39938355307845,159.3,-40.90061644692156
65,Jarvis Landry,WR,29.0,2021,118.36720397956765,133.0,-14.632796020432352
121,Kenny Golladay,WR,28.0,2021,117.21133561343777,89.1,28.111335613437774
35,Chase Claypool,WR,23.0,2021,115.4195900614468,166.6,-51.1804099385532
67,Jarvis Landry,WR,29.0,2021,114.871615119858,133.0,-18.128384880141994
111,Allen Robinson,WR,28.0,2021,112.67049630394149,87.0,25.67049630394149
59,Robby Anderson,WR,28.0,2021,112.66802630732218,138.5,-25.83197369267782
69,Antonio Brown,WR,33.0,2021,111.25603918950355,121.1,-9.84396081049644
68,Antonio Brown,WR,33.0,2021,111.24621111122701,121.1,-9.853788888772982
127,T.Y. Hilton,WR,32.0,2021,110.71559181847874,74.1,36.61559181847875
110,Allen Robinson,WR,28.0,2021,109.82889145763352,87.0,22.828891457633517
36,Chase Claypool,WR,23.0,2021,107.70728053682387,166.6,-58.89271946317612
66,Jarvis Landry,WR,29.0,2021,107.60831210285028,133.0,-25.391687897149723
128,T.Y. Hilton,WR,32.0,2021,106.73128580189928,74.1,32.63128580189928
13,CeeDee Lamb,WR,22.0,2021,106.52791198051568,232.8,-126.27208801948433
112,Allen Robinson,WR,28.0,2021,106.18276719170626,87.0,19.18276719170626
22,Terry McLaurin,WR,26.0,2021,106.0181457407009,213.5,-107.4818542592991
39,Marvin Jones,WR,31.0,2021,105.87131402631962,180.2,-74.32868597368036
10,Diontae Johnson,WR,25.0,2021,105.77067563686182,274.4,-168.62932436313815
94,DeVante Parker,WR,28.0,2021,105.75048162521034,103.5,2.250481625210341
20,Brandin Cooks,WR,28.0,2021,102.31120243589976,231.8,-129.48879756410025
1,Deebo Samuel,WR,25.0,2021,101.22933979292793,339.0,-237.77066020707207
58,Robby Anderson,WR,28.0,2021,101.11477552217411,138.5,-37.385224477825886
194,Greg Ward,WR,26.0,2021,100.9557543525982,34.6,66.35575435259821
78,Jamison Crowder,WR,28.0,2021,98.07268500929194,109.7,-11.627314990708058
27,Christian Kirk,WR,25.0,2021,96.05257355244453,207.6,-111.54742644755547
38,Marvin Jones,WR,31.0,2021,95.43366468293266,180.2,-84.76633531706733
116,Michael Gallup,WR,25.0,2021,94.54876439620261,91.5,3.048764396202614
149,Sterling Shepard,WR,28.0,2021,94.19700366923712,77.7,16.497003669237117
93,DeVante Parker,WR,28.0,2021,93.92383913900198,103.5,-9.576160860998016
79,Jamison Crowder,WR,28.0,2021,93.19071026175106,109.7,-16.50928973824894
90,DeVante Parker,WR,28.0,2021,92.83049761560324,103.5,-10.669502384396765
95,Laviska Shenault Jr.,WR,23.0,2021,92.68093648484864,127.0,-34.319063515151356
311,Curtis Samuel,WR,25.0,2021,92.66576862500665,9.8,82.86576862500665
60,Odell Beckham Jr.,WR,29.0,2021,91.81139604464511,129.1,-37.28860395535489
16,Tee Higgins,WR,22.0,2021,91.55350893323407,219.1,-127.54649106676592
222,Mohamed Sanu,WR,32.0,2021,90.31713385270905,32.7,57.617133852709046
115,Michael Gallup,WR,25.0,2021,89.49499968284908,91.5,-2.005000317150916
84,Corey Davis,WR,26.0,2021,89.26825919454473,105.2,-15.931740805455277
310,Curtis Samuel,WR,25.0,2021,89.10946296145448,9.8,79.30946296145449
91,DeVante Parker,WR,28.0,2021,87.71769730598953,103.5,-15.782302694010468
12,Hunter Renfrow,WR,26.0,2021,87.59976650726117,259.1,-171.50023349273886
37,Marvin Jones,WR,31.0,2021,87.07863755994094,180.2,-93.12136244005904
17,D.J. Moore,WR,24.0,2021,87.01171061884702,237.5,-150.48828938115298
92,DeVante Parker,WR,28.0,2021,86.94894076146602,103.5,-16.55105923853398
24,Marquise Brown,WR,24.0,2021,86.85495126131309,226.3,-139.44504873868692
88,Randall Cobb,WR,31.0,2021,86.53045489168039,93.6,-7.069545108319602
57,Emmanuel Sanders,WR,34.0,2021,84.98986628863145,131.7,-46.71013371136854
77,Jamison Crowder,WR,28.0,2021,84.87607797261444,109.7,-24.823922027385564
199,DJ Chark,WR,25.0,2021,84.68249450311009,34.4,50.282494503110094
405,Tyrell Williams,WR,29.0,2021,84.34033665510105,3.4,80.94033665510105
292,Will Fuller,WR,27.0,2021,83.52698508967205,8.6,74.92698508967206
224,Mohamed Sanu,WR,32.0,2021,82.84748335083486,32.7,50.14748335083486
56,Gabriel Davis,WR,22.0,2021,82.66132160117218,125.9,-43.23867839882783
87,Nelson Agholor,WR,28.0,2021,80.96815564014719,103.4,-22.431844359852818
293,Will Fuller,WR,27.0,2021,80.95673095608686,8.6,72.35673095608686
168,Chester Rogers,WR,27.0,2021,80.1922360855499,65.0,15.192236085549894
223,Mohamed Sanu,WR,32.0,2021,79.71513363578333,32.7,47.01513363578333
34,Brandon Aiyuk,WR,23.0,2021,79.05520536770177,170.3,-91.24479463229824
139,Danny Amendola,WR,36.0,2021,78.81144345843813,68.8,10.011443458438137
147,Sammy Watkins,WR,28.0,2021,77.95869780546559,70.4,7.5586978054655845
269,Anthony Miller,WR,27.0,2021,76.76821424721629,14.5,62.26821424721629
211,Albert Wilson,WR,29.0,2021,75.70327708690888,48.0,27.703277086908884
407,Tyrell Williams,WR,29.0,2021,75.5466696868341,3.4,72.14666968683409
406,Tyrell Williams,WR,29.0,2021,75.35647757555603,3.4,71.95647757555602
402,Tyrell Williams,WR,29.0,2021,75.35647757555603,3.4,71.95647757555602
408,Tyrell Williams,WR,29.0,2021,75.35647757555603,3.4,71.95647757555602
403,Tyrell Williams,WR,29.0,2021,75.35647757555603,3.4,71.95647757555602
404,Tyrell Williams,WR,29.0,2021,75.35647757555603,3.4,71.95647757555602
117,Zach Pascal,WR,27.0,2021,75.2550931412884,94.5,-19.2449068587116
167,Chester Rogers,WR,27.0,2021,74.9346900959224,65.0,9.934690095922406
42,A.J. Green,WR,33.0,2021,74.37036857800013,156.8,-82.42963142199989
198,DJ Chark,WR,25.0,2021,74.3533828029681,34.4,39.9533828029681
206,Breshad Perriman,WR,28.0,2021,72.65671107095409,33.4,39.25671107095409
146,Darius Slayton,WR,24.0,2021,72.0865477147031,68.6,3.486547714703107
294,Will Fuller,WR,27.0,2021,72.00969834676766,8.6,63.40969834676766
64,Mecole Hardman,WR,23.0,2021,71.69627861821778,140.9,-69.20372138178223
156,Adam Humphries,WR,28.0,2021,71.05380610305451,79.3,-8.246193896945485
205,Breshad Perriman,WR,28.0,2021,71.01635003539946,33.4,37.616350035399456
53,Courtland Sutton,WR,26.0,2021,70.44333437936803,150.2,-79.75666562063196
409,Tyrell Williams,WR,29.0,2021,70.4060545019397,3.4,67.0060545019397
