,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
315,Russell Wilson,QB,29,2017,316.6250000000002,347.9,-31.27499999999975
319,Carson Wentz,QB,25,2017,301.3260000000002,281.7,19.626000000000204
318,Alex Smith,QB,33,2017,297.8440000000003,295.2,2.6440000000002897
317,Tom Brady,QB,40,2017,291.11900000000037,295.9,-4.780999999999608
331,Jared Goff,QB,23,2017,273.00999999999976,255.3,17.709999999999752
324,Matthew Stafford,QB,29,2017,270.54799999999966,273.6,-3.052000000000362
327,Ben Roethlisberger,QB,35,2017,270.27300000000037,260.7,9.573000000000377
320,Kirk Cousins,QB,29,2017,270.0499999999998,277.6,-7.550000000000239
321,Kirk Cousins,QB,29,2017,267.2449999999997,277.6,-10.355000000000302
328,Ben Roethlisberger,QB,35,2017,267.02100000000024,260.7,6.321000000000254
316,Cam Newton,QB,28,2017,266.5339999999999,299.5,-32.96600000000012
332,Blake Bortles,QB,25,2017,251.28100000000032,249.7,1.58100000000033
329,Dak Prescott,QB,24,2017,251.0590000000003,260.7,-9.640999999999678
325,Philip Rivers,QB,36,2017,248.61600000000016,270.4,-21.78399999999982
330,Dak Prescott,QB,24,2017,244.07200000000034,260.7,-16.627999999999645
333,Case Keenum,QB,29,2017,240.5170000000002,237.9,2.617000000000189
334,Matt Ryan,QB,32,2017,240.21299999999974,228.1,12.112999999999744
335,Matt Ryan,QB,32,2017,232.2389999999998,228.1,4.138999999999811
342,Derek Carr,QB,26,2017,223.57300000000015,206.4,17.173000000000144
344,Jameis Winston,QB,23,2017,220.67600000000022,201.7,18.976000000000226
339,Andy Dalton,QB,30,2017,206.43700000000032,210.7,-4.262999999999664
343,Josh McCown,QB,38,2017,203.55100000000004,205.4,-1.8489999999999611
326,Drew Brees,QB,38,2017,192.26199999999997,262.6,-70.33800000000005
348,Deshaun Watson,QB,22,2017,185.172,168.9,16.27199999999999
338,Tyrod Taylor,QB,28,2017,182.43900000000022,222.7,-40.26099999999977
341,Jacoby Brissett,QB,25,2017,182.00699999999998,205.9,-23.89300000000003
351,Aaron Rodgers,QB,34,2017,180.19799999999995,129.6,50.597999999999956
346,Joe Flacco,QB,32,2017,176.35800000000003,185.0,-8.641999999999967
340,Marcus Mariota,QB,24,2017,174.8560000000001,210.5,-35.64399999999989
345,Eli Manning,QB,36,2017,170.0899999999998,187.3,-17.210000000000207
350,Mitchell Trubisky,QB,23,2017,145.829,134.5,11.329000000000008
349,Jay Cutler,QB,34,2017,145.49399999999986,157.8,-12.306000000000154
355,C.J. Beathard,QB,24,2017,113.57799999999992,88.8,24.77799999999992
353,Brett Hundley,QB,24,2017,108.54299999999986,124.4,-15.857000000000141
354,Carson Palmer,QB,38,2017,103.7619999999999,102.3,1.4619999999999038
356,Jimmy Garoppolo,QB,26,2017,99.03399999999989,87.9,11.133999999999887
357,Ryan Fitzpatrick,QB,35,2017,92.72399999999988,73.9,18.82399999999987
352,Trevor Siemian,QB,26,2017,91.81000000000012,126.1,-34.28999999999988
358,Brock Osweiler,QB,27,2017,90.8239999999999,67.9,22.923999999999893
347,DeShone Kizer,QB,21,2017,76.76799999999999,175.7,-98.932
360,Brian Hoyer,QB,32,2017,64.93599999999994,63.9,1.0359999999999374
359,Brian Hoyer,QB,32,2017,63.9729999999999,63.9,0.07299999999990092
363,Blaine Gabbert,QB,28,2017,57.75200000000002,61.6,-3.8479999999999848
364,Tom Savage,QB,27,2017,51.98299999999992,50.7,1.282999999999916
365,Drew Stanton,QB,33,2017,45.81500000000001,50.5,-4.684999999999988
69,Matt Moore,QB,33,2017,44.97100000000007,41.3,3.6710000000000704
68,Matt Moore,QB,33,2017,42.758000000000045,41.3,1.4580000000000481
373,David Fales,QB,27,2017,36.60099999999999,19.4,17.200999999999993
73,Mike Glennon,QB,28,2017,33.23099999999996,33.7,-0.4690000000000438
368,Kevin Hogan,QB,25,2017,32.63300000000004,33.8,-1.166999999999959
372,Bryce Petty,QB,26,2017,32.367000000000004,25.3,7.067000000000004
367,Nick Foles,QB,28,2017,31.557000000000027,33.8,-2.24299999999997
366,Nick Foles,QB,28,2017,31.104000000000042,33.8,-2.6959999999999553
249,Landry Jones,QB,28,2017,30.20299999999997,8.6,21.602999999999973
371,Sam Bradford,QB,30,2017,29.563,27.0,2.562999999999999
72,Mike Glennon,QB,28,2017,29.418999999999983,33.7,-4.28100000000002
369,Kevin Hogan,QB,25,2017,26.94000000000001,33.8,-6.859999999999989
370,T.J. Yates,QB,30,2017,24.838999999999995,34.0,-9.161000000000005
383,Geno Smith,QB,27,2017,23.505000000000006,9.7,13.805000000000007
250,Landry Jones,QB,28,2017,22.67099999999999,8.6,14.070999999999989
376,EJ Manuel,QB,27,2017,19.968999999999983,14.1,5.868999999999984
384,Geno Smith,QB,27,2017,14.800000000000027,9.7,5.100000000000028
375,Paxton Lynch,QB,23,2017,14.072999999999984,14.8,-0.7270000000000163
374,Paxton Lynch,QB,23,2017,13.214999999999982,14.8,-1.5850000000000186
378,Nathan Peterman,QB,23,2017,12.800000000000004,10.4,2.400000000000004
377,Nathan Peterman,QB,23,2017,10.877999999999993,10.4,0.47799999999999265
379,Nathan Peterman,QB,23,2017,10.13624999999999,10.4,-0.2637500000000106
387,Matt Cassel,QB,35,2017,6.844999999999995,2.5,4.344999999999995
