,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
425,Matt Moore,QB,32,2016,110.73100000000008,54.7,56.03100000000008
417,Brian Hoyer,QB,31,2016,130.66600000000014,79.6,51.066000000000145
434,Derek Anderson,QB,33,2016,65.72099999999999,16.5,49.22099999999999
251,Connor Cook,QB,23,2016,34.213,6.0,28.213
399,Tom Brady,QB,39,2016,286.0509999999997,258.6,27.45099999999968
432,Nick Foles,QB,27,2016,55.026,28.0,27.026000000000003
419,Blaine Gabbert,QB,27,2016,98.15199999999997,73.7,24.45199999999997
412,Trevor Siemian,QB,25,2016,215.20100000000002,191.7,23.501000000000033
435,Matt Cassel,QB,34,2016,30.322000000000003,15.7,14.622000000000003
398,Marcus Mariota,QB,23,2016,274.29200000000026,259.9,14.39200000000028
416,Case Keenum,QB,28,2016,125.47800000000001,111.1,14.378000000000014
418,Cody Kessler,QB,23,2016,91.31700000000001,77.0,14.317000000000007
430,Landry Jones,QB,27,2016,47.89866666666669,33.9,13.998666666666693
428,Jay Cutler,QB,33,2016,57.80900000000007,46.8,11.009000000000071
427,Josh McCown,QB,37,2016,61.97400000000004,52.1,9.874000000000038
403,Ben Roethlisberger,QB,34,2016,258.95600000000036,252.2,6.75600000000037
252,Connor Cook,QB,23,2016,12.230000000000002,6.0,6.230000000000002
413,Ryan Tannehill,QB,28,2016,194.51900000000026,190.2,4.319000000000273
433,Paxton Lynch,QB,22,2016,31.47800000000003,28.4,3.0780000000000314
438,Charlie Whitehurst,QB,34,2016,11.767999999999995,9.4,2.367999999999995
392,Dak Prescott,QB,23,2016,289.1260000000004,286.9,2.226000000000397
436,Drew Stanton,QB,32,2016,11.533999999999992,9.4,2.1339999999999915
429,Jimmy Garoppolo,QB,25,2016,37.668,36.0,1.6679999999999993
253,Connor Cook,QB,23,2016,7.5299999999999985,6.0,1.5299999999999985
254,Connor Cook,QB,23,2016,7.473,6.0,1.4729999999999999
439,Charlie Whitehurst,QB,34,2016,10.52999999999999,9.4,1.1299999999999901
437,Drew Stanton,QB,32,2016,10.220999999999988,9.4,0.8209999999999873
408,Colin Kaepernick,QB,29,2016,200.496,200.4,0.09600000000000364
203,Alex Smith,QB,32,2016,224.41599999999974,224.8,-0.38400000000027035
431,Bryce Petty,QB,25,2016,31.52400000000002,32.3,-0.7759999999999785
426,Jared Goff,QB,22,2016,51.18399999999995,53.2,-2.016000000000055
204,Alex Smith,QB,32,2016,221.8459999999997,224.8,-2.9540000000003204
397,Russell Wilson,QB,28,2016,266.44299999999976,270.1,-3.6570000000002665
422,Robert Griffin III,QB,26,2016,61.87299999999995,66.4,-4.527000000000058
421,Robert Griffin III,QB,26,2016,61.65299999999995,66.4,-4.747000000000057
396,Derek Carr,QB,25,2016,263.334,268.5,-5.165999999999997
409,Colin Kaepernick,QB,29,2016,195.04600000000002,200.4,-5.353999999999985
12,Kirk Cousins,QB,28,2016,294.7389999999996,300.3,-5.561000000000433
13,Kirk Cousins,QB,28,2016,294.7389999999996,300.3,-5.561000000000433
406,Sam Bradford,QB,29,2016,213.64600000000016,221.9,-8.253999999999849
123,Andy Dalton,QB,29,2016,251.34899999999968,260.6,-9.251000000000346
391,Andrew Luck,QB,27,2016,297.1370000000003,307.7,-10.562999999999704
124,Andy Dalton,QB,29,2016,249.6469999999997,260.6,-10.953000000000316
400,Philip Rivers,QB,35,2016,247.70600000000022,258.9,-11.193999999999761
420,Matt Barkley,QB,26,2016,59.81100000000009,71.8,-11.988999999999905
404,Carson Palmer,QB,37,2016,229.15399999999983,243.1,-13.946000000000168
394,Tyrod Taylor,QB,27,2016,255.8930000000002,270.9,-15.006999999999778
407,Carson Wentz,QB,24,2016,197.68199999999993,214.0,-16.31800000000007
402,Cam Newton,QB,27,2016,237.3899999999998,254.3,-16.910000000000224
208,Eli Manning,QB,35,2016,201.02000000000027,224.2,-23.179999999999723
393,Matthew Stafford,QB,28,2016,255.35999999999996,279.8,-24.440000000000055
388,Aaron Rodgers,QB,33,2016,355.18300000000005,380.0,-24.81699999999995
415,Ryan Fitzpatrick,QB,34,2016,107.56299999999989,133.4,-25.837000000000117
390,Drew Brees,QB,37,2016,299.23700000000025,332.3,-33.06299999999976
389,Matt Ryan,QB,31,2016,311.32,347.5,-36.18000000000001
414,Brock Osweiler,QB,26,2016,132.181,169.0,-36.81899999999999
207,Eli Manning,QB,35,2016,178.54200000000014,224.2,-45.657999999999845
405,Joe Flacco,QB,31,2016,171.933,242.5,-70.56700000000001
395,Blake Bortles,QB,24,2016,197.65200000000002,271.1,-73.44800000000001
401,Jameis Winston,QB,22,2016,165.11800000000005,256.1,-90.98199999999997
