,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3209,Le'Veon Bell,RB,22,2014,314.0609999999999,370.5,-56.43900000000008
3211,Matt Forte,RB,29,2014,296.57999999999987,346.6,-50.02000000000015
3208,DeMarco Murray,RB,26,2014,289.2119999999997,351.1,-61.88800000000032
3210,Marshawn Lynch,RB,28,2014,261.03999999999974,302.3,-41.260000000000275
3213,Eddie Lacy,RB,24,2014,260.30499999999984,272.6,-12.295000000000186
3212,Arian Foster,RB,28,2014,243.733,273.5,-29.766999999999996
3219,Jeremy Hill,RB,22,2014,223.18200000000002,210.9,12.28200000000001
1102,Jamaal Charles,RB,28,2014,215.77700000000002,250.4,-34.62299999999999
3215,Lamar Miller,RB,23,2014,210.57600000000005,223.4,-12.823999999999955
3214,Justin Forsett,RB,29,2014,207.62200000000013,246.9,-39.27799999999988
3220,C.J. Anderson,RB,23,2014,203.75599999999991,211.3,-7.544000000000096
3216,Lamar Miller,RB,23,2014,197.335,223.4,-26.064999999999998
3238,Darren Sproles,RB,31,2014,192.0289999999999,157.6,34.42899999999992
3225,Giovani Bernard,RB,23,2014,187.55199999999996,187.9,-0.3480000000000416
3260,Bobby Rainey,RB,27,2014,186.08800000000002,111.1,74.98800000000003
3221,LeSean McCoy,RB,26,2014,184.05799999999985,199.4,-15.342000000000155
2893,Joique Bell,RB,28,2014,181.14500000000018,198.2,-17.054999999999808
3224,Giovani Bernard,RB,23,2014,180.98399999999995,187.9,-6.916000000000054
3228,Frank Gore,RB,31,2014,180.65699999999998,158.7,21.956999999999994
3235,Fred Jackson,RB,33,2014,177.6110000000001,188.6,-10.98899999999989
3283,C.J. Spiller,RB,27,2014,171.18399999999994,71.5,99.68399999999994
3227,Matt Asiata,RB,27,2014,167.4230000000002,194.2,-26.776999999999788
3223,Alfred Morris,RB,26,2014,161.36599999999987,187.9,-26.534000000000134
2894,Joique Bell,RB,28,2014,160.216,198.2,-37.98399999999998
3236,Jonathan Stewart,RB,27,2014,159.69999999999993,146.0,13.699999999999932
3222,Alfred Morris,RB,26,2014,158.8769999999998,187.9,-29.023000000000195
3230,Andre Ellington,RB,25,2014,158.18800000000002,177.5,-19.311999999999983
1103,Jamaal Charles,RB,28,2014,156.02100000000007,250.4,-94.37899999999993
3242,Branden Oliver,RB,23,2014,155.05799999999977,145.3,9.757999999999754
3243,Knile Davis,RB,23,2014,151.54500000000002,121.0,30.545000000000016
3226,Mark Ingram,RB,25,2014,149.8609999999999,191.9,-42.0390000000001
3239,Ahmad Bradshaw,RB,28,2014,145.73000000000002,154.5,-8.769999999999982
3240,Shane Vereen,RB,25,2014,145.21099999999987,165.8,-20.58900000000014
3229,Chris Ivory,RB,26,2014,143.94199999999984,152.4,-8.458000000000169
3244,Knile Davis,RB,23,2014,141.783,121.0,20.782999999999987
3257,Alfred Blue,RB,23,2014,137.626,97.1,40.52600000000001
2042,Steven Jackson,RB,31,2014,137.31199999999998,141.5,-4.188000000000017
3237,Tre Mason,RB,21,2014,136.3849999999999,135.3,1.0849999999998943
3231,Andre Williams,RB,22,2014,136.32700000000006,145.1,-8.77299999999994
3232,Andre Williams,RB,22,2014,132.7420000000001,145.1,-12.35799999999989
3086,Isaiah Crowell,RB,21,2014,131.5399999999998,122.4,9.139999999999787
2041,Steven Jackson,RB,31,2014,130.22799999999998,141.5,-11.27200000000002
3262,Pierre Thomas,RB,30,2014,127.96200000000003,123.0,4.962000000000032
3249,Chris Johnson,RB,29,2014,124.43499999999986,115.4,9.034999999999854
3087,Isaiah Crowell,RB,21,2014,123.17299999999985,122.4,0.7729999999998398
3248,Chris Johnson,RB,29,2014,122.55499999999984,115.4,7.154999999999831
3241,Rashad Jennings,RB,29,2014,120.27900000000001,138.5,-18.22099999999999
3256,Darren McFadden,RB,27,2014,118.15199999999992,120.6,-2.4480000000000786
3274,Devonta Freeman,RB,22,2014,110.98299999999996,87.3,23.682999999999964
3253,Denard Robinson,RB,24,2014,109.59400000000012,113.6,-4.005999999999872
3254,LeGarrette Blount,RB,28,2014,107.69600000000015,98.1,9.59600000000016
3279,Dan Herron,RB,25,2014,106.14299999999986,75.4,30.742999999999853
