,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
2536,Rob Gronkowski,TE,25,2014,236.95900000000026,266.4,-29.44099999999972
2539,Greg Olsen,TE,29,2014,196.81599999999972,220.8,-23.984000000000293
2540,Martellus Bennett,TE,27,2014,188.01699999999997,221.6,-33.58300000000003
2538,Jimmy Graham,TE,28,2014,181.66800000000003,229.9,-48.23199999999997
16,Jason Witten,TE,32,2014,168.15999999999974,164.3,3.8599999999997294
17,Jason Witten,TE,32,2014,168.15999999999974,164.3,3.8599999999997294
2543,Travis Kelce,TE,25,2014,159.83800000000022,183.2,-23.361999999999767
2453,Heath Miller,TE,32,2014,155.5870000000002,160.1,-4.512999999999806
15,Jason Witten,TE,32,2014,153.96299999999982,164.3,-10.337000000000188
2542,Julius Thomas,TE,26,2014,149.4849999999999,163.9,-14.415000000000106
2544,Delanie Walker,TE,30,2014,147.63400000000004,176.0,-28.365999999999957
2452,Heath Miller,TE,32,2014,141.58800000000022,160.1,-18.511999999999773
2552,Owen Daniels,TE,32,2014,125.97800000000015,124.7,1.278000000000148
2320,Zach Ertz,TE,24,2014,125.76200000000006,144.2,-18.43799999999993
2319,Zach Ertz,TE,24,2014,122.35800000000013,144.2,-21.841999999999857
2547,Jared Cook,TE,27,2014,122.0109999999999,133.4,-11.38900000000011
2549,Mychal Rivera,TE,24,2014,121.60499999999985,133.4,-11.795000000000158
2551,Charles Clay,TE,25,2014,117.36899999999997,136.5,-19.13100000000003
2554,Scott Chandler,TE,29,2014,114.33900000000007,114.7,-0.36099999999993315
2568,Jordan Reed,TE,24,2014,111.10900000000001,94.5,16.60900000000001
2555,Scott Chandler,TE,29,2014,109.12300000000006,114.7,-5.576999999999941
2541,Coby Fleener,TE,26,2014,108.425,176.4,-67.97500000000001
2548,Jared Cook,TE,27,2014,106.24799999999983,133.4,-27.15200000000017
2550,Mychal Rivera,TE,24,2014,104.27699999999987,133.4,-29.123000000000133
2537,Antonio Gates,TE,34,2014,102.79700000000003,223.1,-120.30299999999997
2559,Niles Paul,TE,25,2014,99.29700000000004,93.7,5.597000000000037
2573,Clay Harbor,TE,27,2014,99.26899999999992,60.9,38.36899999999992
2560,Jordan Cameron,TE,26,2014,95.01399999999987,78.4,16.613999999999862
2558,Tim Wright,TE,24,2014,93.09000000000003,87.7,5.390000000000029
2561,Andrew Quarless,TE,26,2014,85.58700000000006,79.3,6.287000000000063
811,Lance Kendricks,TE,26,2014,83.6039999999999,82.9,0.703999999999894
2562,Andrew Quarless,TE,26,2014,82.79900000000004,79.3,3.499000000000038
2566,Jace Amaro,TE,22,2014,81.93799999999997,84.5,-2.562000000000026
810,Lance Kendricks,TE,26,2014,78.4609999999999,82.9,-4.439000000000107
2596,Adrien Robinson,TE,26,2014,76.97099999999999,16.0,60.97099999999999
795,Luke Willson,TE,24,2014,76.32799999999989,76.2,0.12799999999988643
794,Luke Willson,TE,24,2014,76.32799999999989,76.2,0.12799999999988643
2546,Dwayne Allen,TE,24,2014,75.91700000000002,116.5,-40.582999999999984
86,Brent Celek,TE,29,2014,74.915,70.0,4.915000000000006
84,Brent Celek,TE,29,2014,74.915,70.0,4.915000000000006
809,Lance Kendricks,TE,26,2014,73.6059999999999,82.9,-9.29400000000011
2545,Larry Donnell,TE,26,2014,72.73999999999994,153.3,-80.56000000000007
85,Brent Celek,TE,29,2014,72.59900000000002,70.0,2.599000000000018
2571,Dion Sims,TE,23,2014,69.79099999999995,64.4,5.3909999999999485
2575,Marcedes Lewis,TE,30,2014,67.9260000000001,50.6,17.3260000000001
812,Lance Kendricks,TE,26,2014,66.86799999999995,82.9,-16.032000000000053
1456,Richard Rodgers,TE,22,2014,66.82600000000001,54.5,12.326000000000008
2572,Vernon Davis,TE,30,2014,65.90999999999991,62.9,3.0099999999999127
2567,Anthony Fasano,TE,30,2014,64.55400000000009,71.6,-7.045999999999907
2565,Josh Hill,TE,24,2014,63.63000000000004,61.6,2.0300000000000367
2582,Tony Moeaki,TE,27,2014,63.21099999999998,27.4,35.81099999999998
1455,Richard Rodgers,TE,22,2014,59.91400000000001,54.5,5.414000000000009
1454,Richard Rodgers,TE,22,2014,59.91400000000001,54.5,5.414000000000009
2569,Jeff Cumberland,TE,27,2014,55.97999999999993,65.7,-9.72000000000007
2553,Jermaine Gresham,TE,26,2014,54.604,138.0,-83.396
2574,Kyle Rudolph,TE,25,2014,54.60000000000004,59.1,-4.4999999999999645
2485,Levine Toilolo,TE,23,2014,54.43100000000006,64.8,-10.368999999999936
2603,James Hanna,TE,25,2014,54.11700000000003,8.8,45.317000000000036
110,Eric Ebron,TE,21,2014,53.93700000000007,55.8,-1.8629999999999285
129,Austin Seferian-Jenkins,TE,22,2014,51.19100000000003,53.1,-1.9089999999999705
2484,Levine Toilolo,TE,23,2014,50.72400000000006,64.8,-14.075999999999937
130,Austin Seferian-Jenkins,TE,22,2014,49.82999999999999,53.1,-3.2700000000000102
1906,Gavin Escobar,TE,23,2014,46.282,43.5,2.7819999999999965
2584,Ed Dickson,TE,27,2014,45.247000000000014,27.5,17.747000000000014
2578,Jim Dray,TE,28,2014,44.48599999999995,47.2,-2.7140000000000555
2577,Cooper Helfet,TE,25,2014,43.547000000000004,42.5,1.0470000000000041
2588,Ryan Griffin,TE,24,2014,42.26000000000002,25.1,17.160000000000018
1904,Gavin Escobar,TE,23,2014,42.00499999999999,43.5,-1.4950000000000117
2576,Chase Ford,TE,24,2014,41.867000000000026,54.8,-12.932999999999971
2589,Dennis Pitta,TE,29,2014,41.038000000000004,28.5,12.538000000000004
1905,Gavin Escobar,TE,23,2014,40.48299999999999,43.5,-3.01700000000001
2583,Brandon Myers,TE,29,2014,39.837999999999994,41.0,-1.1620000000000061
111,Eric Ebron,TE,21,2014,39.726,55.8,-16.073999999999998
2570,Daniel Fells,TE,31,2014,39.708999999999975,56.8,-17.091000000000022
2586,Gary Barnidge,TE,29,2014,38.69999999999996,28.6,10.099999999999959
2580,Ben Watson,TE,34,2014,37.62099999999996,45.6,-7.979000000000042
2579,Rishard Matthews,TE,25,2014,37.55400000000004,37.8,-0.24599999999995958
892,Rob Housler,TE,26,2014,35.73600000000002,22.0,13.736000000000018
2590,Dennis Pitta,TE,29,2014,33.23999999999999,28.5,4.739999999999988
2594,Dante Rosario,TE,30,2014,31.819999999999965,27.6,4.219999999999963
2185,Jacob Tamme,TE,29,2014,31.812000000000044,34.9,-3.087999999999955
2581,Jack Doyle,TE,24,2014,30.59200000000003,41.8,-11.207999999999966
893,Rob Housler,TE,26,2014,29.06400000000001,22.0,7.064000000000011
1989,Derek Carrier,TE,24,2014,27.41699999999998,19.7,7.716999999999981
901,Ryan Hewitt,TE,23,2014,27.39999999999998,18.6,8.79999999999998
2184,Jacob Tamme,TE,29,2014,26.703000000000024,34.9,-8.196999999999974
2585,Crockett Gillmore,TE,23,2014,26.028999999999982,28.1,-2.0710000000000193
1988,Derek Carrier,TE,24,2014,24.62500000000001,19.7,4.925000000000011
1990,Derek Carrier,TE,24,2014,24.509999999999994,19.7,4.809999999999995
1987,Derek Carrier,TE,24,2014,24.509999999999994,19.7,4.809999999999995
321,Matt Spaeth,TE,31,2014,24.43399999999997,15.6,8.83399999999997
2593,Logan Paulsen,TE,27,2014,22.92699999999999,24.8,-1.8730000000000118
1557,MarQueis Gray,TE,25,2014,21.910000000000036,22.4,-0.4899999999999629
1559,MarQueis Gray,TE,25,2014,21.910000000000036,22.4,-0.4899999999999629
1558,MarQueis Gray,TE,25,2014,21.910000000000036,22.4,-0.4899999999999629
1985,Virgil Green,TE,26,2014,20.739000000000022,19.7,1.0390000000000228
2386,James Casey,TE,30,2014,20.39900000000003,20.9,-0.5009999999999692
2385,James Casey,TE,30,2014,20.39900000000003,20.9,-0.5009999999999692
1984,Virgil Green,TE,26,2014,20.303000000000026,19.7,0.6030000000000264
902,Ryan Hewitt,TE,23,2014,19.820999999999966,18.6,1.2209999999999646
903,Ryan Hewitt,TE,23,2014,19.820999999999966,18.6,1.2209999999999646
1983,Virgil Green,TE,26,2014,19.477000000000025,19.7,-0.2229999999999741
1986,Virgil Green,TE,26,2014,19.477000000000025,19.7,-0.2229999999999741
319,Matt Spaeth,TE,31,2014,18.587999999999973,15.6,2.987999999999973
2595,Chris Gragg,TE,24,2014,18.27299999999998,17.8,0.47299999999997766
322,Matt Spaeth,TE,31,2014,18.251999999999974,15.6,2.6519999999999744
1999,Chase Coffman,TE,28,2014,17.868000000000013,18.4,-0.5319999999999858
2244,Brandon Pettigrew,TE,29,2014,17.135,17.0,0.13500000000000156
1998,Chase Coffman,TE,28,2014,17.128000000000007,18.4,-1.2719999999999914
1587,Zach Sudfeld,TE,25,2014,16.645000000000003,13.5,3.145000000000003
2245,Brandon Pettigrew,TE,29,2014,16.45799999999999,17.0,-0.5420000000000087
1588,Zach Sudfeld,TE,25,2014,16.310999999999996,13.5,2.8109999999999964
1997,Chase Coffman,TE,28,2014,15.848999999999997,18.4,-2.551000000000002
320,Matt Spaeth,TE,31,2014,15.817999999999978,15.6,0.21799999999997866
323,Matt Spaeth,TE,31,2014,15.817999999999978,15.6,0.21799999999997866
2598,Brian Leonhardt,TE,24,2014,15.735,15.5,0.23499999999999943
1585,Zach Sudfeld,TE,25,2014,15.693999999999999,13.5,2.193999999999999
2587,Joseph Fauria,TE,24,2014,15.309000000000012,21.4,-6.090999999999987
2597,Brian Leonhardt,TE,24,2014,15.196000000000002,15.5,-0.3039999999999985
1586,Zach Sudfeld,TE,25,2014,14.891000000000002,13.5,1.3910000000000018
2602,Zach Miller,TE,29,2014,14.063999999999986,13.6,0.4639999999999862
2607,Phillip Supernaw,TE,24,2014,13.353999999999996,6.0,7.353999999999996
2263,James Develin,TE,26,2014,13.298999999999994,10.8,2.4989999999999934
2026,Darren Fells,TE,28,2014,12.288999999999998,12.1,0.18899999999999828
2027,Darren Fells,TE,28,2014,12.038,12.1,-0.06199999999999939
2030,Darren Fells,TE,28,2014,11.914000000000001,12.1,-0.18599999999999817
2028,Darren Fells,TE,28,2014,11.753000000000004,12.1,-0.346999999999996
2029,Darren Fells,TE,28,2014,11.753000000000004,12.1,-0.346999999999996
2601,C.J. Fiedorowicz,TE,23,2014,11.690999999999983,12.8,-1.1090000000000177
2262,James Develin,TE,26,2014,11.231999999999985,10.8,0.4319999999999844
1007,Nic Jacobs,TE,23,2014,11.078000000000007,9.6,1.4780000000000069
2606,Luke Stocker,TE,26,2014,10.989000000000006,11.1,-0.11099999999999355
2265,James Develin,TE,26,2014,10.891999999999987,10.8,0.09199999999998631
2264,James Develin,TE,26,2014,10.402999999999988,10.8,-0.3970000000000127
2261,James Develin,TE,26,2014,10.402999999999988,10.8,-0.3970000000000127
511,Craig Stevens,TE,30,2014,10.038000000000004,4.6,5.438000000000004
1008,Nic Jacobs,TE,23,2014,9.986000000000013,9.6,0.38600000000001344
968,Garrett Celek,TE,26,2014,9.910999999999987,7.3,2.6109999999999873
