,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1800,Davante Adams,WR,28,2020,325.0400000000003,358.4,-33.35999999999967
1801,Tyreek Hill,WR,26,2020,275.2090000000003,328.9,-53.69099999999969
1802,Stefon Diggs,WR,27,2020,265.0759999999998,328.6,-63.52400000000023
1846,Robby Anderson,WR,27,2020,257.264,224.1,33.164000000000016
1804,D.K. Metcalf,WR,23,2020,250.7439999999997,271.3,-20.556000000000324
1803,Calvin Ridley,WR,26,2020,240.39900000000006,281.5,-41.10099999999994
1813,Robert Woods,WR,28,2020,235.0329999999998,245.1,-10.067000000000206
1806,Adam Thielen,WR,30,2020,234.1379999999999,254.0,-19.86200000000011
1814,Robert Woods,WR,28,2020,227.37999999999982,245.1,-17.72000000000017
1821,Chase Claypool,WR,22,2020,225.3019999999999,214.9,10.401999999999902
1808,A.J. Brown,WR,23,2020,223.43899999999994,247.5,-24.061000000000064
1812,Robert Woods,WR,28,2020,223.4129999999998,245.1,-21.687000000000182
1823,Brandin Cooks,WR,27,2020,220.1420000000002,232.0,-11.857999999999805
1805,Justin Jefferson,WR,21,2020,217.489,274.2,-56.710999999999984
1811,Allen Robinson,WR,27,2020,214.61100000000013,262.9,-48.288999999999845
1828,Amari Cooper,WR,26,2020,212.17500000000004,236.8,-24.62499999999997
1809,DeAndre Hopkins,WR,28,2020,210.697,287.8,-77.10300000000001
1859,Cooper Kupp,WR,27,2020,210.01800000000014,208.7,1.3180000000001542
1834,Terry McLaurin,WR,25,2020,209.2829999999998,223.8,-14.517000000000223
1817,Keenan Allen,WR,28,2020,208.90899999999988,245.1,-36.191000000000116
1810,Tyler Lockett,WR,28,2020,205.69199999999992,265.4,-59.708000000000055
1836,Curtis Samuel,WR,24,2020,205.2009999999999,212.1,-6.899000000000086
1845,Diontae Johnson,WR,24,2020,204.41699999999983,221.8,-17.38300000000018
1837,Curtis Samuel,WR,24,2020,203.8559999999999,212.1,-8.244000000000085
1829,CeeDee Lamb,WR,21,2020,199.33400000000017,217.7,-18.365999999999815
1807,Mike Evans,WR,27,2020,196.97,248.6,-51.629999999999995
1838,Curtis Samuel,WR,24,2020,195.67700000000002,212.1,-16.422999999999973
1830,CeeDee Lamb,WR,21,2020,194.9320000000003,217.7,-22.767999999999688
1825,D.J. Moore,WR,23,2020,194.051,211.5,-17.449000000000012
1815,Keenan Allen,WR,28,2020,192.10700000000006,245.1,-52.99299999999994
2009,Jalen Reagor,WR,21,2020,191.87700000000004,87.2,104.67700000000004
1861,Tyler Boyd,WR,26,2020,191.414,192.6,-1.186000000000007
1848,Corey Davis,WR,25,2020,191.19599999999994,191.4,-0.20400000000006457
